Property_name,Property_Type,Bedrooms,bathrooms,Garages,Sq_Ft,year_built,AD URL,features
Triplex House in Bashundhara,House,5,5,3,6500,2019,https://bestbari.com/flat-sale-dhaka/triplex-house-in-bashundhara/,"Air Conditioning,Garden,Parking,Landscaping,Fire Fighting and Detection System,Rooftop Landscaping,Waiting Room,Children Play Area,Cloth Drying Area,Fire Protection,Prayer Space"
Concord Niharika,Commercial,,,3,1688-4460,,https://bestbari.com/flat-sale-dhaka/concord-niharika/,"Air Conditioning,Garage,Full Load Power Backup,Interior Designed Lobbies,Double Glazed Glass Window,Multi Level Basement Car Parking,Parking,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Multipurpose Room for Prayer and Meeting,Waiting Lobby,Fire Protection,Guard Accommodation,Reception,Lobby Lounge,High-speed internet"
NAVANA TERRARIUM,Commercial,,,1,,,https://bestbari.com/flat-sale-dhaka/navana-terrarium/,"Air Conditioning,Garage,Full Load Power Backup,Interior Designed Lobbies,Parking,Security Surveillance System,Generator Backup,24/7 CCTV Surveillance"
CONCORD MK HERITAGE,Commercial,,,2,1130 – 3360 ,,https://bestbari.com/flat-sale-dhaka/concord-mk-heritage/,"Air Conditioning,Garage,Interior Designed Lobbies,Double Glazed Glass Window,Multi Level Basement Car Parking,Parking,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Security Room,Guard Accommodation,High-speed internet"
EDISON OPHELIA,Apartment,3,3,1,1860,2024,https://bestbari.com/flat-sale-dhaka/edison-ophelia/,"Air Conditioning,Garage,Interior Designed Lobbies,Common Area,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,Waiting Room,Children Play Area,Cloth Drying Area,Community Space,Fire Protection,Guard Post,Prayer Space,Reception"
Signature11 ARC - Type B,Apartment,3,3,2,2336,2024,https://bestbari.com/flat-sale-dhaka/signature11-arc-type-b/,"Garage,Garden,Corner Plot,Interior Designed Lobbies,Common Area,Multi Level Basement Car Parking,Parking,Landscaping,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Rooftop Landscaping,Multipurpose Room for Prayer and Meeting,Waiting Room,Waiting Lobby,Gym,BBQ Area,Security Room,Community Space,Driver Waiting,Fingerprint Access Handle Lock,Fire Protection,Fitness Center,Guard Accommodation,Guard Post,Lighting and Water Feature,Reception,Smart Home Feature,Lobby Lounge"
Signature11 ARC - Type A,Apartment,3,3,2,2318,2024,https://bestbari.com/flat-sale-dhaka/signature11-arc-type-a/,"Garage,Garden,Corner Plot,Interior Designed Lobbies,Common Area,Multi Level Basement Car Parking,Parking,Landscaping,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Rooftop Landscaping,Waiting Lobby,Gym,BBQ Area,Security Room,Community Space,Driver Waiting,Fingerprint Access Handle Lock,Fire Protection,Fitness Center,Guard Accommodation,Guard Post,Lighting and Water Feature,Prayer Space,Reception,Smart Home Feature,Lobby Lounge"
Rossella,Apartment,3,3,1,1025,2022,https://bestbari.com/flat-sale-dhaka/rossella/,"Full Load Power Backup,Common Area,Parking,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,Children Play Area,Cloth Drying Area,Guard Post,Prayer Space"
Ventura Milestone,,N/A,N/A,1,6000 SFT,2022,https://bestbari.com/flat-sale-dhaka/ventura-milestone/,"Air Conditioning,Garage,Interior Designed Lobbies,Parking,Security Surveillance System,Fire Fighting and Detection System,Generator Backup,24/7 CCTV Surveillance,Multipurpose Room for Prayer and Meeting,Security Room,Fire Protection,Guard Accommodation,Reception,Lobby Lounge"
Apartment at Banani,Used Flat,4,5,2,2773,2014,https://bestbari.com/flat-sale-dhaka/apartment-at-banani/,"Garage,Common Area,Parking,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,Children Play Area,Cloth Drying Area,Earthquake Resistance Design,Fire Protection,Guard Post,Prayer Space,Reception"
Budget Friendly Flat at Banani,Used Flat,3,3,1,1800,2018,https://bestbari.com/flat-sale-dhaka/budget-friendly-flat-at-banani/,"Full Load Power Backup,Common Area,Parking,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,Children Play Area,Cloth Drying Area,Guard Post,Reception"
Chandralok,Apartment,3,3,1,2200,2020,https://bestbari.com/flat-sale-dhaka/chandralok/,"Interior Designed Lobbies,Common Area,Double Glazed Glass Window,Parking,Landscaping,Fire Fighting and Detection System,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Rooftop Landscaping,Exercise Studio,Security Room,Guard Post,Reception"
Apartment @ Mirpur DOHS,Apartment,3,3,1,2200,2017,https://bestbari.com/flat-sale-dhaka/apartment-mirpur-dohs/,"Parking,International Standard Lift,Generator Backup,Rooftop Landscaping,Security Room,Children Play Area,Cloth Drying Area,Community Space,Fire Protection,Prayer Space,Reception"
The Landing 141,Apartment,4,4,2,3200,2022,https://bestbari.com/flat-sale-dhaka/the-landing-141/,"Full Load Power Backup,Interior Designed Lobbies,Common Area,Multi Level Basement Car Parking,Parking,Landscaping,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Gym,Security Room,Fire Protection,Reception,Lobby Lounge"
The Izar,Apartment,3,3,1,2279,2021,https://bestbari.com/flat-sale-dhaka/the-izar/,"Air Conditioning,Full Load Power Backup,Interior Designed Lobbies,Common Area,Multi Level Basement Car Parking,Parking,Landscaping,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Stretcher Lift,Generator Backup,24/7 CCTV Surveillance,Exercise Studio,Gym,Automated Watering System,Children Play Area,Fire Protection,Guard Post,Lighting and Water Feature,Reception,Lobby Lounge"
MB Tower,Apartment,3,3,1,1825,2022,https://bestbari.com/flat-sale-dhaka/mb-tower/,"Air Conditioning,Corner Plot,Full Load Power Backup,Interior Designed Lobbies,Common Area,Double Glazed Glass Window,Multi Level Basement Car Parking,Landscaping,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Exercise Studio,Automated Watering System,Earthquake Resistance Design,Fire Protection,Fitness Center,Guard Post,Indoor Games,Reception,Smart Home Feature,Lobby Lounge"
Flat at Banani 11,Used Flat,4,4,2,3000,2014,https://bestbari.com/flat-sale-dhaka/flat-at-banani-11/,"Garage,Common Area,Parking,Security Surveillance System,International Standard Lift,Generator Backup,Fire Protection,Guard Post"
Gulzar-e-Rahmat,Apartment,4,4,1,2473,2022,https://bestbari.com/flat-sale-dhaka/gulzar-e-rahmat/,"Common Area,Parking,Security Surveillance System,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Waiting Room,Children Play Area,Cloth Drying Area,Fire Protection,Reception,Lobby Lounge"
Assure Surface,Apartment,3,3,1,1581,2020,https://bestbari.com/flat-sale-dhaka/assure-surface/,"Garage,Landscaping,International Standard Lift,Generator Backup,Cloth Drying Area,Community Space,Fire Protection,Guard Accommodation,Guard Post,Reception,Lobby Lounge"
Rainforest,Apartment,4,4,1,3462,2021,https://bestbari.com/flat-sale-dhaka/rainforest/,"Common Area,Parking,Landscaping,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Waiting Room,Fire Protection,Guard Post,Reception,Lobby Lounge"
Mohi Chandrima,Apartment,3,4,1,2229,2021,https://bestbari.com/flat-sale-dhaka/mohi-chandrima/,"Garage,Garden,Common Area,International Standard Lift,Generator Backup,Waiting Room,Cloth Drying Area,Fire Protection,Guard Accommodation,Guard Post,Reception"
Neer,Apartment,3,3,1,2196,2019,https://bestbari.com/flat-sale-dhaka/neer/,"Garage,Garden,Full Load Power Backup,Interior Designed Lobbies,Landscaping,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,Rooftop Landscaping,Waiting Room,Security Room,Community Space,Lighting and Water Feature,Reception,Lobby Lounge"
Majestic,Apartment,3,3,1,1994,2022,https://bestbari.com/flat-sale-dhaka/majestic/,"Parking,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Security Room,Cloth Drying Area,Community Space,Fire Protection,Guard Post,Reception,Lobby Lounge"
Borenno,Apartment,3,3,1,1272,2022,https://bestbari.com/flat-sale-dhaka/borenno/,"Garage,International Standard Lift,Generator Backup,Fire Protection,Reception,Lobby Lounge"
Angon,Apartment,3,3,1,1929,2021,https://bestbari.com/flat-sale-dhaka/angon/,"Garden,Parking,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Cloth Drying Area,Community Space,Fire Protection,Guard Accommodation,Guard Post,Reception"
Cynthia,Apartment,3,3,1,2313,2022,https://bestbari.com/flat-sale-dhaka/cynthia/,"Garage,Common Area,Landscaping,Swimming Pool,International Standard Lift,Generator Backup,Waiting Room,Security Room,Cloth Drying Area,Fire Protection,Prayer Space,Reception,Lobby Lounge"
Gloriosa,Apartment,3,3,1,1950,2022,https://bestbari.com/flat-sale-dhaka/gloriosa/,"Garage,Common Area,International Standard Lift,Generator Backup,Security Room,Fire Protection,Reception"
ARC,Apartment,3,3,1,2336,2024,https://bestbari.com/flat-sale-dhaka/arc/,"Full Load Power Backup,Parking,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Security Room,Cloth Drying Area,Fire Protection,Guard Post,Reception,Lobby Lounge"
Pohela Boishakh,Apartment,4,4,1,2397,2022,https://bestbari.com/flat-sale-dhaka/pohela-boishakh/,"Air Conditioning,Full Load Power Backup,Parking,International Standard Lift,Generator Backup,Cloth Drying Area,Community Space,Fire Protection,Guard Post,Reception,Lobby Lounge"
Lora,Apartment,3,3,1,1581,2021,https://bestbari.com/flat-sale-dhaka/lora/,"Garden,Parking,International Standard Lift,Generator Backup,Waiting Room,Children Play Area,Cloth Drying Area,Community Space,Fire Protection,Guard Post,Reception,Lobby Lounge"
Ekanto Apon,Apartment,3,3,1,1999,2021,https://bestbari.com/flat-sale-dhaka/ekanto-apon/,"Common Area,Parking,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Automated Watering System,Cloth Drying Area,Fire Protection,Fitness Center,Guard Post,Reception,Lobby Lounge"
Simpletree Thikana,Apartment,4,4,1,4000,2021,https://bestbari.com/flat-sale-dhaka/simpletree-thikana/,"Air Conditioning,Parking,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Cloth Drying Area,Fire Protection,Fitness Center,Guard Post,Lobby Lounge"
Simpletree Anarkali,Apartment,5,5,2,5000,2021,https://bestbari.com/flat-sale-dhaka/simpletree-anarkali/,"Air Conditioning,Full Load Power Backup,Interior Designed Lobbies,Parking,Landscaping,Security Surveillance System,Swimming Pool,International Standard Lift,Generator Backup,Children Play Area,Cloth Drying Area,Fire Protection,Guard Post,Lobby Lounge"
Simpletree Ayesha,Apartment,3,3,1,3000,2021,https://bestbari.com/flat-sale-dhaka/simpletree-ayesha/,"Common Area,Parking,Fire Fighting and Detection System,International Standard Lift,Generator Backup,Automated Watering System,Cloth Drying Area,Community Space,Fire Protection,Guard Accommodation,Guard Post,Reception,Lobby Lounge"
Simpletree Shanur,Apartment,3,4,1,2500,2022,https://bestbari.com/flat-sale-dhaka/simpletree-shanur/,"Interior Designed Lobbies,Common Area,Parking,Fire Fighting and Detection System,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Automated Watering System,Children Play Area,Cloth Drying Area,Community Space,Fire Protection,Reception,Lobby Lounge"
Garden Square,Apartment,5,5,2,4000,2020,https://bestbari.com/flat-sale-dhaka/garden-square/,"Interior Designed Lobbies,Parking,Landscaping,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Waiting Lobby,Security Room,Community Space,Fire Protection,Fitness Center,Guard Accommodation,Guard Post,Prayer Space,Reception,WIFI,Lobby Lounge"
Waterfront,Apartment,3,3,1,3000,2015,https://bestbari.com/flat-sale-dhaka/waterfront/,"Air Conditioning,Full Load Power Backup,Interior Designed Lobbies,Parking,Security Surveillance System,Fire Fighting and Detection System,Swimming Pool,International Standard Lift,Generator Backup,Rooftop Landscaping,Badminton Court,Community Space,Fire Protection,Fitness Center,Guard Accommodation,Guard Post,Indoor Games,Prayer Space,Reception,Smart Home Feature,Lobby Lounge"
Omeras,Apartment,3,3,1,2500,2021,https://bestbari.com/flat-sale-dhaka/omeras/,"Full Load Power Backup,Interior Designed Lobbies,Parking,Landscaping,Fire Fighting and Detection System,Swimming Pool,International Standard Lift,Generator Backup,Multipurpose Room for Prayer and Meeting,Badminton Court,Security Room,Fire Protection,Fitness Center,Guard Post,Indoor Games,Reception,Smart Home Feature,VRF Air Conditioning,Lobby Lounge"
Memory 71,Apartment,3,3,1,1800,2021,https://bestbari.com/flat-sale-dhaka/memory-71/,"Interior Designed Lobbies,Parking,Landscaping,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Multipurpose Room for Prayer and Meeting,Exercise Studio,Badminton Court,Security Room,Fire Protection,Guard Accommodation,Guard Post,Reception,Lobby Lounge"
Greenwood,Apartment,3,3,1,2800,2020,https://bestbari.com/flat-sale-dhaka/greenwood/,"Parking,International Standard Lift,Generator Backup,Security Room,Community Space,Fire Protection,Reception,Smart Home Feature,Lobby Lounge"
Oriana,Apartment,4,4,1,2100,2021,https://bestbari.com/flat-sale-dhaka/oriana/,"Interior Designed Lobbies,Parking,Fire Fighting and Detection System,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Waiting Room,Security Room,Community Space,Fire Protection,Reception,Lobby Lounge"
Flat at Banani,Used Flat,3,4,1,1723,2013,https://bestbari.com/flat-sale-dhaka/flat-at-banani/,"Garage,Common Area,International Standard Lift,Generator Backup,Security Room,Children Play Area,Cloth Drying Area,Fire Protection"
Flat at Gulshan,Used Flat,3,4,1,2100,2007,https://bestbari.com/flat-sale-dhaka/flat-at-gulshan/,"Full Load Power Backup,Parking,Security Surveillance System,International Standard Lift,Generator Backup,Security Room,Fire Protection,Reception,Lobby Lounge"
Flat at Banani,Used Flat,4,4,1,2520,2016,https://bestbari.com/flat-sale-dhaka/flat-at-banani-2/,"Interior Designed Lobbies,Parking,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Waiting Lobby,Security Room,Children Play Area,Cloth Drying Area,Fire Protection,Guard Post,Reception"
Apartment at North Gulshan,Apartment,3,4,1,2500,2013,https://bestbari.com/flat-sale-dhaka/apartment-at-north-gulshan/,"Garage,Corner Plot,Full Load Power Backup,Common Area,Parking,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Stretcher Lift,Generator Backup,Cloth Drying Area,Community Space"
Flat at Gulshan-2,Apartment,3,4,2,3200,2014,https://bestbari.com/flat-sale-dhaka/flat-at-gulshan-2/,"Garage,Full Load Power Backup,Interior Designed Lobbies,Common Area,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,Security Room,Children Play Area,Cloth Drying Area"
Corner Plot Apartment at Gulshan 1,Apartment,4,5,2,3140,2917,https://bestbari.com/flat-sale-dhaka/corner-plot-apartment-at-gulshan-1/,"Corner Plot,Full Load Power Backup,Parking,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,Security Room,Cloth Drying Area,Community Space,Fire Protection,Prayer Space,Smart Home Feature"
Apartment at Baridhara,Used Flat,4,4,2,3200,2015,https://bestbari.com/flat-sale-dhaka/apartment-at-baridhara/,"Garage,Interior Designed Lobbies,Common Area,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,Security Room,Children Play Area,Cloth Drying Area,Fire Protection,Guard Post,Reception"
Flat at Banani,Apartment,4,4,1,2700,2014,https://bestbari.com/flat-sale-dhaka/flat-at-banani-3/,"Garage,Common Area,Parking,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Security Room,Children Play Area,Cloth Drying Area,Prayer Space"
Flat at North Gulshan,Used Flat,4,4,1,4400,2016,https://bestbari.com/flat-sale-dhaka/flat-at-north-gulshan-2/,"Garage,Interior Designed Lobbies,Common Area,Parking,Security Surveillance System,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Waiting Room,Security Room,Children Play Area,Cloth Drying Area,Fire Protection,Guard Post,Reception"
Flat at Banani,Used Flat,4,4,2,3000,2013,https://bestbari.com/flat-sale-dhaka/flat-at-banani-4/,"Full Load Power Backup,Common Area,Parking,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,Waiting Lobby,Children Play Area,Cloth Drying Area,Fire Protection,Guard Post,Reception,Lobby Lounge"
Concord Shongshoptak,Apartment,5,5,1,5475,2022,https://bestbari.com/flat-sale-dhaka/concord-shongshoptak/,"Air Conditioning,Full Load Power Backup,Interior Designed Lobbies,Common Area,Double Glazed Glass Window,Multi Level Basement Car Parking,Security Surveillance System,Fire Fighting and Detection System,Swimming Pool,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Rooftop Landscaping,Multipurpose Room for Prayer and Meeting,Exercise Studio,Waiting Lobby,Automated Watering System,Security Room,Community Space,Fire Protection,Fitness Center,Infinity Swimming Pool,Lighting and Water Feature,Reception,Smart Home Feature,Lobby Lounge"
Lake view apartment at Gulshan,Used Flat,4,4,1,2600,2008,https://bestbari.com/flat-sale-dhaka/lake-view-apartment-at-gulshan/,"Garage,Full Load Power Backup,Interior Designed Lobbies,Common Area,Parking,Landscaping,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Waiting Lobby,Children Play Area,Cloth Drying Area,Guard Post,Reception"
Northern Lights,Apartment,4,4,1,6435,2021,https://bestbari.com/flat-sale-dhaka/northern-lights/,"Air Conditioning,Full Load Power Backup,Interior Designed Lobbies,Common Area,Parking,Landscaping,Security Surveillance System,Fire Fighting and Detection System,Swimming Pool,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Rooftop Landscaping,Multipurpose Room for Prayer and Meeting,Waiting Lobby,Gym,Automated Watering System,Children Play Area,Fire Protection,Fitness Center,Lighting and Water Feature,Reception,Lobby Lounge"
Chisty's Yacht,Apartment,4,5,1,3544,2021,https://bestbari.com/flat-sale-dhaka/chistys-yacht/,"Air Conditioning,Full Load Power Backup,Interior Designed Lobbies,Double Glazed Glass Window,Multi Level Basement Car Parking,Landscaping,Security Surveillance System,Fire Fighting and Detection System,Swimming Pool,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Rooftop Landscaping,Multipurpose Room for Prayer and Meeting,Security Room,Fitness Center,Reception,Lobby Lounge"
The Landing 104,Apartment,3,3,1,3500,2022,https://bestbari.com/flat-sale-dhaka/the-landing-104/,"Air Conditioning,Full Load Power Backup,Interior Designed Lobbies,Common Area,Parking,Landscaping,Security Surveillance System,Fire Fighting and Detection System,Swimming Pool,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Rooftop Landscaping,Waiting Room,Waiting Lobby,Gym,Security Room,Children Play Area,Community Space,Fire Protection,Reception,Lobby Lounge"
Concord Rafat Kamar,Apartment,3,4,1,2475,2022,https://bestbari.com/flat-sale-dhaka/concord-rafat-kamar/,"Air Conditioning,Corner Plot,Full Load Power Backup,Interior Designed Lobbies,Common Area,Parking,Landscaping,Security Surveillance System,Fire Fighting and Detection System,Swimming Pool,International Standard Lift,Stretcher Lift,Generator Backup,24/7 CCTV Surveillance,Rooftop Landscaping,Multipurpose Room for Prayer and Meeting,Waiting Lobby,Fire Protection,Fitness Center,Reception,Smart Home Feature,Lobby Lounge"
Skymark,Apartment,4,4,2,5611,2021,https://bestbari.com/flat-sale-dhaka/skymark/,"Air Conditioning,Full Load Power Backup,Interior Designed Lobbies,Common Area,Double Glazed Glass Window,Multi Level Basement Car Parking,Landscaping,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Stretcher Lift,Generator Backup,24/7 CCTV Surveillance,Rooftop Landscaping,Multipurpose Room for Prayer and Meeting,Gym,Security Room,Children Play Area,Community Space,Fire Protection,Fitness Center,Reception,Lobby Lounge"
The Serenity,Apartment,4,4,1,4055,2022,https://bestbari.com/flat-sale-dhaka/the-serenity/,"Full Load Power Backup,Interior Designed Lobbies,Common Area,Parking,Landscaping,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,Exercise Studio,Gym,Security Room,Fire Protection,Lighting and Water Feature,Reception,Lobby Lounge"
Sheltech Mozendra,"Apartment, Commercial",3,3,1,1750,,https://bestbari.com/flat-sale-dhaka/sheltech-mozendra/,"Full Load Power Backup,Common Area,Parking,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Stretcher Lift,Generator Backup,Multipurpose Room for Prayer and Meeting,Children Play Area,Driver Waiting,Fire Protection,Guard Accommodation,Guard Post,Reception,Lobby Lounge"
Sheltech Zahara Bakul,Apartment,4,4,1,2877,2021,https://bestbari.com/flat-sale-dhaka/sheltech-zahara-bakul/,"Common Area,Parking,International Standard Lift,Generator Backup,Waiting Room,Security Room,Children Play Area,Cloth Drying Area,Fire Protection,Guard Post,Reception,Lobby Lounge"
Sheltech Rebecca,Apartment,3,3,1,1824,2021,https://bestbari.com/flat-sale-dhaka/sheltech-rebecca/,"Full Load Power Backup,Parking,International Standard Lift,Generator Backup,Security Room,Children Play Area,Cloth Drying Area,Community Space,Fire Protection,Guard Post,Reception,Lobby Lounge"
Navana Arch Legacy,Apartment,4,4,1,4780,2022,https://bestbari.com/flat-sale-dhaka/navana-arch-legacy/,"Full Load Power Backup,Interior Designed Lobbies,Common Area,Parking,Landscaping,Security Surveillance System,Fire Fighting and Detection System,Swimming Pool,International Standard Lift,Stretcher Lift,Generator Backup,24/7 CCTV Surveillance,Rooftop Landscaping,Children Play Area,Cloth Drying Area,Community Space,Fire Protection,Reception,Lobby Lounge"
Navana Silverwood,Apartment,4,5,1,3425,2021,https://bestbari.com/flat-sale-dhaka/navana-silverwood/,"Full Load Power Backup,Interior Designed Lobbies,Common Area,Parking,Fire Fighting and Detection System,Swimming Pool,International Standard Lift,Generator Backup,Gym,Security Room,Fire Protection,Reception,Lobby Lounge"
Navana Wedgewood,Apartment,3,4,1,3998,2022,https://bestbari.com/flat-sale-dhaka/navana-wedgewood/,"Air Conditioning,Full Load Power Backup,Interior Designed Lobbies,Common Area,Double Glazed Glass Window,Multi Level Basement Car Parking,Parking,Landscaping,Security Surveillance System,Fire Fighting and Detection System,Swimming Pool,International Standard Lift,Stretcher Lift,Generator Backup,24/7 CCTV Surveillance,Rooftop Landscaping,Waiting Room,Exercise Studio,Waiting Lobby,Gym,Community Space,Fire Protection,Guard Post,Reception,Lobby Lounge"
Navana Kisholoy,Apartment,4,5,2,3669,2021,https://bestbari.com/flat-sale-dhaka/navana-kisholoy/,"Air Conditioning,Full Load Power Backup,Interior Designed Lobbies,Common Area,Parking,Landscaping,Security Surveillance System,Fire Fighting and Detection System,Swimming Pool,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Rooftop Landscaping,Multipurpose Room for Prayer and Meeting,Security Room,Community Space,Fire Protection,Guard Post,Reception,Lobby Lounge"
Navana Shatadal Leaf,Apartment,4,5,2,3721,2022,https://bestbari.com/flat-sale-dhaka/navana-shatadal-leaf/,"Common Area,Parking,Landscaping,Security Surveillance System,Fire Fighting and Detection System,Swimming Pool,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Waiting Room,Gym,Security Room,Community Space,Fire Protection,Reception,Lobby Lounge"
Navana Chanelle De Zohra,Apartment,4,4,2,3418,2021,https://bestbari.com/flat-sale-dhaka/navana-chanelle-de-zohra/,"Air Conditioning,Full Load Power Backup,Multi Level Basement Car Parking,Parking,Landscaping,Security Surveillance System,Fire Fighting and Detection System,Swimming Pool,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Multipurpose Room for Prayer and Meeting,Waiting Lobby,Gym,Community Space,Fire Protection,Guard Post,Reception,Smart Home Feature,Lobby Lounge"
Angan,Apartment,4,4,1,3450,2021,https://bestbari.com/flat-sale-dhaka/angan/,"Garden,Full Load Power Backup,Interior Designed Lobbies,Parking,Landscaping,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Rooftop Landscaping,Exercise Studio,Automated Watering System,Security Room,Children Play Area,Community Space,Fire Protection,Reception,Lobby Lounge"
Lakehouse,Apartment,4,4,1,3513,2021,https://bestbari.com/flat-sale-dhaka/lakehouse/,"Air Conditioning,Full Load Power Backup,Interior Designed Lobbies,Common Area,Parking,Landscaping,Security Surveillance System,Fire Fighting and Detection System,International Standard Lift,Generator Backup,24/7 CCTV Surveillance,Exercise Studio,Gym,Community Space,Fire Protection,Reception,Lobby Lounge"
