Name,Location,Bathrooms,Bedrooms,Size (in sqft),Size Range (in sqft),Price per sqft,Ownership type,Floor,Posting,Features,Total price,AD URL
Sina Sweet Pea                                        , Dhaka , 2 , 3 , 950 SqFt,801-1000 SqFt,,Owner, 6 ,Sale,"Cable TV ,Balcony ,Parking ","29,500,000.00",https://www.estatemartbd.com/property/240/en/sina_sweet_pea
Commercial Space To-Let                                        , 1208 , 2 ,, 1500 SqFt,1301-1800 SqFt,,Owner, 1500 ,Rent,,"60,000.00",https://www.estatemartbd.com/property/239/en/commercial_space_to_let
Rahman Nagor Abashik Prokolpo                                        ," Uttorkhan, Dhaka ",,, 3/5 kata SqFt,1801-2400 SqFt, 3000000 ,Builder,,Sale,,,https://www.estatemartbd.com/property/227/en/rahman_nagor_abashik_prokolpo
"1518 sqft, 3 Beds large Apartment is ready for sale in Paltan, Dhaka - EstateMart                                        ", Dhaka , 3 , 3 , 1518 SqFt,1301-1800 SqFt," 11,000 ",Agent, 16 ,Sale,"Balcony ,Lift ,Grill ,Pool ,Parking ","16,698,000.00",https://www.estatemartbd.com/property/233/en/1518_sqft_3_beds_large_apartment_is_ready_for_sale_in_paltan_dhaka_estatemart
Purbachal Bestway City Ready Plot for Sale                                        ," Purbachal, Dhaka ",,,,, 2500000 per Katha ,,,Sale,,,https://www.estatemartbd.com/property/219/en/purbachal_bestway_city_ready_plot_for_sale
The Valley Bangladesh                                        , Dhaka ,,," 3, 4, 5 kasha land SqFt",2401-3000 SqFt, 1400000/katha ,Owner,,Sale,,"4,200,000.00",https://www.estatemartbd.com/property/234/en/the_valley_bangladesh
1250 Sqft Flat for Sale along with the Land Share at South Banasree                                        , Banasree Dhaka , 3 , 3 , 1250 SqFt,1001-1300 SqFt,,Agent,,Sale,,"1,660,000.00",https://www.estatemartbd.com/property/231/en/1250_sqft_flat_for_sale_along_with_the_land_share_at_south_banasree
"A well-developed 1300 sq ft apartment is available for sale in Section-12, Mirpur                                        ", Dhaka , 3 , 3 , 1300 SqFt,1001-1300 SqFt,,Builder, 2 ,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Pool ,Parking ","7,500,000.00",https://www.estatemartbd.com/property/230/en/a_well_developed_1300_sq_ft_apartment_is_available_for_sale_in_section_12_mirpur
"A Fairly Large 1000 Sq Ft Apartment is Ready for Sale in Section 12, Pallabi                                        ", Dhaka , 3 , 3 , 1000 SqFt,801-1000 SqFt, 6000 ,Builder, 8 ,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Pool ,Parking ","6,000,000.00",https://www.estatemartbd.com/property/229/en/a_fairly_large_1000_sq_ft_apartment_is_ready_for_sale_in_section_12_pallabi
"Ready Flat For Sale In Shyamoli, Shakhertek Main Rd Nearby Mohammdpur Jame Masjid                                        ", Dhaka , 03 , 03 , 1400 SqFt,1301-1800 SqFt, 6000 ,Agent, 2nd ,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Balcony ,Lift ,Parking ","8,700,000.00",https://www.estatemartbd.com/property/232/en/ready_flat_for_sale_in_shyamoli_shakhertek_main_rd_nearby_mohammdpur_jame_masjid
Apon Nibas Land Share Sale for 1350 Sqft Flat at 54 No. Ward Dhaka                                        , Uttara , 3 , 3 , 1350 SqFt,1301-1800 SqFt, 3000 ,Owner, B+ G+ 9 ,Sale,,,https://www.estatemartbd.com/property/216/en/apon_nibas_land_share_sale_for_1350_sqft_flat_at_54_no_ward_dhaka
"B H Kornoduli Tower Flat for Sale at East-Pallabi, Dhaka                                        "," Mirpur, Dhaka ", 3 , 3 , 1200 SqFt,1001-1300 SqFt, 2800 ,Builder," 3rd, 4th, 6th, 7th & 9th ",Sale,,,https://www.estatemartbd.com/property/213/en/b_h_kornoduli_tower_flat_for_sale_at_east_pallabi_dhaka
"South Facing 4.5 Katha Ready Plot Sale at Ati Bazar,1st Project                                        ", Dhaka ,,, 3240 SqFt,3001-5000 SqFt,,Owner,,Sale,,,https://www.estatemartbd.com/property/169/en/south_facing_45_katha_ready_plot_sale_at_ati_bazar1st_project
Buy 1st Floor Shop at Olympia Plaza                                        , Savar ,,, 115 SqFt,600-800 SqFt, 15000 ,Owner, 1st Floor ,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Lift ,Grill ,Pool ,Parking ","1,725,000.00",https://www.estatemartbd.com/property/206/en/buy_1st_floor_shop_at_olympia_plaza
Scion Priyota Apartment for Sale                                        , Dhaka , 2 , 3 , 1075 SqFt,1001-1300 SqFt, 5500 ,Builder, 4th ,Sale,"Air conditioning ,Cable TV ,Dishwasher ,Heating ,Internet ,Balcony ,Lift ,Grill ,Parking ","6,500,000.00",https://www.estatemartbd.com/property/165/en/scion_priyota_apartment_for_sale
Scion Habib Villa Apartment for Sale                                        , Dhaka , 3 , 3 , 1125 SqFt,1001-1300 SqFt, 6000 ,Builder, 4th ,Sale,"Air conditioning ,Cable TV ,Dishwasher ,Heating ,Balcony ,Lift ,Grill ,Parking ","7,450,000.00",https://www.estatemartbd.com/property/162/en/scion_habib_villa_apartment_for_sale
ONWARD JARBELLA 1560 Sqft Apartment for Sale at North Kazipara                                        , Dhaka , 3 , 3 , 1560 SqFt,1301-1800 SqFt, 5500 ,Builder, G+9 ,Sale,"Balcony ,Lift ,Grill ,Parking ","9,180,000.00",https://www.estatemartbd.com/property/180/en/onward_jarbella_1560_sqft_apartment_for_sale_at_north_kazipara
B H Falcon Tower 1300 Sqft Flat for Sale at ECB to Kalshi Main Road                                        ," Mirpur, Dhaka ", 3 , 3 , 1300 SqFt,1001-1300 SqFt, 4500 ,Builder," 3rd, 5th, 7th, 9th ",Sale,,,https://www.estatemartbd.com/property/214/en/b_h_falcon_tower_1300_sqft_flat_for_sale_at_ecb_to_kalshi_main_road
A Commercial Space Is Available For Sale in Ashulia near Savar DOHS and D-EPZ                                        , Savar ,,, 135 SqFt,600-800 SqFt, 18000 ,Owner,,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Lift ,Pool ,Parking ","2,430,000.00",https://www.estatemartbd.com/property/193/en/a_commercial_space_is_available_for_sale_in_ashulia_near_savar_dohs_and_d_epz
"ONWARD TIVOLI 1568 Sqft Fascinating Flat Sale at Aga Sadek Road, Old Dhaka                                        ", Dhaka , 3 , 3 , 1568 SqFt,1301-1800 SqFt, 7000 ,Builder," 3rd, 4th, 7th ",Sale,"Air conditioning ,Dishwasher ,Heating ,Balcony ,Lift ,Grill ,Parking ","11,600,000.00",https://www.estatemartbd.com/property/183/en/onward_tivoli_1568_sqft_fascinating_flat_sale_at_aga_sadek_road_old_dhaka
"ONWARD PLEASANCE 1480 Sqft Lucrative Flat Sale Near Apollo Hospital, Bashundhara R/A                                        ", Dhaka , 3 , 3 , 1480 SqFt,1301-1800 SqFt, 7900 ,Builder," 1st, 4th, 6th & 8th ",Sale,"Air conditioning ,Heating ,Microwave ,Balcony ,Lift ,Grill ,Parking ","12,500,000.00",https://www.estatemartbd.com/property/182/en/onward_pleasance_1480_sqft_lucrative_flat_sale_near_apollo_hospital_bashundhara_ra
B H Munni Tower 1270 Sqft Flat for Sale at Dhaka Cantonment                                        , Dhaka , 3 ,, 1270 SqFt,1001-1300 SqFt, 4500 ,Builder," 3rd, 4th, 6th, 7th & 9th ",Sale,"Balcony ,Lift ,Pool ",,https://www.estatemartbd.com/property/209/en/b_h_munni_tower_1270_sqft_flat_for_sale_at_dhaka_cantonment
"ONWARD HAYAT 1366 Sqft Apartment for Sale at Pallabi, Mirpur                                        ", Dhaka , 3 , 3 , 1366 SqFt,1301-1800 SqFt, 5700 ,Builder, 1st ,Sale,"Air conditioning ,Heating ,Balcony ,Lift ,Grill ,Parking ","8,400,000.00",https://www.estatemartbd.com/property/181/en/onward_hayat_1366_sqft_apartment_for_sale_at_pallabi_mirpur
"Holy Dream 1500 Sqft Apartment for Sale at Noyanagar Majid Market, Uttara                                        "," Uttara, Dhaka ", 3 , 3 , 1500 SqFt,1301-1800 SqFt,,Owner, B+ G+ 9 ,Sale,,"4,500,000.00",https://www.estatemartbd.com/property/190/en/holy_dream_1500_sqft_apartment_for_sale_at_noyanagar_majid_market_uttara
ONWARD ARAFAT 1237 Sqft Apartment for Sale at West Kafrul                                        , Dhaka , 3 , 3 , 1237 SqFt,1001-1300 SqFt, 6200 ,Builder, G+9 ,Sale,"Air conditioning ,Internet ,Balcony ,Lift ,Grill ,Parking ","7,669,400.00",https://www.estatemartbd.com/property/179/en/onward_arafat_1237_sqft_apartment_for_sale_at_west_kafrul
জমির শেয়ারসহ ফ্ল্যাট বিক্রয়                                        , Banasree Dhaka ,,, 1220 SqFt,1001-1300 SqFt,,Agent,,Sale,,,https://www.estatemartbd.com/property/208/en
"Smart Luxuries Condominium Type-B/D, Apartment for Sale                                        ", Dhaka , 3 , 3 , 1380 SqFt,1301-1800 SqFt, 5500 ,Agent, G+9 ,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Parking ","7,590,000.00",https://www.estatemartbd.com/property/154/en/smart_luxuries_condominium_type_bd_apartment_for_sale
1300 Square Fit Flat for Rent.                                        , Dhaka , 3 , 3 , 1300 SqFt,50-100m2,,Owner,,Rent,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Parking ","42,000.00",https://www.estatemartbd.com/property/105/en/1300_square_fit_flat_for_rent
"Smart Luxuries Condominium Type-A, Apartment for Sale                                        ", Dhaka , 3 , 3 , 1800 SqFt,1301-1800 SqFt, 5500 ,Agent, G+9 ,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Parking ","9,900,000.00",https://www.estatemartbd.com/property/153/en/smart_luxuries_condominium_type_a_apartment_for_sale
"1365 sqft, 3 Beds Apartment/Flats For Sale at Alobtirtek, East-Pallabi                                        ", Dhaka , 3 , 3 , 1365 SqFt,1301-1800 SqFt, 2800 ,Builder," 3rd, 4th, 6th, 7th & 9th ",Sale,"Balcony ,Lift ,Parking ","4,300,000.00",https://www.estatemartbd.com/property/149/en/1365_sqft_3_beds_apartmentflats_for_sale_at_alobtirtek_east_pallabi
"Smart Luxuries Condominium Type-G, Apartment for Sale                                        ", Dhaka , 3 , 3 , 1450 SqFt,1301-1800 SqFt, 5500 ,Agent, G+9 ,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Parking ","7,975,000.00",https://www.estatemartbd.com/property/152/en/smart_luxuries_condominium_type_g_apartment_for_sale
Flat for Mortgage for 2 Years                                        , Dhaka , 2 , 2 , 700 SqFt,Less than 50m2,,Owner,,Rent,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ",,https://www.estatemartbd.com/property/99/en/flat_for_mortgage_for_2_years
"1350 Sft 3 Bed Aptartment for Sale at Dholpur, Jatrabari                                        ", Dhaka , 3 , 3 ," 1,350 SqFt",Less than 50m2,,Builder, G+6 ,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Parking ","5,400,000.00",https://www.estatemartbd.com/property/95/en/1350_sft_3_bed_aptartment_for_sale_at_dholpur_jatrabari
জমিসহ বাড়ি বিক্রয়                                        , Dhaka , 4 , 6 , 2000 SqFt,,,,,Sale,,"8,500,000.00",https://www.estatemartbd.com/property/101/en
House for Sale in Dhamrai                                        , Dhaka ,,, 2178 SqFt,50-100m2,,,,Sale,,,https://www.estatemartbd.com/property/102/en/house_for_sale_in_dhamrai
"Lucrative Flat Sale Aga Sadek Road, Old Dhaka                                        ", Dhaka , 3 , 3 ," 1,842 SqFt",50-100m2,,Builder, B+G+9 ,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Parking ","12,894,000.00",https://www.estatemartbd.com/property/106/en/lucrative_flat_sale_aga_sadek_road_old_dhaka
Commercial Space for Rent in New Market                                        , Dhaka ,,, 100 SqFt,Less than 50m2,,Owner,,Rent,"Cable TV ,Computer ,Dishwasher ,Heating ,Internet ",,https://www.estatemartbd.com/property/98/en/commercial_space_for_rent_in_new_market
House for Sale in Kamrangirchar                                        , Dhaka ,,, 2016 SqFt,50-100m2,,,,Sale,,"12,500,000.00",https://www.estatemartbd.com/property/107/en/house_for_sale_in_kamrangirchar
1702 Sft New Luxurious Flat for Sale at Chawkbazar                                        , Dhaka , 3 , 3 , 1702 SqFt,50-100m2,,, B+G+9 ,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Parking ","11,914,000.00",https://www.estatemartbd.com/property/104/en/1702_sft_new_luxurious_flat_for_sale_at_chawkbazar
একটি রেডি পাচ তলা বাড়ি৷ বিক্রি করা হবে                                        , Dhaka ,,, 1260 SqFt,Less than 50m2,,Owner,,Sale,,"16,000,000.00",https://www.estatemartbd.com/property/108/en
২০০ ফিটের কাছে এন-ব্লকে ৪১ কাঠা ৩০০ ফুট সংলগ্ন বাউন্ডারি করা প্লট                                        , Dhaka ,,, 29520 SqFt,More than 100m2,,Owner,,Sale,,"266,500,000.00",https://www.estatemartbd.com/property/80/en
"Luxury Single Unit 2198 Sft. Apartment at D Block, Bashundhara                                        ", Dhaka , 4 , 4 ," 2,198 SqFt",50-100m2,,Builder, G+8 ,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Parking ","16,482,802.00",https://www.estatemartbd.com/property/111/en/luxury_single_unit_2198_sft_apartment_at_d_block_bashundhara
455sqft Exclusive Ongoing Flat Sale in Banani                                        , Dhaka , 4 , 4 ," 2,455 SqFt",More than 100m2,,,,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Parking ","24,525,450.00",https://www.estatemartbd.com/property/82/en/455sqft_exclusive_ongoing_flat_sale_in_banani
30 Khata Plot Selling with All Existing Properties                                        , Dhaka ,,, 21600 SqFt,More than 100m2,,Owner,,Sale,,"8,970,000.00",https://www.estatemartbd.com/property/103/en/30_khata_plot_selling_with_all_existing_properties
"আগাসাদেক রোড এ নিউ এ্যাপার্টমেন্ট বিক্রয়, পুরান ঢাকা                                        ", Dhaka , 3 , 3 ," 1,697 SqFt",50-100m2,,Builder,,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Parking ","11,879,000.00",https://www.estatemartbd.com/property/81/en
4600sft Duplex Apartment in Gulshan Lake Drive Road                                        , Dhaka , 6 , 6 ," 4,600 SqFt",More than 100m2,,Builder, G+8 ,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Parking ","41,216,000.00",https://www.estatemartbd.com/property/77/en/4600sft_duplex_apartment_in_gulshan_lake_drive_road
"1,400 sqft Almost Ready Flat For Sale in Mohammadpur                                        ", Dhaka , 3 , 3 , 1400 SqFt,50-100m2,,Owner,,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Parking ","6,500,000.00",https://www.estatemartbd.com/property/67/en/1400_sqft_almost_ready_flat_for_sale_in_mohammadpur
নিরিবিলি পরিবেশে ১৩৫০ বর্গফুট ফ্ল্যাট কিনুন মেরুল বাড্ডায় !                                        , Dhaka , 3 , 3 , 1350 SqFt,50-100m2,,Builder, G+9 ,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Parking ","6,480,000.00",https://www.estatemartbd.com/property/64/en
কমার্শিয়াল এল-ব্লকে ২৪ কাঠা ১৩০ ফুট সংলগ্ন বাউন্ডারি করা প্লট                                        , Dhaka ,,, 17280 SqFt,More than 100m2,,Owner,,Sale,,"276,000,000.00",https://www.estatemartbd.com/property/59/en
4 Bed BDDL Exclusive Apartment at Dhanmondi                                        , Dhaka , 4 , 4 ," 2,218 SqFt",More than 100m2,,Builder, G + 9 ,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Pool ,Parking ","30,000,000.00",https://www.estatemartbd.com/property/60/en/4_bed_bddl_exclusive_apartment_at_dhanmondi
2nd Floor Available for Office or Warehouse or Showroom                                        , Dhaka ,,, 2100 SqFt,50-100m2,,Owner,,Rent,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ",,https://www.estatemartbd.com/property/66/en/2nd_floor_available_for_office_or_warehouse_or_showroom
Green Condominium Bddl Apartment with Swimming Pool at Khilgaon                                        , Dhaka , 3 , 3 ," 1,638 SqFt",More than 100m2,,Builder, 10 Storied 5 Nos Building ,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Pool ,Parking ","10,647,000.00",https://www.estatemartbd.com/property/62/en/green_condominium_bddl_apartment_with_swimming_pool_at_khilgaon
1310 sqft Flat for Sale Near Kazipara Bus Stand                                        , Dhaka , 3 , 3 ," 1,310 SqFt",50-100m2,,Builder,,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Parking ","7,205,000.00",https://www.estatemartbd.com/property/63/en/1310_sqft_flat_for_sale_near_kazipara_bus_stand
3 Bed with Play Lot Swimming Pool Apartment in Dhanmondi                                        , Dhaka , 3 , 3 ," 1,409 SqFt",More than 100m2,,Builder, G+13 ,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Pool ,Parking ","11,976,500.00",https://www.estatemartbd.com/property/61/en/3_bed_with_play_lot_swimming_pool_apartment_in_dhanmondi
Apartment at Prime Location for Sale                                        , Dhaka , 3 , 3 , 1581 SqFt,50-100m2,,Builder, G+6 ,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Parking ","10,600,000.00",https://www.estatemartbd.com/property/47/en/apartment_at_prime_location_for_sale
2080 sqft 5 Bed and 5 Bath Duplex Flat for Sale at Lalbag Dhaka                                        ," Lalbag, Dhaka ", 5 , 5 , 2080 SqFt,1801-2400 SqFt, 4700 ,Builder, B+G+9 ,Sale,"Balcony ,Lift ,Grill ","9,776,000.00",https://www.estatemartbd.com/property/195/en/2080_sqft_5_bed_and_5_bath_duplex_flat_for_sale_at_lalbag_dhaka
100% Ready Apartment Sale in Mirpur-2                                        , Dhaka , 2 , 3 ," 1,030 SqFt",50-100m2,,Builder, G+7 ,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Parking ","4,800,000.00",https://www.estatemartbd.com/property/42/en/100_ready_apartment_sale_in_mirpur_2
"1706 Sqft Luxurious Apartment for Sale Hatirjheel, Rampura                                        ", Dhaka , 4 , 3 , 1706 SqFt,1301-1800 SqFt, 5200 ,Builder, G + 9 ,Sale,"Balcony ,Lift ,Grill ","8,871,200.00",https://www.estatemartbd.com/property/189/en/1706_sqft_luxurious_apartment_for_sale_hatirjheel_rampura
"1,240 Sqft Ready Flat for Sale Near Airport                                        ", Dhaka , 3 , 3 ," 1,240 SqFt",1001-1300 SqFt, 4500 ,Builder, G+9 ,Sale,"Balcony ,Lift ,Grill ,Parking ","5,580,000.00",https://www.estatemartbd.com/property/188/en/1240_sqft_ready_flat_for_sale_near_airport
1275 sft Impressive Flat for Sale                                        , Dhaka , 3 , 3 ," 1,275 SqFt",50-100m2,,Owner, G+8 ,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Parking ","5,600,000.00",https://www.estatemartbd.com/property/46/en/1275_sft_impressive_flat_for_sale
1640 Sft Flat for Sale at West Dhanmondi                                        , Dhaka , 4 , 4 ," 1,640 SqFt",50-100m2,,, G+6 ,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Parking ","9,000,000.00",https://www.estatemartbd.com/property/43/en/1640_sft_flat_for_sale_at_west_dhanmondi
LUXURY 1645 sft. Flat For Sale at Near to NSU & IUB of Bashundhara                                        ," Purbachal, Dhaka ", 3 , 3 , 1645 SqFt,1301-1800 SqFt, 7500 ,Builder, G+9 ,Sale,"Balcony ,Lift ,Grill ","12,337,500.00",https://www.estatemartbd.com/property/196/en/luxury_1645_sft_flat_for_sale_at_near_to_nsu_iub_of_bashundhara
"Apartment with Paly Ground, Gym, Swimming Pool at Mirpur                                        ", Dhaka , 4 , 3 ," 1,666 SqFt",1301-1800 SqFt, 6500 ,Builder, B+G+13 Storied ,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Pool ,Parking ","10,829,000.00",https://www.estatemartbd.com/property/185/en/apartment_with_paly_ground_gym_swimming_pool_at_mirpur
"Almost Ready 1200 Sqft Flat with 3 Bed and 3 Bath at Hemayetpur, Savar R/A                                        "," Savar, Dhaka ", 3 , 3 , 1200 SqFt,1001-1300 SqFt,,Owner,,Sale,"Balcony ,Lift ,Grill ","3,700,000.00",https://www.estatemartbd.com/property/198/en/almost_ready_1200_sqft_flat_with_3_bed_and_3_bath_at_hemayetpur_savar_ra
"100% Ready 1265 Sqft Flat at Dhaka Uddyan, Mohammadpur, Dhaka                                        "," Mohammadpur, Dhaka ", 3 , 3 , 1265 SqFt,1001-1300 SqFt, 3600 ,Owner, G+8 ,Sale,"Balcony ,Lift ,Grill ","4,554,000.00",https://www.estatemartbd.com/property/197/en/100_ready_1265_sqft_flat_at_dhaka_uddyan_mohammadpur_dhaka
"মাত্র ১৬,৬০,০০০ টাকায় ৩২ কাঠা জমির ১০৪ এর ১ অংশ রেজিষ্ট্রেশন করে আপনার ১২৪০ বর্গফুটের ফ্লাটটি নিশ্চিত করুন।                                        "," Banasree, Dhaka ",,, 1240 SqFt,1001-1300 SqFt,,Agent, G+13 ,Sale,,"1,660,000.00",https://www.estatemartbd.com/property/207/en
Noor Land and Home Development Ltd.                                        , Dhaka south ,,, 1260 SqFt,1001-1300 SqFt, 2950 ,Owner,,Sale,,"1,250,000.00",https://www.estatemartbd.com/property/156/en/noor_land_and_home_development_ltd
RPL LR TOWER Exclusive Flat Sale at Arshi Nagar                                        , Dhaka , 3 , 3 , 1250 SqFt,1001-1300 SqFt, 3500 ,Owner, 9 ,Sale,"Balcony ,Lift ,Grill ,Parking ","4,375,000.00",https://www.estatemartbd.com/property/159/en/rpl_lr_tower_exclusive_flat_sale_at_arshi_nagar
"Ready Flat for Sale at Bashundhara, Block B                                        "," Bashundhara, Dhaka ", 3 , 4 ," 2,360 SqFt",1801-2400 SqFt, 9500 ,Builder, B+G+8 ,Sale,"Air conditioning ,Cable TV ,Computer ,Internet ,Balcony ,Lift ,Grill ","22,420,000.00",https://www.estatemartbd.com/property/186/en/ready_flat_for_sale_at_bashundhara_block_b
"Condominium Apartment at Mohammadpur, Dhaka                                        ", Dhaka , 4 , 3 ," 1,506 SqFt",1301-1800 SqFt, 6800 ,Builder,,Sale,"Air conditioning ,Cable TV ,Computer ,Internet ,Balcony ,Lift ,Grill ,Parking ","10,240,800.00",https://www.estatemartbd.com/property/187/en/condominium_apartment_at_mohammadpur_dhaka
"3650 Sqft Luxurious Flat for Sale in Bashundhara, Block-C                                        ", Dhaka , 5 , 4 ," 3,650 SqFt",,,, B+G+8 ,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Parking ","47,000,000.00",https://www.estatemartbd.com/property/125/en/3650_sqft_luxurious_flat_for_sale_in_bashundhara_block_c
"4 Kattha Plot for Sale in East Baunia, Dhaka                                        ", Dhaka ,,, 2880 SqFt,50-100m2,,,,Sale,,"8,800,000.00",https://www.estatemartbd.com/property/91/en/4_kattha_plot_for_sale_in_east_baunia_dhaka
"House for Rent in Gulshan-2, Dhaka                                        ", Dhaka ,,, 4500 SqFt,,,Owner,,Rent,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Grill ,Parking ",,https://www.estatemartbd.com/property/127/en/house_for_rent_in_gulshan_2_dhaka
Luxury Individual House for Rent at Gulshan                                        , Dhaka ,,," 8,000 SqFt",,,Owner,,Rent,,,https://www.estatemartbd.com/property/128/en/luxury_individual_house_for_rent_at_gulshan
5 Katha Plot for Investment at P Block                                        , Dhaka ,,, 3600 SqFt,More than 100m2,,Owner,,Sale,,"15,000,000.00",https://www.estatemartbd.com/property/89/en/5_katha_plot_for_investment_at_p_block
