Name,Location,Bathrooms,Bedrooms,Size (in sqft),Size Range (in sqft),Price per sqft,Ownership type,Floor,Posting,Features,Total price,AD URL
National Housing Project                                        ," Dhaka,mirpur ", 4 , 3 , 1545 SFT SqFt,Less than 50m2,,Agent," 1st,11th floor available. ",Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Parking ","8,200.00",https://www.estatemartbd.com/property/97/en/national_housing_project
Warehouse for Sale                                        , Dhaka ,,, 1000 SqFt,,,Builder,,Sale,"Cable TV ,Computer ,Dishwasher ,Heating ,Internet ","12,500,000.00",https://www.estatemartbd.com/property/100/en/warehouse_for_sale
সম্পুর্ণ চালু অবস্থায় নতুন ডেকোরেশন করা বড় রেস্টুরেন্টে ভারা দেওয়া হবে                                        , Dhaka , 3 , 3 ," 1,480 SqFt",,,Builder, B+G+9 ,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Parking ","11,692,000.00",https://www.estatemartbd.com/property/123/en
বনানীতে বাণিজ্যিক ভবন ভাড়া হবে                                        , Dhaka ,,, 2000 SqFt,50-100m2,,Builder,,Rent,"Air conditioning ,Cable TV ,Computer ,Heating ,Internet ,Lift ,Parking ",,https://www.estatemartbd.com/property/53/en
২.০৮ কাটা প্লট বিক্রি হবে আফতাব নগর প্রজেক্ট ঢাকা                                        , Dhaka ,,, 1498 SqFt,50-100m2,,Owner,,Sale,,"16,640,000.00",https://www.estatemartbd.com/property/65/en
4 Kattha Plot for Sale in An Impressive Position                                        , Dhaka ,,, 2880 SqFt,More than 100m2,,,,Sale,,,https://www.estatemartbd.com/property/45/en/4_kattha_plot_for_sale_in_an_impressive_position
সূলভ মূল্যে ১টি পার্কিং+ সার্বিক সুবিধা + রেডি ফ্লাট বিক্রয় হবে                                        , Dhaka , 2 , 2 , 910 SqFt,Less than 50m2,,Owner,,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Parking ","3,500,000.00",https://www.estatemartbd.com/property/71/en
GA Nazma Garden Flat For Sale                                        , Dhaka , 2 , 2 , 900 SqFt,Less than 50m2,,Builder,,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Parking ","3,900,000.00",https://www.estatemartbd.com/property/87/en/ga_nazma_garden_flat_for_sale
1600 Sft South Facing Flat for Sale in Rampura Banasree                                        , Dhaka , 3 , 4 , 1575 SqFt,50-100m2,,Owner,,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Parking ","8,200,000.00",https://www.estatemartbd.com/property/76/en/1600_sft_south_facing_flat_for_sale_in_rampura_banasree
"South Facing Flat for Rent in Block - F, Bashundhara R/a                                        ", Dhaka , 4 , 3 , 1760 SqFt,50-100m2,,Owner,,Rent,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Parking ","26,000.00",https://www.estatemartbd.com/property/110/en/south_facing_flat_for_rent_in_block_f_bashundhara_ra
Ongoing 1645 Sqft Luxurious Flat for Sale at Bashundhara                                        , Dhaka , 3 , 3 ," 1,645 SqFt",50-100m2,,, G+9 ,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Parking ","12,337,500.00",https://www.estatemartbd.com/property/115/en/ongoing_1645_sqft_luxurious_flat_for_sale_at_bashundhara
House for Sale                                        , Dhaka ,,, 720 SqFt,Less than 50m2,,,,Sale,,"1,100,000.00",https://www.estatemartbd.com/property/44/en/house_for_sale
আই-ব্লক ১০ কাঠা দক্ষিন মুখি প্লট বিক্রয় ১০০ ফিট রোডের কাছে                                        , Dhaka ,,, 7200 SqFt,More than 100m2,,Builder,,Sale,,"66,000,000.00",https://www.estatemartbd.com/property/117/en
"৬০ ফিট রোডে দক্ষিণমূখী ৩ কাঠা প্লট বিক্রয় এন ব্লক, বসুন্ধরা, ঢাকা                                        ", Dhaka ,,, 2160 SqFt,50-100m2,,Owner,,Sale,,"13,500,000.00",https://www.estatemartbd.com/property/124/en
বসুন্ধরা আই ব্লকে দক্ষিণ মুখী ফ্ল্যাট বিক্রয়                                        , Dhaka , 2 , 2 , 800 SqFt,,,Owner,,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Parking ","5,200,000.00",https://www.estatemartbd.com/property/122/en
Single Unit South Facing Brand New Apartment for Sale                                        , Dhaka , 4 , 4 , 3900 SqFt,,,Builder,,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Parking ","60,450,000.00",https://www.estatemartbd.com/property/126/en/single_unit_south_facing_brand_new_apartment_for_sale
Exclusive 4 Bed 3608 Sqft Flat for Sale at Gulshan North Avenue                                        , Dhaka , 4 , 4 ," 3,608 SqFt",More than 100m2,,Builder, G+5 ,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Parking ","55,500,000.00",https://www.estatemartbd.com/property/129/en/exclusive_4_bed_3608_sqft_flat_for_sale_at_gulshan_north_avenue
বসুন্ধরা আবাসিক ৩৭৫০ বর্গফুট ডুপ্লেক্স রেডি ফ্লাট বিক্রয়                                        , Dhaka , 6 , 5 ," 3,750 SqFt",More than 100m2,,Builder,,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Parking ","28,000,000.00",https://www.estatemartbd.com/property/57/en
"1250 Sqft Ongoing Apartment at ECB, Cantonment, Mirpur                                        ", Dhaka , 3 , 3 , 1250 SqFt,,,Builder, 7th Floor ,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Parking ","6,250,000.00",https://www.estatemartbd.com/property/134/en/1250_sqft_ongoing_apartment_at_ecb_cantonment_mirpur
১৮৫০ বঃফুঃ আকর্ষণীয় ফ্ল্যাট মিরপুর ১২                                        , Dhaka , 3 , 4 ," 1,850 SqFt",,,, G+6 ,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Parking ","8,000,000.00",https://www.estatemartbd.com/property/132/en
Flat Sale                                        , Dhaka , 2 , 2 , Mirpur SqFt,More than 100m2,,, 6th ,Sale,"Air conditioning ,Computer ,Dishwasher ,Internet ,Balcony ,Parking ","3,200,000.00/14,000.00",https://www.estatemartbd.com/property/135/en/flat_sale
Ready Luxuries Apartment                                        , Dhaka , 3 , 3 , 1300 SqFt,,,,,Sale,,0.00,https://www.estatemartbd.com/property/138/en/ready_luxuries_apartment
Luxury Ready Flat for Sale - লাক্সারি রেডি ফ্ল্যাট বিক্রয়                                        ,"৳ 6,961,500 ",,,,,,Agent,,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Internet ,Balcony ,Lift ,Grill ","6,961,500.00",https://www.estatemartbd.com/property/140/en/luxury_ready_flat_for_sale
"Ready Flat for Sale at Baro Bagh, Mirpur-2, Near Azimat Garments                                        ", Dhaka , 2 , 2 , 800 SqFt,Less than 50m2,,Agent, 3rd ,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ","3,600,000.00",https://www.estatemartbd.com/property/142/en/ready_flat_for_sale_at_baro_bagh_mirpur_2_near_azimat_garments
JBS Fressia Almost Ready Apartments for Sale                                        , Dhaka , 4 , 4 , 2130 SqFt,1801-2400 SqFt,,,,Sale,,,https://www.estatemartbd.com/property/150/en/jbs_fressia_almost_ready_apartments_for_sale
"JBS Fressia at Block-I, Basahundara R/A-01313717466                                        "," Bashundara, Dhaka ", 4 , 4 , 2130 SqFt,1801-2400 SqFt, 7300 ,Builder, 10 ,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Pool ","16,250,000.00",https://www.estatemartbd.com/property/217/en/jbs_fressia_at_block_i_basahundara_ra_01313717466
Alif Ahil Propertise Ltd.                                        , dhaka , 3 Bathrooms , 3 Bedrooms , 1325 SqFt,1301-1800 SqFt, 4000 ,Builder,,Sale,"Balcony ,Lift ,Grill ,Parking ","530,000.00",https://www.estatemartbd.com/property/228/en/alif_ahil_propertise_ltd
Moyen's M. A Tower                                        , Dhaka , 3 , 3 , 1309 SqFt,1301-1800 SqFt, 4800 ,Builder, 6 ,Sale,"Air conditioning ,Cable TV ,Dishwasher ,Balcony ,Lift ,Grill ","6,465,600.00",https://www.estatemartbd.com/property/238/en/moyens_m_a_tower
1200 sft Ready Apartments Sale at Monipur                                        , Dhaka , 3 , 3 , 1200 SqFt,50-100m2,,Owner, G+8 ,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Parking ","5,500,000.00",https://www.estatemartbd.com/property/39/en/1200_sft_ready_apartments_sale_at_monipur
"Brand New Elegant 3 Bedroom, 3 Bathroom, 2 Balconies, Drawing & DIning about 1150+ square feet Apartment in Pallabi, Mirpur, Dhaka 1216                                        "," Pallabi, Mirpur, Dhaka ", 3 , 3 , 1150 SqFt,1001-1300 SqFt,,Owner, 8 ,Rent,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Internet ,Microwave ,Balcony ,Lift ,Parking ",,https://www.estatemartbd.com/property/242/en/brand_new_elegant_3_bedroom_3_bathroom_2_balconies_drawing_dining_about_1150_square_feet_apartment_in_pallabi_mirpur_dhaka_1216
7.5 Katha Land for Sale Near 100ft Road                                        , Dhaka ,,, 5400 SqFt,,,,,Sale,,"48,000,000.00",https://www.estatemartbd.com/property/41/en/75_katha_land_for_sale_near_100ft_road
Commercial Space @ Tikatuli                                        , Dhaka ,,," 1,096 SqFt",Less than 50m2,,,,Sale,"Air conditioning ,Cable TV ,Computer ,Heating ,Internet ,Lift ,Parking ","16,440,000.00",https://www.estatemartbd.com/property/48/en/commercial_space_tikatuli
Shikder Paradise                                        , Dhaka , 3 , 3 , 1400 SqFt,Less than 50m2,,, 4th ,Sale,"Balcony ,Lift ,Grill ,Parking ","9,000,000.00",https://www.estatemartbd.com/property/139/en/shikder_paradise
Ready Full Fair Face Flat for Sale at Dhanmondi                                        , Dhaka , 3 , 3 , 2313 SqFt,More than 100m2,,Builder, B-2 + B1+ GF+ 09 Floors ,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Pool ,Parking ",,https://www.estatemartbd.com/property/50/en/ready_full_fair_face_flat_for_sale_at_dhanmondi
Road Side Exclusive South Face Corner Plot at Block- M                                        , Dhaka ,,, 7920 SqFt,More than 100m2,,Owner,,Sale,,"90,200,000.00",https://www.estatemartbd.com/property/49/en/road_side_exclusive_south_face_corner_plot_at_block_m
"ব্লক-এম, 5-কাঠা, পূর্ব-মূখী, বসুন্ধরা আর/এ, ঢাকা - ১২২৯                                        ", Dhaka ,,, 3600 SqFt,More than 100m2,,Owner,,Sale,,"26,000,000.00",https://www.estatemartbd.com/property/54/en/5
বসুন্ধরা লেকভিউ এক্সক্লুসিভ রেডি ফ্ল্যাট ১৪০০ বর্গফুট - জি ব্লক                                        , Dhaka , 3 , 3 ," 1,400 SqFt",50-100m2,,Builder,,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Parking ","9,100,000.00",https://www.estatemartbd.com/property/52/en
কমার্শিয়াল এল-ব্লকে ১৮ কাঠা ১৩০ ফুট সংলগ্ন বাউন্ডারি করা প্লট                                        , Dhaka ,,, 12960 SqFt,More than 100m2,,Owner,,Sale,,"207,000,000.00",https://www.estatemartbd.com/property/56/en
South Facing Condominium Flat for Sale at Shyamoli                                        , Dhaka , 4 , 4 , 2200 SqFt,More than 100m2,,Builder, B-1+GF+13 Floors ,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Pool ,Parking ",,https://www.estatemartbd.com/property/51/en/south_facing_condominium_flat_for_sale_at_shyamoli
"1350 Sft Flat Sale in Banasree, Rampura, Dhaka-1219                                        ", Dhaka , 3 , 3 , 1350 SqFt,50-100m2,,Builder,,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Parking ","7,500,000.00",https://www.estatemartbd.com/property/55/en/1350_sft_flat_sale_in_banasree_rampura_dhaka_1219
Exclusive 800 Sqft Flat At Dit Project Merul Badda Dhaka                                        , Dhaka , 2 , 2 , 800 SqFt,Less than 50m2,,Owner,,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Grill ,Parking ","4,000,000.00",https://www.estatemartbd.com/property/68/en/exclusive_800_sqft_flat_at_dit_project_merul_badda_dhaka
Flat at Cheap Price in Banglamotor                                        , Dhaka , 2 , 3 , 1200 SqFt,Less than 50m2,,Owner, G+5 ,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Grill ,Parking ","6,500,000.00",https://www.estatemartbd.com/property/70/en/flat_at_cheap_price_in_banglamotor
Dream Home Land for Sale in Attibazar                                        , Dhaka ,,, 3600 SqFt,More than 100m2,,Owner,,Sale,,"3,000,000.00",https://www.estatemartbd.com/property/69/en/dream_home_land_for_sale_in_attibazar
"2 Katha Plot for Sale in Block -B, 2nd Project, Atti Bazar                                        ", Dhaka ,,, 1440 SqFt,Less than 50m2,,Owner,,Sale,,"1,850,000.00",https://www.estatemartbd.com/property/72/en/2_katha_plot_for_sale_in_block_b_2nd_project_atti_bazar
4 Katha Plot for Sale in Bashundhara R/A in a Cheap Rate                                        , Dhaka ,,, 2880 SqFt,50-100m2,,Owner,,Sale,,"19,200,000.00",https://www.estatemartbd.com/property/73/en/4_katha_plot_for_sale_in_bashundhara_ra_in_a_cheap_rate
Package Price 5+5=10 Katha South Facing Plot                                        , Dhaka ,,, 7200 SqFt,More than 100m2,,Owner,,Sale,,"65,000,000.00",https://www.estatemartbd.com/property/74/en/package_price_5510_katha_south_facing_plot
"Get This 1800 Sq Ft Wonderful Flat In Banani, Is Available For Rent                                        ", Dhaka , 3 , 3 , 1800 SqFt,50-100m2,,Owner,,Rent,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Parking ",,https://www.estatemartbd.com/property/58/en/get_this_1800_sq_ft_wonderful_flat_in_banani_is_available_for_rent
"Architectural Excellence, Modern Amenities Flat for Sale                                        ", Dhaka , 4 , 4 ," 2,165 SqFt",More than 100m2,,Owner,,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Pool ,Parking ","22,730,335.00",https://www.estatemartbd.com/property/78/en/architectural_excellence_modern_amenities_flat_for_sale
5.5 Floor 1400 Sqft Building Is Listed for Sale                                        , Dhaka ,,," 1,500 SqFt",Less than 50m2,,Owner,,Sale,,"48,000,000.00",https://www.estatemartbd.com/property/79/en/55_floor_1400_sqft_building_is_listed_for_sale
"Ready 1150 Sft. Flat for Sale in Middle Badda, Dhaka                                        ", Dhaka , 3 , 3 ," 1,150 SqFt",50-100m2,,Builder,,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Parking ","6,037,500.00",https://www.estatemartbd.com/property/83/en/ready_1150_sft_flat_for_sale_in_middle_badda_dhaka
"রাকিন সিটিতে 1875Sqft সম্পূর্ণ রেডি ফ্ল্যাট বিক্রয়, মিরপুর                                        ", Dhaka , 3 , 4 ," 1,875 SqFt",50-100m2,,Builder,,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Parking ","13,106,250.00",https://www.estatemartbd.com/property/84/en/1875sqft
"Ready Flat For Sale in Mirpur-12, Kalshi, Dhaka-1216                                        ", Dhaka , 2 , 2 , 560 SqFt,Less than 50m2,,Builder, G+5 ,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Parking ","2,300,000.00",https://www.estatemartbd.com/property/85/en/ready_flat_for_sale_in_mirpur_12_kalshi_dhaka_1216
Spacious apartment rent in DOHS                                        , Dhaka , 3 , 4 ," 2,600 SqFt",50-100m2,,Owner,,Rent,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Parking ",,https://www.estatemartbd.com/property/86/en/spacious_apartment_rent_in_dohs
উত্তরা সংলগ্ন ৩ কাঠা প্লট বিক্রয় সাথেই ২৫' প্রশস্ত রোড                                        , Dhaka ,,, 2160 SqFt,More than 100m2,,Owner,,Sale,,"4,200,000.00",https://www.estatemartbd.com/property/88/en
3 Bed Ready Flat.in Mohammadpur                                        , Dhaka , 3 , 3 ," 1,000 SqFt",Less than 50m2,,Owner, G+5 ,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ","3,900,000.00",https://www.estatemartbd.com/property/90/en/3_bed_ready_flatin_mohammadpur
এন ব্লকের সুলভ মূল্যে জমি বিক্রয়                                        , Dhaka ,,, 2160 SqFt,50-100m2,,Owner,,Sale,,"18,000,000.00",https://www.estatemartbd.com/property/112/en
"1750 sft Flat for Sale In Kallyanpur, Mirpur, Dhaka                                        ", Dhaka , 3 , 4 , 1750 SqFt,50-100m2,,Builder,,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Parking ","7,350,000.00",https://www.estatemartbd.com/property/93/en/1750_sft_flat_for_sale_in_kallyanpur_mirpur_dhaka
1050 Sft South Facing Flat for Sale                                        , Dhaka , 2 , 3 , 1050 SqFt,50-100m2,,Builder, G+8 ,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Parking ","4,410,000.00",https://www.estatemartbd.com/property/92/en/1050_sft_south_facing_flat_for_sale
Flat Ready to Hand over Sale at Bashundha R/A                                        , Dhaka , 3 , 3 ," 1,525 SqFt",50-100m2,,, G+6 ,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Parking ","10,980,000.00",https://www.estatemartbd.com/property/113/en/flat_ready_to_hand_over_sale_at_bashundha_ra
D-ব্লকে দক্ষিন মুখী ১৬৪৫ বঃফুঃ এর নান্দনিক ফ্লাটটি বুকিং করুন এখনই                                        , Dhaka , 3 , 3 ," 1,645 SqFt",More than 100m2,,Builder, G+9 ,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Parking ","12,337,500.00",https://www.estatemartbd.com/property/114/en/d
Lucrative Single floor Ready Flat at Bashundhara                                        , Dhaka , 4 , 3 ," 2,300 SqFt",More than 100m2,,Owner, G+6 ,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Parking ","20,700,000.00",https://www.estatemartbd.com/property/116/en/lucrative_single_floor_ready_flat_at_bashundhara
"Land for Sale in an Excellent Location M-Block, Bashundhora, Dhaka                                        ", Dhaka ,,, 2880 SqFt,More than 100m2,,Owner,,Sale,,"19,200,000.00",https://www.estatemartbd.com/property/118/en/land_for_sale_in_an_excellent_location_m_block_bashundhora_dhaka
Luxurious Flat for Sale Near Play Pen School                                        , Dhaka , 4 , 4 , 2135 SqFt,50-100m2,,Builder,,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Parking ","18,147,500.00",https://www.estatemartbd.com/property/119/en/luxurious_flat_for_sale_near_play_pen_school
নির্মাণাধীন আকর্ষনীয় ফ্ল্যাট বিক্রয়                                        , Dhaka , 4 , 3 ," 1,503 SqFt",50-100m2,,Builder, G+6 ,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Parking ","10,070,100.00",https://www.estatemartbd.com/property/121/en
"Exclusive- Lake View Corner Plot > 4 Katha ar Aftabnagar, Block- E                                        ", Dhaka ,,, 2880 SqFt,50-100m2,,Owner,,Sale,,"28,000,000.00",https://www.estatemartbd.com/property/75/en/exclusive_lake_view_corner_plot_4_katha_ar_aftabnagar_block_e
"বসুন্ধরা আই ব্লকে দক্ষিন মুখি রেডি ফ্ল্যাট ৮০০ sft,আগে বুঝে নিন পরে টাকা দিন।                                        ", Dhaka , 02 , 02 , 800 SqFt,, 6500 ,Owner, 6th ,Sale,"Balcony ,Lift ,Grill ,Parking ","5,200,000.00",https://www.estatemartbd.com/property/131/en/sft
4 Bed 2500 Sqft Flat For Rent at Bashundhara                                        , Dhaka , 4 , 4 , 2500 SqFt,More than 100m2,,Builder, G+5 ,Rent,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Parking ","60,000.00",https://www.estatemartbd.com/property/120/en/4_bed_2500_sqft_flat_for_rent_at_bashundhara
"Smart Luxuries Condominium Type-H, Apartment for Sale                                        ", Dhaka , 3 , 3 , 1200 SqFt,1001-1300 SqFt, 5500 ,Agent, G+9 ,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Parking ","6,600,000.00",https://www.estatemartbd.com/property/151/en/smart_luxuries_condominium_type_h_apartment_for_sale
"Smart Luxuries Condominium Type-C, Apartment for Sale                                        ", Dhaka , 3 , 3 , 1400 SqFt,1301-1800 SqFt, 5500 ,Agent, G+9 ,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Heating ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Parking ","7,700,000.00",https://www.estatemartbd.com/property/155/en/smart_luxuries_condominium_type_c_apartment_for_sale
Apartment for Sale on an Ongoing Project                                        , Dhaka , 3 , 3 , 1360 SqFt,1301-1800 SqFt,,Builder," 2nd, 4th and 5th ",Sale,,"8,300,000.00",https://www.estatemartbd.com/property/157/en/apartment_for_sale_on_an_ongoing_project
REON AROMA HOUSE Exclusive Flat Sale at Laboni Point                                        , Dhaka , 3 , 3 , 1300 SqFt,1001-1300 SqFt, 4000 ,Owner, 10 ,Sale,"Balcony ,Lift ,Grill ,Parking ","5,200,000.00",https://www.estatemartbd.com/property/158/en/reon_aroma_house_exclusive_flat_sale_at_laboni_point
REON BILKISS PALACE Exclusive Flat Sale at Arshi Nagar                                        , Dhaka , 3 , 3 , 1016 SqFt,1001-1300 SqFt, 3800 ,Owner, 9 ,Sale,"Balcony ,Lift ,Grill ,Parking ","3,870,000.00",https://www.estatemartbd.com/property/160/en/reon_bilkiss_palace_exclusive_flat_sale_at_arshi_nagar
Orchard Shadows 2165 Sqft at Bashundhara R/A                                        , Bashundhara R/A , 4 , 4 , 2165 SqFt,1801-2400 SqFt, 9500 ,Builder, 2nd Floor ,Sale,"Air conditioning ,Cable TV ,Computer ,Dishwasher ,Internet ,Microwave ,Balcony ,Lift ,Grill ,Parking ","21,567,500.00",https://www.estatemartbd.com/property/194/en/orchard_shadows_2165_sqft_at_bashundhara_ra
B H Biman Tower Apartment for Sale                                        , Dhaka , 3 , 3 , 1150 SqFt,1001-1300 SqFt, 2800 ,Owner," 3rd, 4th, 6th, 7th & 9th ",Sale,"Balcony ,Lift ,Grill ,Parking ","3,720,000.00",https://www.estatemartbd.com/property/148/en/b_h_biman_tower_apartment_for_sale
Find 1900-2400 sqft Hatirjheel lakeside view Luxurious Flat for Sale at Badda                                        ," Badda, Dhaka ", 4 , 3 , 1900 SqFt,1801-2400 SqFt,,Builder, G+9 ,Sale,,"20,300,000.00",https://www.estatemartbd.com/property/203/en/find_1900_2400_sqft_hatirjheel_lakeside_view_luxurious_flat_for_sale_at_badda
Vivek Maliat 1200 Sqft Luxurious Flat for Sale at Uttara                                        ," Uttara, Dhaka ", 3 , 3 , 1200 SqFt,1001-1300 SqFt, 7000 ,Builder, G+8 ,Sale,"Balcony ,Lift ,Grill ,Parking ","9,100,000.00",https://www.estatemartbd.com/property/204/en/vivek_maliat_1200_sqft_luxurious_flat_for_sale_at_uttara
Dream Touch Land Share Sale for Flat at Uttara                                        , Uttara , 3 , 3 , 1250 SqFt,1001-1300 SqFt,,Owner, B+G+8 ,Sale,,"1,000,000.00",https://www.estatemartbd.com/property/205/en/dream_touch_land_share_sale_for_flat_at_uttara
Ready Flat for Sale at Keraniganj with Loan Facility and Cheap Price                                        , Dhaka , 3 , 3 , 1200 SqFt,1001-1300 SqFt, 2600(Fixed) ,Owner, 4 ,Sale,,"3,120,000.00",https://www.estatemartbd.com/property/199/en/ready_flat_for_sale_at_keraniganj_with_loan_facility_and_cheap_price
