air_conditioning,area,balcony,building_type,cctv,central_heating,elevator,emergency_stairs,fitness_center,floor,garage,garden,generator,government_gas,interior,land_size,location,num_balcony,num_bath_rooms,num_bed_rooms,parking,pets_allow,price,property_link,reception,security,servant_room,status,swimming_pool,tv_cable,unit,wifi,year_built
,1380 sqft,,Apartment,Y,,Y,Y,,5th,1,,Y,,Un-Furnished,3.5 Katha,"Aftabnagar,",4,3,3,Y,," ৳9,800,000 ",https://iqibd.com/properties/306,Y,Y,,For Sale,,Y,Single Unit,Y,2019
,1470 sqft,,Apartment,,,Y,Y,,9th,1,,Y,,Un-Furnished,5 Katha,"Mirpur,",3,3,3,Y,," ৳9,500,000 ",https://iqibd.com/properties/295,Y,Y,,For Sale,,Y,9A & 9B,,2023
,1500 sqft,,Apartment,Y,,Y,Y,,4th,1,,Y,Y,Un-Furnished,3 Katha,"Mohammadpur,",4,4,3,Y,," ৳10,500,000 ",https://iqibd.com/properties/298,Y,Y,,For Sale,,Y,4A,Y,2023
Y,5100 sqft,Y,Apartment,Y,Y,Y,Y,Y,6th,4,Y,Y,Y,Un-Furnished,11.5 Katha,"Baridhara,",4,6,5,Y,Y," ৳139,150,000 ",https://iqibd.com/properties/300,Y,Y,,For Sale,Y,Y,C6,Y,2023
,710 sqft,,Apartment,,,,Y,,5th,,,Y,Y,Un-Furnished,12 Katha,"Mohammadpur,",2,2,2,,," ৳4,500,000 ",https://iqibd.com/properties/297,Y,Y,,For Sale,,,,,2010
,1400 sqft,,Apartment,Y,,Y,Y,,8th,1,,Y,,Un-Furnished,3 Katha,"Mohammadpur,",3,3,3,Y,," ৳8,500,000 ",https://iqibd.com/properties/296,Y,Y,,For Sale,,Y,8A,Y,2022
,2080 sqft,,Apartment,,,Y,Y,,5th,1,,Y,,Un-Furnished,3.5 Katha,"Aftabnagar,",4,4,4,Y,," ৳18,000,000 ",https://iqibd.com/properties/301,Y,Y,,For Sale,,Y,,Y,2023
,1900 sqft,,Apartment,,,Y,Y,,4th,1,,Y,Y,Un-Furnished,8 Katha,"Malibagh, Dhaka",2,5,4,Y,," ৳14,000,000 ",https://iqibd.com/properties/302,,Y,,For Sale,,Y,"A4,B4",Y,2010
,1390 sqft,,Apartment,Y,,Y,Y,,4th,1,,Y,,Un-Furnished,16 Katha,"Mohammadpur,",2,3,3,Y,," ৳9,500,000 ",https://iqibd.com/properties/299,Y,Y,,For Sale,,Y,4C,Y,2023
,1095 sqft,,Apartment,,,Y,Y,,3rd,1,,Y,,Un-Furnished,5.33 Katha,"Mogbazar,",3,3,3,Y,," ৳9,000,000 ",https://iqibd.com/properties/303,Y,Y,,For Sale,,Y,A3,Y,2023
,1250 sqft,,Apartment,,,Y,Y,,1st,1,,Y,,Un-Furnished,4 Katha,"Mogbazar,",2,3,3,Y,," ৳10,500,000 ",https://iqibd.com/properties/304,Y,Y,,For Sale,,,B1,,2024
,1847 sqft,,Apartment,Y,,Y,Y,,9th,1,,Y,,Un-Furnished,22 Katha,"Mogbazar,",4,4,3,Y,," ৳14,500,000 ",https://iqibd.com/properties/305,Y,Y,,For Sale,,Y,G9,Y,2017
,1300 sqft,,Apartment,,,Y,Y,,6th,1,,Y,,Un-Furnished,4.36 Katha,"Banasree,",3,3,3,Y,," ৳11,200,000 ",https://iqibd.com/properties/283,Y,Y,,For Sale,,Y,B6,Y,2018
,1275 sqft,,Apartment,Y,,Y,Y,,4th,1,,Y,,Un-Furnished,8.46 Katha,"Banasree,",3,3,3,,," ৳10,600,000 ",https://iqibd.com/properties/284,Y,Y,,For Sale,,,4B,,2023
,1600 sqft,,Apartment,Y,,Y,Y,,9th,1,,Y,,Un-Furnished,8.46 Katha,"Banasree,",4,3,3,,," ৳13,200,000 ",https://iqibd.com/properties/285,Y,Y,,For Sale,,,9A,,2023
,1395 sqft,,Apartment,,,,Y,,6th,1,,Y,,Un-Furnished,8.46 Katha,"Banasree,",2,3,3,,," ৳11,600,000 ",https://iqibd.com/properties/286,Y,Y,,For Sale,,,6c,,2023
Y,4790 sqft,,Apartment,Y,Y,Y,Y,,6th,2,,Y,Y,Un-Furnished,14 Katha,"Gulshan,",3,4,4,Y,," ৳73,000,000 ",https://iqibd.com/properties/287,Y,Y,,For Sale,,Y,6A,Y,2009
,1470 sqft,,Apartment,,,Y,Y,,6th,1,,Y,,Un-Furnished,5 Katha,"Mirpur,",3,3,3,,," ৳10,000,000 ",https://iqibd.com/properties/288,Y,Y,,For Sale,,,,,2023
,720 sqft,,Apartment,,,Y,Y,,5th,,,Y,Y,Un-Furnished,12 Katha,"Mohammadpur,",2,2,2,,," ৳4,500,000 ",https://iqibd.com/properties/289,Y,Y,,For Sale,,,,,2010
,2300 sqft,,Apartment,,,Y,Y,,3rd,1,,Y,,Un-Furnished,,"Mohammadpur,",,4,4,Y,," ৳23,000,000 ",https://iqibd.com/properties/290,Y,Y,,For Sale,,Y,,Y,2022
,1972 sqft,,Apartment,Y,,Y,Y,,2nd,1,,Y,,Un-Furnished,11 Katha,"Dhanmondi, Dhaka",3,3,3,Y,," ৳9,900,000 ",https://iqibd.com/properties/291,Y,Y,,For Sale,,Y,2C,Y,2023
,1290 sqft,,Apartment,Y,,Y,Y,,2nd,1,,Y,,Un-Furnished,"5,5 Katha","Dhanmondi, Dhaka",2,3,3,,," ৳15,500,000 ",https://iqibd.com/properties/292,Y,Y,,For Sale,,Y,2B,Y,2023
,975 sqft,,Apartment,,,Y,Y,,2nd,,,Y,,Un-Furnished,"5,75 Katha","Dhanmondi, Dhaka",2,2,2,Y,," ৳9,200,000 ",https://iqibd.com/properties/293,Y,Y,,For Sale,,Y,2C,Y,2020
,2110 sqft,,Apartment,,,Y,Y,,8th & 9th,1,,Y,,Un-Furnished,3.63 Katha,"Banasree,",3,4,4,Y,," ৳21,000,000 ",https://iqibd.com/properties/282,Y,Y,,For Sale,,Y,Single,Y,2024
,1650 sqft,,Apartment,Y,,Y,Y,,9th,1,,Y,,Un-Furnished,5 Katha,"Mirpur,",2,3,3,Y,," ৳11,000,000 ",https://iqibd.com/properties/294,Y,Y,,For Sale,,,9A,Y,2023
,1071 sqft,,Apartment,,,Y,,,4th,,,Y,,Un-Furnished,16 katha,"Badda,",,2,3,,," ৳5,500,000 ",https://iqibd.com/properties/270,,Y,,For Sale,,,,Y,2018
,832 sqft,,Apartment,,,Y,Y,,5th,,,Y,,Un-Furnished,5.5 katha,"Badda,",2,2,2,,," ৳3,800,000 ",https://iqibd.com/properties/272,Y,Y,,For Sale,,Y,c5,Y,2018
,1296 sqft,,Apartment,,,Y,Y,,7th,,,Y,,Un-Furnished,5.5 katha,"Badda,",2,3,3,,," ৳6,000,000 ",https://iqibd.com/properties/273,,Y,,For Sale,,Y,,Y,2018
Y,1300 sqft,,Apartment,,,Y,Y,,6th & 7th,1,,Y,,Un-Furnished,,"Khilgaon, Dhaka",2,3,3,Y,," ৳12,500,000 ",https://iqibd.com/properties/274,Y,Y,,For Sale,,Y,,Y,2023
,1550 sqft,,Apartment,Y,,Y,Y,,6th,1,,Y,,Un-Furnished,30 Sotangsho,"Uttara,",2,3,3,Y,," ৳8,500,000 ",https://iqibd.com/properties/275,Y,Y,,For Sale,,,5C,Y,2016
,5400 sqft,,Commercial property,,,Y,Y,,"1st,2nd,3rd,4th,5th,6th,7th,8th",,,Y,,Un-Furnished,10 Katha,"Shagun Bagicha,",,,,,," ৳86,400,000 ",https://iqibd.com/properties/276,,Y,,For Sale,,,Single,Y,2025
,1830 sqft,Y,Apartment,,,Y,Y,,4th,1,,Y,Y,semi-Furnished,7.5 Katha,"Uttara,",2,3,3,Y,," ৳25,000,000 ",https://iqibd.com/properties/278,Y,,,For Sale,,Y,4B,Y,2018
,1820 sqft,,Apartment,Y,,Y,Y,,6th,1,,Y,,Un-Furnished,4.76 Katha,"Mogbazar,",3,3,3,Y,," ৳23,500,000 ",https://iqibd.com/properties/277,Y,Y,,For Sale,,Y,A6,Y,2023
,2201 sqft,,Apartment,,,,Y,,2nd & 5th,1,,Y,,Un-Furnished,36 Katha,"Khilgaon, Dhaka",3,4,4,Y,," ৳13,000,000 ",https://iqibd.com/properties/279,Y,Y,,For Sale,,Y,D-2 & E-5,Y,2022
,1490 sqft,,Apartment,,,,Y,,"4th,6th,8th & 10th",1,,Y,,Un-Furnished,12 Katha,"Rampura,",3,4,3,Y,," ৳9,600,000 ",https://iqibd.com/properties/280,Y,Y,,For Sale,,,"A-4,B-4,A-10,B-10,C-8,C-6",,2023
,1200 sqft,,Apartment,,,Y,Y,,7th,1,,Y,,Un-Furnished,5.5 Katha,"Mirpur,",2,2,3,Y,," ৳7,500,000 ",https://iqibd.com/properties/281,Y,Y,,For Sale,,,7B,Y,2018
,1113 sqft,,Apartment,,,Y,,,7th,,,Y,,Un-Furnished,16 katha,"Badda,",,2,3,,," ৳5,600,000 ",https://iqibd.com/properties/269,,Y,,For Sale,,,,Y,2018
,1405 sqft,,Apartment,,,Y,Y,,1st,1,,Y,Y,Un-Furnished,40 Katha,"Rampura,",4,3,3,Y,," ৳9,000,000 ",https://iqibd.com/properties/258,Y,Y,,For Sale,,Y,J1,Y,2020
,1369 sqft,,Apartment,Y,,Y,Y,,7th,1,,Y,,Un-Furnished,,"Badda,",3,3,3,Y,," ৳8,700,000 ",https://iqibd.com/properties/260,Y,Y,,For Sale,,,C7,Y,2023
,1600 sqft,,Apartment,,,Y,Y,,7th,1,,Y,,Un-Furnished,5 Katha,"Aftabnagar,",3,3,3,Y,," ৳11,500,000 ",https://iqibd.com/properties/259,Y,Y,,For Sale,,Y,,Y,2022
,1387 sqft,,Apartment,Y,,Y,Y,,6th,1,,Y,,Un-Furnished,,"Badda,",3,3,3,Y,," ৳8,800,000 ",https://iqibd.com/properties/261,Y,Y,,For Sale,,Y,E6,Y,2023
,1380 sqft,,Apartment,,,Y,Y,,"3rd,7th & 9th",1,,Y,,Un-Furnished,6 Katha,"Mirpur,",2,3,3,Y,," ৳8,500,000 ",https://iqibd.com/properties/262,Y,Y,,For Sale,,Y,"3A,3B,7A,7B,9A,9B",Y,2023
,1280 sqft,,Apartment,Y,,Y,Y,,1st,1,,Y,Y,Un-Furnished,4 Katha,"Bashundhara,",2,3,3,Y,," ৳9,500,000 ",https://iqibd.com/properties/264,Y,Y,,For Sale,,Y,A1,Y,2012
,2000 sqft,,Apartment,Y,Y,Y,Y,,1st & 9th,1,,,,Un-Furnished,4.44 Katha,"Bashundhara,",2,3,3,Y,," ৳18,000,000 ",https://iqibd.com/properties/263,Y,Y,,For Sale,,Y,Single,Y,2023
,1365 sqft,,Apartment,Y,,Y,Y,,2nd,1,,Y,Y,Un-Furnished,5 Katha,"Mirpur,",3,3,3,Y,," ৳10,000,000 ",https://iqibd.com/properties/265,,Y,,For Sale,,Y,,Y,2022
,1550 sqft,,Apartment,Y,,Y,Y,,5th,1,,Y,,Un-Furnished,5 Katha,"Malibagh, Dhaka",3,4,3,Y,," ৳19,000,000 ",https://iqibd.com/properties/266,Y,Y,,For Sale,,Y,5B,Y,2018
,1387 sqft,,Apartment,,,Y,Y,,6th,1,,Y,,Un-Furnished,14.5 Katha,"Badda,",3,3,3,Y,," ৳9,200,000 ",https://iqibd.com/properties/268,Y,Y,,For Sale,,Y,E6,Y,2023
,1369 sqft,,Apartment,,,Y,Y,,7th,1,,Y,,Un-Furnished,14.5 Katha,"Badda,",3,3,3,Y,," ৳9,200,000 ",https://iqibd.com/properties/267,Y,Y,,For Sale,,Y,C7,Y,2023
,1300 sqft,,Apartment,Y,,Y,Y,,9th,,,Y,,Un-Furnished,5 Katha,"Aftabnagar,",2,3,3,,," ৳11,000,000 ",https://iqibd.com/properties/257,Y,Y,,For Sale,,Y,A-9,Y,2021
,1812 sqft,,Apartment,,,Y,Y,,5th & 6th,1,,Y,,Un-Furnished,4 Katha,"Bashundhara,",3,3,3,Y,," ৳16,000,000 ",https://iqibd.com/properties/247,Y,Y,,For Sale,,Y,Single,Y,2023
,1990 sqft,,Apartment,,Y,,Y,,2nd,1,Y,Y,,Un-Furnished,4 Katha,"Bashundhara,",3,4,4,Y,," ৳18,000,000 ",https://iqibd.com/properties/246,Y,Y,,For Sale,,Y,Single,Y,2022
,2200 sqft,,Apartment,Y,,Y,Y,,"1st,3rd,5th & 6th",1,,Y,,Un-Furnished,5 Katha,"Bashundhara,",3,4,3,Y,," ৳18,000,000 ",https://iqibd.com/properties/249,Y,Y,,For Sale,,Y,Single,Y,2022
,2190 sqft,Y,Apartment,Y,,Y,Y,,9th,1,,Y,,Un-Furnished,10 Katha,"Bashundhara,",7,4,3,Y,," ৳21,000,000 ",https://iqibd.com/properties/250,Y,Y,,For Sale,,Y,9B,Y,2019
,2150 sqft,,Apartment,,,Y,Y,,"2nd,4th,6th,8th & 9th",1,,Y,,Un-Furnished,5 Katha,"Bashundhara,",4,4,4,Y,," ৳18,000,000 ",https://iqibd.com/properties/248,Y,Y,,For Sale,,Y,Single,Y,2023
,1445 sqft,,Apartment,Y,,,Y,,3rd,1,,Y,Y,Un-Furnished,4 Katha,"Mirpur,",2,3,3,,," ৳10,000,000 ",https://iqibd.com/properties/251,Y,Y,,For Sale,,Y,,Y,2016
,2650 sqft,,Apartment,,,Y,Y,,2nd,2,,Y,,Un-Furnished,5 Katha,"Uttara,",4,5,5,Y,," ৳18,800,000 ",https://iqibd.com/properties/252,Y,Y,,For Sale,,Y,Single,Y,2020
,1250 sqft,,Apartment,Y,,Y,Y,,5th,,,Y,,Un-Furnished,3.85 Katha,"Mirpur,",3,3,3,,," ৳8,500,000 ",https://iqibd.com/properties/253,Y,Y,,For Sale,,Y,5A,Y,2022
,1450 sqft,,Apartment,Y,,Y,Y,,3rd,1,,Y,,Un-Furnished,2.5 Katha,"Aftabnagar,",2,3,3,Y,," ৳9,800,000 ",https://iqibd.com/properties/255,Y,Y,,For Sale,,Y,Single,Y,2023
,1737 sqft,,Apartment,Y,,Y,Y,,1st,1,,,,Un-Furnished,12 Katha,"Mirpur,",4,4,3,Y,," ৳13,000,000 ",https://iqibd.com/properties/254,Y,Y,,For Sale,,,B-1,Y,2020
,1250 sqft,,Apartment,Y,,Y,Y,,7th,,,Y,,Un-Furnished,8 Katha,"Aftabnagar,",3,3,3,,," ৳9,200,000 ",https://iqibd.com/properties/256,Y,Y,,For Sale,,Y,8B,Y,2023
,1750 sqft,,Apartment,Y,,Y,Y,,2nd & 6th,1,,Y,,Un-Furnished,3 Katha,"Bashundhara,",3,3,3,Y,," ৳17,500,000 ",https://iqibd.com/properties/245,Y,Y,,For Sale,,Y,Single,Y,2022
,1020 sqft,Y,Apartment,Y,,Y,Y,,5tt & 8th,1,,Y,,Un-Furnished,7.5 Katha,"Khilgaon, Dhaka",2,3,3,Y,," ৳6,000,000 ",https://iqibd.com/properties/235,Y,Y,,For Sale,,,A5 & C8,Y,2022
,1245 sqft,Y,Apartment,Y,,Y,Y,,1st & 8th,1,,Y,,Un-Furnished,5 Katha,"Khilgaon, Dhaka",2,3,3,Y,," ৳12,500,000 ",https://iqibd.com/properties/234,Y,Y,,For Sale,,Y,"A1, A8, B8",Y,2022
,1314 sqft,,Apartment,,,Y,Y,,5th,1,,Y,,Un-Furnished,10 Katha,"Mirpur,",3,3,3,Y,," ৳5,500,000 ",https://iqibd.com/properties/236,Y,Y,,For Sale,,Y,E1,Y,2023
,3726 sqft,,Apartment,,,Y,Y,,6th & 7th,1,,Y,,Un-Furnished,,"Uttara,",5,5,5,Y,," ৳38,500,000 ",https://iqibd.com/properties/237,Y,Y,,For Sale,,Y,Single,Y,2022
,1550 sqft,,Apartment,,,Y,Y,,2nd,1,,Y,,Un-Furnished,3.5 Katha,"Uttara,",2,3,3,Y,," ৳14,000,000 ",https://iqibd.com/properties/238,Y,Y,,For Sale,,Y,Single,Y,2023
,1625 sqft,,Apartment,Y,,Y,Y,,1st,1,,Y,,Un-Furnished,3 Katha,"Banasree,",3,3,4,Y,," ৳14,000,000 ",https://iqibd.com/properties/239,Y,Y,,For Sale,,Y,Single,Y,2023
,1469 sqft,,Apartment,,,Y,Y,,8th,1,,Y,,Un-Furnished,,"Badda,",,3,3,Y,," ৳9,200,000 ",https://iqibd.com/properties/240,Y,Y,,For Sale,,Y,A8,Y,2016
,2600 sqft,,Apartment,Y,,Y,Y,,5th,1,,Y,Y,Un-Furnished,3.5 Katha,"Banasree,",3,5,4,Y,," ৳14,500,000 ",https://iqibd.com/properties/241,Y,Y,,For Sale,,Y,Single,Y,
,900 sqft,,Apartment,Y,,Y,,,1st,,,Y,,Un-Furnished,,"Badda,",,2,3,,," ৳6,000,000 ",https://iqibd.com/properties/242,Y,Y,,For Sale,,Y,,Y,
,1302 sqft,,Apartment,Y,,Y,Y,,4th,1,,Y,Y,Un-Furnished,12 Katha,"Badda,",,2,3,Y,," ৳7,600,000 ",https://iqibd.com/properties/243,Y,Y,,For Sale,,Y,,Y,2019
,1350 sqft,,Apartment,Y,,Y,Y,,5th,1,,Y,,Un-Furnished,,"Aftabnagar,",,3,3,Y,," ৳9,800,000 ",https://iqibd.com/properties/244,Y,Y,,For Sale,,Y,,Y,
,1500 sqft,,Apartment,Y,,Y,Y,,1st,1,,Y,,Un-Furnished,7 Katha,"Mohammadpur,",2,3,3,Y,," ৳11,500,000 ",https://iqibd.com/properties/232,Y,Y,,For Sale,,,A1,Y,2022
,2250 sqft,,Apartment,Y,,Y,Y,,1st,1,,Y,,Un-Furnished,5 Katha,"Bashundhara,",4,3,3,Y,," ৳19,000,000 ",https://iqibd.com/properties/221,Y,Y,,For Sale,,Y,Single,Y,2021
,1650 sqft,,Apartment,Y,,Y,Y,,"2nd,6th,7th",1,,Y,,Un-Furnished,4 Katha,"Bashundhara,",3,3,3,Y,," ৳13,000,000 ",https://iqibd.com/properties/223,Y,Y,,For Sale,,Y,Single,Y,2023
,1455 sqft,,Apartment,Y,,Y,Y,,5th,1,,Y,Y,Un-Furnished,7.5 Katha,"Bashundhara,",3,3,3,Y,," ৳10,000,000 ",https://iqibd.com/properties/222,Y,Y,,For Sale,,Y,5B,Y,2013
,900sqft,,Apartment,Y,,Y,,,1st,,,Y,,Un-Furnished,10 Katha,"Mohammadpur,",2,2,2,,," ৳6,900,000 ",https://iqibd.com/properties/224,,Y,,For Sale,,,D1,Y,2021
,925 sqft,,Apartment,Y,,Y,Y,,5th,1,,Y,,Un-Furnished,5 Katha,"Mohammadpur,",2,2,2,Y,," ৳4,500,000 ",https://iqibd.com/properties/225,Y,Y,,For Sale,,Y,5B,Y,2010
,1360 sqft,,Apartment,Y,,Y,Y,,6th,1,,Y,,Un-Furnished,5 Katha,"Mohammadpur,",3,3,3,Y,," ৳8,500,000 ",https://iqibd.com/properties/226,Y,Y,,For Sale,,Y,A7,Y,2020
,1400 sqft,,Apartment,Y,,Y,Y,,2nd,1,,Y,,Un-Furnished,4.6 Katha,"Mohammadpur,",2,3,3,Y,," ৳8,600,000 ",https://iqibd.com/properties/227,Y,Y,,For Sale,,Y,2B,Y,2023
,2400 sqft,,Apartment,,,Y,Y,,7th,1,,Y,Y,Un-Furnished,5 Katha,"Uttara,",4,3,3,Y,," ৳18,500,000 ",https://iqibd.com/properties/229,Y,Y,,For Sale,,,Single,Y,2011
,1800 sqft,,Apartment,,,Y,Y,,"2nd,4th,6th.8th",1,,Y,,Un-Furnished,11 Katha,"Bashundhara,",,3,3,Y,," ৳16,800,000 ",https://iqibd.com/properties/230,Y,Y,,For Sale,,,,Y,2023
,1775 sqft,,Apartment,Y,,Y,Y,,"2nd,4th,6th.8th",1,,Y,,Un-Furnished,11 Katha,"Bashundhara,",,3,4,Y,," ৳16,200,000 ",https://iqibd.com/properties/231,Y,Y,,For Sale,,Y,,Y,2023
,2700 sqft,,Apartment,Y,,Y,Y,,1st,2,,Y,Y,Un-Furnished,5 Katha,"Bashundhara,",2,4,4,Y,," ৳22,000,000 ",https://iqibd.com/properties/220,Y,Y,,For Sale,,Y,Single,Y,2018
,1860 sqft,,Apartment,Y,,Y,Y,,1st,1,,Y,Y,Un-Furnished,3.5 Katha,"Uttara,",3,4,4,Y,," ৳18,000,000 ",https://iqibd.com/properties/228,Y,Y,,For Sale,,Y,A1,Y,2022
