air_conditioning,area,balcony,building_type,cctv,central_heating,elevator,emergency_stairs,fitness_center,floor,garage,garden,generator,government_gas,interior,land_size,location,num_balcony,num_bath_rooms,num_bed_rooms,parking,pets_allow,price,property_link,reception,security,servant_room,status,swimming_pool,tv_cable,unit,wifi,year_built
,1850 sqft,,Apartment,Y,,Y,Y,,9th,1,,Y,,Un-Furnished,3.25 Katha,"Lalmatia,",3,4,2,Y,," ৳25,000,000 ",https://iqibd.com/properties/209,Y,Y,,For Sale,,Y,A6,Y,2022
,2982 sqft,,Apartment,Y,,Y,Y,,9th,1,,Y,,Un-Furnished,6 Katha,"Gulshan,",3,5,4,Y,," ৳40,000,000 ",https://iqibd.com/properties/208,Y,Y,,For Sale,,Y,A6,Y,2022
,1160 sqft,,Apartment,Y,,Y,Y,,3rd,1,,Y,,Un-Furnished,3.65 Katha,"Mirpur,",2,3,3,Y,," ৳6,500,000 ",https://iqibd.com/properties/210,Y,Y,,For Sale,,Y,2B,Y,2022
,1900 sqft,,Apartment,Y,,Y,Y,,4th,1,,Y,,Un-Furnished,3 Katha,"Banasree,",2,4,4,Y,," ৳15,500,000 ",https://iqibd.com/properties/211,Y,Y,,For Sale,,Y,Single,Y,2014
,1700 sqft,,Apartment,Y,,Y,Y,,4th,1,,Y,,Un-Furnished,,"Badda,",3,4,4,Y,," ৳13,000,000 ",https://iqibd.com/properties/212,Y,Y,,For Sale,,Y,Single,Y,2022
Y,7300 sqft,Y,Apartment,Y,,Y,Y,Y,3rd & 4th,1,Y,Y,,Un-Furnished,19.5 Katha,"Gulshan,",4,5,4,Y,," ৳145,000,000 ",https://iqibd.com/properties/213,Y,Y,,For Sale,Y,Y,3B & 4B,Y,2019
,2900 sqft,Y,Apartment,Y,,Y,Y,,3rd,2,Y,Y,,Un-Furnished,14.95 Katha,"Gulshan,",3,4,4,Y,," ৳50,000,000 ",https://iqibd.com/properties/214,Y,,,For Sale,Y,Y,3B,Y,2022
,1515 sqft,,Apartment,Y,,Y,Y,,2nd,1,,Y,Y,Un-Furnished,5 Katha,"Uttara,",3,3,3,Y,," ৳15,000,000 ",https://iqibd.com/properties/215,Y,Y,,For Sale,,,2A & 2B,Y,2013
,2600 sqft,,Apartment,Y,,Y,Y,,7th,1,,Y,,Un-Furnished,5 Katha,"Uttara,",4,5,4,Y,," ৳22,000,000 ",https://iqibd.com/properties/218,Y,Y,,For Sale,,,Single,Y,2022
,1300 sqft,,Apartment,Y,,Y,Y,,1st,1,,Y,,Un-Furnished,5 Katha,"Uttara,",3,3,3,Y,," ৳12,000,000 ",https://iqibd.com/properties/217,Y,Y,,For Sale,,Y,A1,Y,2022
,1200 sqft,,Apartment,Y,,Y,Y,,4th,1,,Y,,Un-Furnished,5 Katha,"Uttara,",3,3,3,Y,," ৳14,000,000 ",https://iqibd.com/properties/219,Y,Y,,For Sale,,Y,4A,Y,2022
,1091 sqft,,Apartment,Y,,Y,Y,,9th,1,,Y,,Un-Furnished,,"Badda,",2,3,3,,," ৳6,800,000 ",https://iqibd.com/properties/207,Y,Y,,For Sale,,Y,B2,Y,2012
,1450 sqft,,Apartment,Y,,Y,Y,,7th,,,Y,,Un-Furnished,14.50 Katha,"Mirpur,",2,3,3,Y,," ৳8,200,000 ",https://iqibd.com/properties/196,Y,Y,,For Sale,,Y,C7,Y,2022
,1200 sqft,,Apartment,Y,,Y,Y,,8th,,,Y,,Un-Furnished,14.50 Katha,"Mirpur,",2,3,3,,," ৳6,600,000 ",https://iqibd.com/properties/197,Y,Y,,For Sale,,Y,F8,Y,2022
,1524 sqft,,Apartment,Y,,Y,Y,,3rd,1,,Y,,Un-Furnished,3.3 Katha,"Bashundhara,",3,3,3,,," ৳9,200,000 ",https://iqibd.com/properties/200,Y,Y,,For Sale,,Y,Single,Y,2023
,1560 sqft,,Apartment,Y,,Y,Y,,1st,1,,Y,,Un-Furnished,3 Katha,"Bashundhara,",3,3,3,Y,," ৳11,000,000 ",https://iqibd.com/properties/199,Y,Y,,For Sale,,Y,Single,Y,2012
,1524 sqft,,Apartment,Y,,Y,Y,,"1st,7th",1,,Y,,Un-Furnished,3.3 Katha,"Bashundhara,",3,3,3,Y,," ৳8,800,000 ",https://iqibd.com/properties/198,Y,Y,,For Sale,,Y,Single,Y,2023
,2900 sqft,,Apartment,Y,,Y,Y,Y,8th,2,,Y,,Un-Furnished,,"Dhanmondi, Dhaka",2,3,3,Y,," ৳39,000,000 ",https://iqibd.com/properties/201,Y,Y,,For Sale,Y,Y,,Y,2019
,1864 sqft,,Apartment,Y,,Y,Y,,2nd,2,,Y,,Un-Furnished,12.5 katha,"Mohammadpur,",2,4,3,Y,," ৳21,000,000 ",https://iqibd.com/properties/202,Y,Y,,For Sale,,Y,2C,Y,2012
Y,2421 sqft,,Apartment,Y,,Y,Y,,3rd,1,Y,Y,,Un-Furnished,10 Katha,"Gulshan,",2,3,3,Y,," ৳40,000,000 ",https://iqibd.com/properties/204,Y,,,For Sale,,Y,B2,Y,2012
,2087 sqft,,Apartment,Y,,Y,Y,,4th,2,,Y,,Un-Furnished,,"Dhanmondi, Dhaka",3,4,3,Y,," ৳29,000,000 ",https://iqibd.com/properties/203,Y,Y,,For Sale,,Y,,Y,2006
,1500 sqft,,Apartment,Y,,Y,Y,,1sr & 3rd,1,,Y,,Un-Furnished,2.57 Katha,"Mirpur,",3,3,3,Y,," ৳9,000,000 ",https://iqibd.com/properties/205,Y,Y,,For Sale,,Y,Single,Y,2022
,1600 sqft,,Apartment,Y,,Y,Y,,2nd,1,,Y,,Un-Furnished,,"Banasree,",3,3,3,Y,," ৳11,000,000 ",https://iqibd.com/properties/206,Y,Y,,For Sale,,Y,Single,Y,2018
,1450 sqft,,Apartment,Y,,Y,Y,,"3rd,5th",1,,Y,,Un-Furnished,14.50 Katha,"Mirpur,",2,3,3,Y,," ৳8,600,000 ",https://iqibd.com/properties/195,Y,Y,,For Sale,,Y,"C3,C5",Y,2022
,2260 sqft,,Apartment,Y,,Y,Y,,2nd,1,,Y,,Un-Furnished,6 Katha,"Uttara,",3,4,4,Y,," ৳21,000,000 ",https://iqibd.com/properties/183,Y,Y,,For Sale,,Y,Single,Y,2022
,1540 sqft,,Apartment,Y,,Y,Y,,5th,1,,Y,,Un-Furnished,5 Katha,"Lalmatia,",3,3,3,Y,," ৳15,000,000 ",https://iqibd.com/properties/184,Y,Y,,For Sale,,Y,Single,Y,2006
,2240 sqft,,Apartment,Y,,Y,Y,,6th,1,,Y,,Un-Furnished,5 Katha,"Bashundhara,",3,4,4,Y,," ৳24,000,000 ",https://iqibd.com/properties/185,Y,Y,,For Sale,,Y,Single,Y,2020
,1110 sqft,,Apartment,Y,,Y,Y,,5th,,,Y,,Un-Furnished,5.5 Katha,"Badda,",,3,3,Y,," ৳6,800,000 ",https://iqibd.com/properties/186,Y,Y,,For Sale,,Y,5A,Y,
,1095 sqft,,Apartment,Y,,Y,,,5th,,,Y,,Un-Furnished,5.5 Katha,"Badda,",,3,3,,," ৳6,700,000 ",https://iqibd.com/properties/187,Y,Y,,For Sale,,Y,5B,Y,
,1765 sqft,,Apartment,Y,,Y,Y,Y,4th,1,Y,Y,,Un-Furnished,10 Katha,"Badda,",2,3,3,Y,," ৳11,800,000 ",https://iqibd.com/properties/188,Y,Y,,For Sale,,Y,4C,Y,2021
,2150 sqft,,Apartment,Y,,Y,Y,,3,1,,Y,,Un-Furnished,8 Katha,"Dhanmondi, Dhaka",3,3,4,Y,," ৳26,000,000 ",https://iqibd.com/properties/192,Y,Y,,For Sale,,Y,A-3,Y,2021
,1300 sqft,,Apartment,Y,,Y,Y,,8th,1,,Y,,Un-Furnished,4 Katha,"Aftabnagar,",1,2,3,Y,," ৳8,500,000 ",https://iqibd.com/properties/189,Y,Y,,For Sale,,Y,A-9,Y,2022
,1992 sqft,,Apartment,,,Y,Y,,"5th,6th,7th,9th",1,,Y,,Un-Furnished,8 Katha,"Aftabnagar,",3,4,4,Y,," ৳16,500,000 ",https://iqibd.com/properties/190,,Y,,For Sale,,Y,"B-5,B-6,B-7,B-8,B-9",Y,2023
,1400 sqft,,Apartment,Y,,Y,Y,,"1st,8th",,,Y,,Un-Furnished,14.50 Katha,"Mirpur,",2,2,3,Y,," ৳7,700,000 ",https://iqibd.com/properties/194,Y,Y,,For Sale,,Y,"D1,D8",Y,2022
,2250 sqft,,Apartment,Y,,Y,Y,,2nd,1,,Y,,Un-Furnished,5 Katha,"Bashundhara,",4,3,3,Y,," ৳23,000,000 ",https://iqibd.com/properties/182,Y,Y,,For Sale,,Y,Single,Y,2017
,1400 sqft,,Apartment,Y,,Y,Y,,"3rd,5th,7th",1,,Y,,Un-Furnished,14.50 Katha,"Mirpur,",2,2,3,Y,," ৳8,300,000 ",https://iqibd.com/properties/193,Y,Y,,For Sale,,Y,"D3,D5,D7",Y,2022
,1350 sqft,,Apartment,Y,,Y,Y,,"1st,6th",1,,Y,,Un-Furnished,3 Katha,"Aftabnagar,",3,3,3,Y,," ৳9,800,000 ",https://iqibd.com/properties/170,Y,Y,,For Sale,,Y,Single,Y,2023
,810 sqft,,Apartment,Y,,Y,Y,,"4th,5th,6th",,,Y,,Un-Furnished,3 Katha,"Badda,",2,2,2,,," ৳5,800,000 ",https://iqibd.com/properties/171,Y,Y,,For Sale,,Y,"4A,5A,6A",Y,2023
,830 sqft,,Apartment,Y,,Y,Y,,"4th,5th,6th",,,Y,,Un-Furnished,3 Katha,"Badda,",2,2,2,Y,," ৳5,800,000 ",https://iqibd.com/properties/172,Y,Y,,For Sale,,Y,"4B,5B,6B",Y,2023
,2410 sqft,,Apartment,Y,,Y,Y,,"3rd,4th",1,Y,Y,,Un-Furnished,5 Katha,"Bashundhara,",3,3,3,Y,," ৳22,000,000 ",https://iqibd.com/properties/173,Y,Y,,For Sale,,Y,Single Unit,Y,2022
,2071 sqft,,Apartment,Y,,Y,Y,Y,5th,1,,Y,,Un-Furnished,10 Katha,"Bashundhara,",3,4,4,Y,," ৳18,000,000 ",https://iqibd.com/properties/174,Y,Y,,For Sale,,Y,5B,Y,2012
,1365 sqft,,Apartment,Y,,Y,Y,,1st,1,,Y,,Un-Furnished,3 Katha,"Uttara,",3,3,3,Y,," ৳12,000,000 ",https://iqibd.com/properties/177,Y,Y,,For Sale,,Y,Single Unit,Y,2019
,900 sqft,,Apartment,Y,,Y,Y,,6th,,,Y,,Un-Furnished,4 Katha,"Bashundhara,",1,2,2,,," ৳6,500,000 ",https://iqibd.com/properties/175,Y,Y,,For Sale,,Y,A6,Y,2018
,2360 sqft,,Apartment,Y,,Y,Y,,1st,1,,Y,,Un-Furnished,8 Katha,"Bashundhara,",4,4,4,Y,," ৳17,000,000 ",https://iqibd.com/properties/178,Y,,,For Sale,,Y,A1,Y,2012
,1100 sqft,,Apartment,Y,,Y,,,"3rd,5th,6th",,,Y,,Un-Furnished,3 Katha,"Uttara,",2,2,2,,," ৳6,500,000 ",https://iqibd.com/properties/179,Y,Y,,For Sale,,Y,"3B,5B,6B",Y,2022
,1530 sqft,,Apartment,Y,,Y,Y,,1st & 7th,1,,Y,,Un-Furnished,7.5 Katha,"Uttara,",3,3,3,Y,," ৳13,000,000 ",https://iqibd.com/properties/flat-for-sale-at-uttara,Y,Y,,For Sale,,Y,"A1,A7",Y,2012
,2071 sqft,,Commercial property,Y,,Y,Y,Y,2nd,,,Y,,Furnished,Bangladesh sqft,"Gulshan,",,,,Y,," ৳75,000,000 ",https://iqibd.com/properties/181,Y,,,For Sale,,,02,Y,2012
,1300 sqft,,Apartment,Y,,Y,Y,,"3rd,5th,7th",1,,Y,,Un-Furnished,5 Katha,"Mirpur,",3,3,3,,," ৳9,500,000 ",https://iqibd.com/properties/169,Y,Y,,For Sale,,Y,"3B,5A,5B,7A,7B",Y,2023
,1710 sqft,,Apartment,Y,,Y,Y,,8th,1,,Y,,Un-Furnished,10 Katha,"Dhanmondi, Dhaka",2,4,3,Y,," ৳24,000,000 ",https://iqibd.com/properties/158,Y,Y,,For Sale,,Y,A8,Y,2014
,1520 sqft,,Apartment,Y,,Y,Y,,4th,1,,Y,,Un-Furnished,12.5 Katha,"Mohammadpur,",3,3,4,Y,," ৳7,600,000 ",https://iqibd.com/properties/159,Y,Y,,For Sale,,Y,A4,Y,2022
,1500 sqft,,Apartment,Y,,Y,Y,,4th,1,,Y,,Un-Furnished,12.5 Katha,"Mohammadpur,",3,3,3,Y,," ৳7,500,000 ",https://iqibd.com/properties/160,Y,Y,,For Sale,,Y,A3,Y,2022
,1378 sqft,,Apartment,Y,,Y,Y,,5th,1,,Y,,Un-Furnished,5 Katha,"Mohammadpur,",3,3,3,Y,," ৳10,800,000 ",https://iqibd.com/properties/161,Y,Y,,For Sale,,Y,A5,Y,2022
,1558 sqft,,Apartment,Y,,Y,Y,,12th,1,,Y,,Un-Furnished,12.90 Katha,"Shiddeshwari, Dhaka",3,3,3,Y,," ৳14,000,000 ",https://iqibd.com/properties/162,Y,Y,,For Sale,,Y,B12,Y,2022
,2400 sqft,,Apartment,,,Y,Y,,12th,1,,Y,,Un-Furnished,12 Katha,"Dhanmondi, Dhaka",4,4,4,Y,," ৳23,000,000 ",https://iqibd.com/properties/163,Y,Y,,For Sale,,Y,B-12,Y,2018
,820 sqft,,Apartment,Y,,Y,Y,,"2nd,4th,6th",,,Y,,Un-Furnished,3 Katha,"Badda,",2,2,2,,," ৳6,000,000 ",https://iqibd.com/properties/166,Y,Y,,For Sale,,Y,"2B,4B,6B",Y,2022
,1250 sqft,,Apartment,Y,,Y,Y,,"2nd,3rd,7th,8th",,,Y,,Un-Furnished,8 Katha,"Aftabnagar,",2,3,3,,," ৳8,800,000 ",https://iqibd.com/properties/165,Y,Y,,For Sale,,Y,"2B,3B,7B,8B",Y,2019
,1350 sqft,,Apartment,Y,,Y,Y,,"2nd,3rd,7th,8th",,,Y,,Un-Furnished,8 Katha,"Aftabnagar,",2,3,3,Y,," ৳9,400,000 ",https://iqibd.com/properties/164,Y,Y,,For Sale,,Y,"2A,3A,7A,8A",Y,2019
,800 sqft,,Apartment,Y,,Y,Y,,"2nd,4th,6th",,,Y,,Un-Furnished,3 Katha,"Badda,",2,2,2,,," ৳6,000,000 ",https://iqibd.com/properties/167,Y,Y,,For Sale,,Y,"2A,4A,6A",Y,2022
Y,2821sqft,,Apartment,Y,Y,Y,Y,Y,7th,2,Y,Y,,Un-Furnished,16.8 Katha,"Dhanmondi, Dhaka",5,5,4,Y,," ৳45,000,000 ",https://iqibd.com/properties/157,Y,Y,,For Sale,,Y,Single,Y,2021
,1350 sqft,,Apartment,Y,,Y,Y,,"5th,7th",1,,Y,,Un-Furnished,3 Katha,"Mirpur,",3,3,3,Y,," ৳9,500,000 ",https://iqibd.com/properties/168,Y,Y,,For Sale,,Y,"5A,5B,7A",Y,2023
,1042 sqft,,Apartment,,,Y,,,5th,1,,Y,,Un-Furnished,,"Dhanmondi, Dhaka",3,3,3,Y,," ৳7,500,000 ",https://iqibd.com/properties/146,Y,Y,,For Sale,,Y,A5,Y,2017
,1012 sqft,Y,Apartment,Y,,Y,,,5th,1,,Y,,Un-Furnished,,"Dhanmondi, Dhaka",2,2,3,,," ৳7,300,000 ",https://iqibd.com/properties/147,Y,Y,,For Sale,,Y,B5,Y,2017
,1350 sqft,,Apartment,Y,,Y,Y,,1st,1,,Y,,Un-Furnished,7.25 Katha,"Dhanmondi, Dhaka",2,3,3,Y,," ৳14,850,000 ",https://iqibd.com/properties/150,Y,Y,,For Sale,,Y,C1,Y,2022
,1350 sqft,,Apartment,Y,,Y,Y,,1st,1,,Y,,Un-Furnished,7.25 Katha,"Dhanmondi, Dhaka",2,3,3,Y,," ৳14,850,000 ",https://iqibd.com/properties/149,Y,Y,,For Sale,,Y,B1,Y,2022
,1450 sqft,,Apartment,Y,,Y,,,1st,1,,Y,,Un-Furnished,7.25 Katha,"Dhanmondi, Dhaka",2,3,3,Y,," ৳15,950,000 ",https://iqibd.com/properties/148,Y,Y,,For Sale,,Y,A1,Y,2022
,2550 sqft,Y,Apartment,Y,,Y,Y,,9th,1,,Y,,Un-Furnished,,"Dhanmondi, Dhaka",2,4,4,Y,," ৳44,000,000 ",https://iqibd.com/properties/151,Y,Y,,For Sale,,Y,A9,Y,2022
,2550 sqft,,Apartment,Y,,Y,Y,,5th,1,,Y,,Un-Furnished,3.5 Katha,"Mohammadpur,",3,3,3,Y,," ৳17,100,000 ",https://iqibd.com/properties/152,Y,Y,,For Sale,,Y,Single,Y,2022
,1750 sqft,,Apartment,Y,,Y,Y,,2nd,1,,Y,,Un-Furnished,10 Katha,"Dhanmondi, Dhaka",4,3,3,Y,," ৳11,000,000 ",https://iqibd.com/properties/155,Y,Y,,For Sale,,Y,2E,Y,2022
,2600 sqft,,Apartment,Y,,Y,Y,,1st,1,,Y,,Un-Furnished,5 Katha,"Dhanmondi, Dhaka",4,4,4,Y,," ৳41,600,000 ",https://iqibd.com/properties/153,Y,Y,,For Sale,,Y,Single,Y,2022
,2600 sqft,,Apartment,Y,,Y,Y,,7th,1,,Y,,Un-Furnished,5 Katha,"Dhanmondi, Dhaka",4,4,4,Y,," ৳46,800,000 ",https://iqibd.com/properties/154,Y,Y,,For Sale,,Y,Single,Y,2022
,800 sqft,,Apartment,Y,,Y,,,3rd,,,Y,,Un-Furnished,,"Dhanmondi, Dhaka",2,2,2,,," ৳6,000,000 ",https://iqibd.com/properties/145,Y,Y,,For Sale,,Y,3D,Y,2016
,1935 sqft,,Apartment,Y,,Y,Y,,5th,1,,Y,,Un-Furnished,,"Dhanmondi, Dhaka",5,4,4,Y,," ৳11,000,000 ",https://iqibd.com/properties/156,Y,Y,,For Sale,,Y,A5 & C5,Y,2022
Y,2410 sqft,Y,Apartment,Y,,Y,,,2nd,1,,Y,,Un-Furnished,5 Katha,"Bashundhara,",3,3,3,Y,," ৳20,000,000 ",https://iqibd.com/properties/134,Y,Y,,For Sale,,Y,Single,Y,2022
Y,2410 sqft,Y,Apartment,Y,,Y,,,5th,1,,Y,,Un-Furnished,5 Katha,"Bashundhara,",3,3,3,Y,," ৳20,000,000 ",https://iqibd.com/properties/135,Y,Y,,For Sale,,Y,Single,Y,2022
,980 sqft,,Apartment,Y,,Y,,,5th,,,Y,,Un-Furnished,10 Katha,"Mirpur,",1,2,2,,," ৳5,500,000 ",https://iqibd.com/properties/136,Y,Y,,For Sale,,,Single,Y,2010
,1250 sqft,Y,Apartment,Y,,Y,,,9,,,Y,,Un-Furnished,6.75 Katha,"Mirpur,",2,3,3,,," ৳7,700,000 ",https://iqibd.com/properties/137,Y,Y,,For Sale,,,9C,Y,2022
,1200 sqft,,Apartment,Y,,Y,,,8,,,Y,,Un-Furnished,6.75 Katha,"Mirpur,",2,3,3,,," ৳5,200,000 ",https://iqibd.com/properties/140,Y,Y,,For Sale,,,8B,Y,2022
,1200 sqft,,Apartment,Y,,Y,,,8,,,Y,,Un-Furnished,6.75 Katha,"Mirpur,",2,3,3,,," ৳7,000,000 ",https://iqibd.com/properties/139,Y,Y,,For Sale,,,8B,Y,2022
,1250 sqft,,Apartment,,,Y,Y,,7,,,Y,,Un-Furnished,6.75 Katha,"Mirpur,",2,3,3,,," ৳7,500,000 ",https://iqibd.com/properties/138,Y,Y,,For Sale,,,7D,Y,2022
,950 sqft,,Apartment,,,Y,,,3rd,,,Y,,Un-Furnished,2.5 Katha,"Mirpur,",2,2,3,,," ৳5,500,000 ",https://iqibd.com/properties/142,Y,Y,,For Sale,,,3B,Y,2023
,1200 sqft,Y,Apartment,,,Y,,,9th,,,Y,,Un-Furnished,5 Katha,"Mirpur,",2,3,3,,," ৳7,000,000 ",https://iqibd.com/properties/143,Y,Y,,For Sale,,,9A,Y,2023
,975 sqft,,Apartment,,,Y,,,4th,,,Y,,Un-Furnished,2.5 Katha,"Mirpur,",1,2,3,,," ৳4,500,000 ",https://iqibd.com/properties/141,Y,Y,,For Sale,,,4B,Y,2018
,1200 sqft,,Apartment,,,Y,Y,,3rd,,,Y,,Un-Furnished,6 Katha,"Mirpur,",2,3,3,,," ৳7,000,000 ",https://iqibd.com/properties/144,Y,Y,,For Sale,,,3A,Y,2023
Y,1340 sqft,Y,Apartment,Y,,Y,,,9th,,,Y,,Furnished,6 Katha,"Mirpur,",2,3,3,Y,," ৳9,000,000 ",https://iqibd.com/properties/133,Y,Y,,For Sale,,Y,9A,Y,2010
Y,1380 sqft,,Apartment,Y,,Y,,,7th,1,,Y,,Semi-Furnished,,"Aftabnagar,",3,3,3,Y,," ৳9,500,000 ",https://iqibd.com/properties/122,Y,Y,,For Sale,,Y,7A,Y,2021
,1220 sqft,,Apartment,Y,,Y,,,7th,1,,Y,,Semi-Furnished,,"Banasree,",2,3,3,Y,," ৳7,800,000 ",https://iqibd.com/properties/123,Y,Y,,For Sale,,Y,7A & 7C,Y,2021
