air_conditioning,area,balcony,building_type,cctv,central_heating,elevator,emergency_stairs,fitness_center,floor,garage,garden,generator,government_gas,interior,land_size,location,num_balcony,num_bath_rooms,num_bed_rooms,parking,pets_allow,price,property_link,reception,security,servant_room,status,swimming_pool,tv_cable,unit,wifi,year_built
Y,1420 sqft,,Apartment,Y,,Y,,,7th,1,,Y,,Semi-Furnished,,"Banasree,",2,3,3,Y,," ৳9,000,000 ",https://iqibd.com/properties/124,Y,Y,,For Sale,,Y,7B & 7D,Y,2021
Y,2200 sqft,,Apartment,Y,,Y,Y,Y,6th,1,,Y,,Furnished,5 Katha,"Bashundhara,",4,4,4,Y,Y," ৳22,500,000 ",https://iqibd.com/properties/125,Y,,,For Sale,Y,Y,Single,Y,2021
Y,1530 sqft,,Apartment,Y,,Y,Y,Y,"1st, 5th, 7th",1,,Y,,Semi-Furnished,7.5 Katha,"Uttara,",3,3,3,Y,," ৳13,500,000 ",https://iqibd.com/properties/126,Y,Y,,For Sale,Y,Y,"A1, A5, A7",Y,2012
,682 sqft,,Apartment,Y,,Y,,,"2nd, 3rd, 5th",,,,,Un-Furnished,,"Badda,",1,2,2,,," ৳3,500,000 ",https://iqibd.com/properties/127,,Y,,For Sale,,,"2B, 3A, 3B, 5A",,2022
,2400 sqft,,Apartment,Y,,Y,,,2nd,1,,Y,,Semi-Furnished,,"Aftabnagar,",3,4,4,Y,," ৳18,000,000 ",https://iqibd.com/properties/128,Y,Y,,For Sale,,Y,Single,Y,2022
,1300 sqft,,Apartment,Y,,Y,,,3rd,,,Y,,Un-Furnished,10 Katha,"Mirpur,",2,3,3,,," ৳8,000,000 ",https://iqibd.com/properties/129,Y,Y,,For Sale,,Y,3C,Y,2023
Y,1000 sqft,,Apartment,Y,,Y,,,9th,,,Y,,Semi-Furnished,,"Mirpur,",2,2,3,,," ৳5,700,000 ",https://iqibd.com/properties/130,,Y,,For Sale,,Y,10A,,2023
Y,2410 sqft,Y,Apartment,Y,,Y,,,3rd,1,,Y,,Un-Furnished,5 Katha,"Bashundhara,",3,3,3,Y,," ৳20,000,000 ",https://iqibd.com/properties/132,Y,Y,,For Sale,,Y,Single,Y,2022
,1605 ft2,,Apartment,Y,,Y,,,"3rd, 7th",,,Y,,On-Going,4 Katha,"Gabtoli,",2,3,3,,," ৳10,000,000 ",https://iqibd.com/properties/131,Y,Y,,For Sale,,Y,"3A, 3B, 7A,7B",,2023
,1100 sqft,,Apartment,Y,,Y,,,9th,1,,Y,,Furnished,,"Mirpur,",2,3,3,Y,," ৳6,800,000 ",https://iqibd.com/properties/121,Y,Y,,For Sale,,Y,9C,Y,2020
,2000 sqft,,Apartment,Y,,Y,,,1st-6th,1,,Y,,Un-Furnished,5 Katha,"Aftabnagar,",3,3,3,Y,," ৳13,500,000 ",https://iqibd.com/properties/110,Y,Y,,For Sale,,Y,Single,Y,2022
,1100 sqft,,Apartment,Y,,Y,,,6th,1,,Y,,Semi-Furnished,,"Mirpur,",,2,3,Y,," ৳7,000,000 ",https://iqibd.com/properties/112,Y,Y,,For Sale,,Y,6B,Y,2019
Y,1341 sqft,,Apartment,Y,,Y,,,2nd,1,,Y,,Semi-Furnished,,"Mirpur,",3,3,3,Y,," ৳7,200,000 ",https://iqibd.com/properties/113,Y,Y,,For Sale,Y,Y,2A,Y,2015
,1266 sqft,,Apartment,Y,,Y,,,3rd,1,,Y,,Un-Furnished,5.5 Katha,"Mirpur,",,2,3,Y,," ৳7,200,000 ",https://iqibd.com/properties/114,Y,Y,,For Sale,,Y,3B,,2022
,1155 sqft,,Apartment,Y,,Y,,,7th,,,Y,,Semi-Furnished,,"Mirpur,",2,2,3,,," ৳5,700,000 ",https://iqibd.com/properties/111,,Y,,For Sale,,Y,7B,Y,2019
Y,2350 sqft,Y,Apartment,Y,,Y,Y,Y,9th,1,,Y,,Furnished,,"Shanti Nagar,",3,4,3,Y,," ৳26,000,000 ",https://iqibd.com/properties/116,Y,,Yes,For Sale,Y,Y,9A,Y,2014
Y,1850 sqft,,Apartment,Y,,Y,Y,,6th,1,,Y,,Furnished,4 Katha,"Lalmatia,",2,4,4,Y,," ৳22,000,000 ",https://iqibd.com/properties/115,Y,Y,,For Sale,,Y,Single,Y,2016
,1850 sqft,,Apartment,Y,,Y,,,6th,1,,Y,,Semi-Furnished,,"Banasree,",3,4,4,Y,," ৳12,000,000 ",https://iqibd.com/properties/117,Y,Y,,For Sale,,Y,Single,Y,2014
,1900 sqft,,Apartment,Y,,Y,,,5th,1,,Y,,Un-Furnished,,"Mirpur,",3,3,4,Y,," ৳10,000,000 ",https://iqibd.com/properties/118,Y,Y,,For Sale,,,5A,Y,2022
,1100 sqft,,Apartment,Y,,Y,,,3rd,,,Y,,Un-Furnished,,"Mirpur,",2,3,3,Y,," ৳7,000,000 ",https://iqibd.com/properties/119,Y,Y,,For Sale,,Y,3B,Y,2023
,1150 sqft,,Apartment,Y,,Y,,,3rd,,,Y,,Un-Furnished,,"Mirpur,",2,3,3,Y,," ৳7,500,000 ",https://iqibd.com/properties/120,Y,Y,,For Sale,,Y,3A,Y,2023
,1472 sqft,,Apartment,Y,,Y,,,"2nd, 4th",1,,Y,,Furnished,,"Bashundhara,",2,3,3,Y,," ৳11,500,000 ",https://iqibd.com/properties/108,Y,Y,,For Sale,,Y,"2B,4A,4B",Y,2021
,850 sqft,,Apartment,Y,,,,,5th,,,Y,,Semi-Furnished,,"Mirpur,",2,2,2,,," ৳3,500,000 ",https://iqibd.com/properties/97,,Y,,For Sale,,Y,5B,Y,2010
,1000 sqft,,Apartment,Y,,,,,2nd,,,Y,,Semi-Furnished,,"Mirpur,",2,2,3,,," ৳5,200,000 ",https://iqibd.com/properties/98,,Y,,For Sale,,Y,B2,Y,2017
Y,3300 sqft,,Apartment,Y,,Y,Y,Y,3rd,,,Y,,Furnished,10 katha,"Gulshan,",3,4,3,Y,," ৳60,000,000 ",https://iqibd.com/properties/99,Y,Y,,For Sale,,Y,A3,Y,2018
,1342 sqft,,Apartment,Y,,Y,,,8th,1,,Y,,Un-Furnished,,"Badda,",2,3,3,Y,," ৳8,000,000 ",https://iqibd.com/properties/100,Y,Y,,For Sale,,Y,8A,Y,2022
,1231 sqft,,Apartment,Y,,Y,,,5th,1,,Y,,Un-Furnished,,"Badda,",2,2,3,Y,," ৳7,500,000 ",https://iqibd.com/properties/101,Y,Y,,For Sale,,Y,5B,Y,2022
Y,2997 sqft,,Apartment,Y,,Y,Y,Y,7th,,,Y,,Semi-Furnished,17 Katha,"Gulshan,",,2,2,Y,," ৳64,500,000 ",https://iqibd.com/properties/102,Y,Y,,For Sale,,Y,7C,Y,2018
,1600 sqft,,Apartment,Y,,Y,,,3rd,1,,Y,,Semi-Furnished,3 Katha,"Aftabnagar,",3,3,3,Y,," ৳11,500,000 ",https://iqibd.com/properties/105,Y,Y,,For Sale,,Y,Single,,2020
,1500 sqft,,Apartment,Y,,Y,,,"1st,2nd,3rd",1,,Y,,Un-Furnished,3 Katha,"Uttara,",3,3,3,Y,," ৳13,500,000 ",https://iqibd.com/properties/103,Y,Y,,For Sale,,Y,Single,Y,2023
Y,3550 sqft,Y,Apartment,Y,,Y,Y,Y,11th,,,Y,,Un-Furnished,20 Katha,"Gulshan,",3,5,4,Y,," ৳99,999,999 ",https://iqibd.com/properties/104,Y,Y,,For Sale,Y,Y,11A,Y,2022
Y,1063 sqft,,Apartment,Y,,Y,Y,,3rd,1,,Y,,Furnished,,"Khilkhet,",2,3,2,Y,," ৳5,400,000 ",https://iqibd.com/properties/96,Y,Y,,For Sale,,Y,3D,Y,2008
,1600 sqft,,Apartment,Y,,Y,,,2nd,1,,Y,,Un-Furnished,,"Bashundhara,",2,3,3,Y,," ৳12,500,000 ",https://iqibd.com/properties/107,Y,Y,,For Sale,,Y,Single,Y,2022
Y,2200 sqft,,Apartment,Y,,Y,Y,,2nd & 3rd,1,,Y,,Un-Furnished,,"Bashundhara,",2,5,4,Y,," ৳19,000,000 ",https://iqibd.com/properties/84,Y,Y,,For Sale,,Y,Single,Y,2022
Y,875 sqft,,Apartment,Y,,Y,,,3rd,1,,Y,,Un-Furnished,4 Katha,"Bashundhara,",2,2,2,,," ৳8,000,000 ",https://iqibd.com/properties/86,Y,Y,No,For Sale,,Y,3B,Y,2022
Y,1750 sqft,,Apartment,Y,,Y,,,4th,1,,Y,,Un-Furnished,,"Baridhara,",3,4,3,Y,," ৳15,500,000 ",https://iqibd.com/properties/88,Y,Y,,For Sale,,Y,4A,Y,2016
Y,1360 sqft,,Apartment,Y,,Y,,,6th,1,,Y,,Un-Furnished,,"Mirpur,",,3,3,Y,," ৳8,500,000 ",https://iqibd.com/properties/87,Y,Y,,For Sale,,Y,6A,Y,2020
Y,2350 sqft,,Apartment,,,Y,,,9th,1,,Y,,Furnished,,"Shagun Bagicha,",3,4,4,Y,," ৳28,000,000 ",https://iqibd.com/properties/90,Y,Y,,For Sale,,Y,9C,Y,2012
Y,1688 sqft,,Apartment,Y,,Y,Y,,,1,,Y,,Furnished,,"Shagun Bagicha,",,3,3,Y,," ৳17,000,000 ",https://iqibd.com/properties/89,Y,Y,,For Sale,,Y,,Y,2009
,1000 sqft,,Apartment,Y,,Y,Y,,1st,,,Y,,Un-Furnished,,"Mirpur,",2,2,3,Y,," ৳3,500,000 ",https://iqibd.com/properties/91,Y,Y,,For Sale,,Y,Single,Y,2023
,950 sqft,,Apartment,Y,,Y,Y,,8th,,,Y,,Un-Furnished,,"Mirpur,",2,2,3,,," ৳3,500,000 ",https://iqibd.com/properties/92,Y,Y,,For Sale,,Y,Single,Y,2023
,950 sqft,,Apartment,Y,,Y,Y,,6th & 7th,,,Y,,Un-Furnished,,"Mirpur,",2,2,3,,," ৳4,800,000 ",https://iqibd.com/properties/93,Y,Y,,For Sale,,Y,Single,Y,2023
,950 sqft,,Apartment,Y,,Y,Y,,9th,,,Y,,Un-Furnished,,"Mirpur,",2,2,3,,," ৳4,500,000 ",https://iqibd.com/properties/94,Y,Y,,For Sale,,Y,Single,Y,2022
Y,1015 sqft,,Apartment,Y,,Y,Y,,6th,,,Y,,Furnished,,"Mirpur,",2,3,3,,," ৳5,700,000 ",https://iqibd.com/properties/95,Y,Y,,For Sale,,Y,6C,Y,2018
,1343 sqft,,Apartment,Y,,Y,,,"7th,9th",1,,Y,,Un-Furnished,,"Aftabnagar,",2,3,3,Y,," ৳11,000,000 ",https://iqibd.com/properties/72,,Y,No,For Sale,,Y,"A9,B7",Y,2022
,1490 sqft,,Apartment,Y,,Y,,,"3rd,4th",1,,Y,,Un-Furnished,,"Aftabnagar,",2,3,3,Y,," ৳9,500,000 ",https://iqibd.com/properties/73,,Y,No,For Sale,,Y,Single,Y,2022
Y,2075 sqft,Y,Apartment,Y,,Y,Y,,5th,1,,Y,,Furnished,20 katha,"Bashundhara,",3,4,4,,," ৳21,000,000 ",https://iqibd.com/properties/75,Y,Y,Yes,For Sale,Y,Y,B5,Y,2011
Y,1565 sqft,,Apartment,Y,,Y,,,6th & 7th,1,,Y,,Un-Furnished,4 katha,"Bashundhara,",3,3,3,Y,," ৳12,000,000 ",https://iqibd.com/properties/74,,Y,No,For Sale,,Y,Single,Y,2020
,2410 sqft,,Apartment,Y,,Y,,,"4th,5th",1,,Y,,Un-Furnished,8 katha,"Bashundhara,",3,4,3,Y,," ৳20,000,000 ",https://iqibd.com/properties/76,,Y,,For Sale,,Y,Single,Y,2022
Y,1925 sqft,,Apartment,Y,,Y,Y,,8th,1,,Y,,Furnished,20 katha,"Bashundhara,",2,4,4,Y,," ৳22,000,000 ",https://iqibd.com/properties/77,Y,Y,Yes,For Sale,,Y,C8,Y,2021
,1167 sqft,,Apartment,Y,,Y,,,5th,,,Y,,Furnished,5 katha,"Basabo,",2,3,3,,," ৳7,800,000 ",https://iqibd.com/properties/78,,Y,,For Sale,,Y,A6,Y,2010
Y,1525 sqft,,Apartment,Y,,Y,Y,Y,12th,1,,Y,,Furnished,20 katha,"Rampura,",4,3,3,Y,," ৳9,500,000 ",https://iqibd.com/properties/79,Y,Y,,For Sale,,Y,12J,Y,2021
Y,1224 sqft,,Apartment,Y,,Y,,,3rd,,,Y,,Semi-Furnished,,"Badda,",2,3,3,Y,," ৳6,700,000 ",https://iqibd.com/properties/80,Y,,,For Sale,,Y,2A,Y,2022
,935 sqft,,Apartment,Y,,Y,,,1st,,,Y,,Un-Furnished,,"Bashundhara,",2,2,2,,," ৳6,000,000 ",https://iqibd.com/properties/82,,Y,,For Sale,,Y,2C,Y,2016
,1352 sqft,,Apartment,Y,,Y,Y,,9th,1,,Y,,Un-Furnished,,"Bashundhara,",3,3,3,Y,," ৳9,700,000 ",https://iqibd.com/properties/81,Y,Y,,For Sale,,Y,9B,Y,2018
,935 sqft,,Apartment,Y,,Y,,,5th,,,Y,,Un-Furnished,,"Bashundhara,",2,2,2,,," ৳6,000,000 ",https://iqibd.com/properties/83,Y,Y,,For Sale,,,6C,Y,2016
,1080 sqft,,Apartment,Y,,Y,,,1st & 6th,1,,Y,,Un-Furnished,5 Katha,"Bashundhara,",2,2,2,Y,," ৳7,800,000 ",https://iqibd.com/properties/65,,Y,,For Sale,,Y,2A & 6B,Y,2016
Y,1750 sqft,,Apartment,Y,,Y,,,"2nd,3rd,6th,8th",1,,Y,,Un-Furnished,10 katha,"Bashundhara,",3,3,3,Y,," ৳13,475,000 ",https://iqibd.com/properties/66,Y,Y,No,For Sale,,Y,"2(A,B,C)3(A,B,C)6(A,B,C)8(A,B,C)",Y,2025
Y,2160 sqft,,Apartment,Y,,Y,Y,,1st,1,,Y,,Un-Furnished,,"Bashundhara,",4,4,4,Y,," ৳21,680,000 ",https://iqibd.com/properties/68,Y,Y,Yes,For Sale,,Y,Single,Y,2022
Y,1750 sqft,,Apartment,Y,,Y,,,9th,1,,Y,,Furnished,12 katha,"Shiddeshwari, Dhaka",2,3,4,Y,," ৳20,000,000 ",https://iqibd.com/properties/69,,Y,No,For Sale,,Y,D9,Y,2006
,1210 sqft,,Apartment,Y,,Y,,,8th,1,,Y,,Un-Furnished,7 katha,"Aftabnagar,",3,3,3,Y,," ৳7,600,000 ",https://iqibd.com/properties/70,,Y,,For Sale,,Y,C8,,2023
,892 sqft,,Apartment,Y,,Y,,,2nd,,,Y,,Un-Furnished,7 katha,"Aftabnagar,",2,2,2,Y,," ৳5,500,000 ",https://iqibd.com/properties/71,,Y,,For Sale,,Y,A2,,2023
Y,1320 sqft,,Apartment,Y,,Y,,,"1st, 6th, 8th",1,,Y,,Un-Furnished,,"Rampura,",2,3,3,Y,," ৳8,250,000 ",https://iqibd.com/properties/58,,Y,,For Sale,,Y,"C1, C6, C8",Y,2023
Y,800 sqft,,Apartment,Y,,Y,,,"2nd,4th,6th,7th",1,,Y,,Un-Furnished,2.5 katha,"Badda,",3,2,2,Y,," ৳6,000,000 ",https://iqibd.com/properties/57,,Y,No,For Sale,,Y,"2B,4A,4B,6B,7A,7B",Y,2022
Y,1330 sqft,,Apartment,Y,,Y,,,"1st, 6th, 8th",1,,Y,,Un-Furnished,,"Rampura,",2,3,3,Y,," ৳8,300,000 ",https://iqibd.com/properties/59,,Y,,For Sale,,Y,"B1, B6, B8",Y,2023
Y,2250 sqft,,Apartment,Y,,Y,Y,,4th,,,Y,,Un-Furnished,5.25 Katha,"Bangla Motor,",4,4,4,Y,," ৳29,225,000 ",https://iqibd.com/properties/62,Y,Y,Yes,For Sale,,Y,4A,Y,2022
,1250 sqft,,Apartment,Y,,Y,Y,,"1st, 8th",1,,Y,,Un-Furnished,,"Rampura,",2,3,3,Y,," ৳7,900,000 ",https://iqibd.com/properties/60,,Y,,For Sale,,Y,"A1, A8",Y,2023
Y,1750 sqft,,Apartment,Y,,Y,,,1st & 2nd,1,,Y,,Un-Furnished,3 Katha,"Bashundhara,",3,4,4,Y,," ৳14,500,000 ",https://iqibd.com/properties/61,,Y,No,For Sale,,Y,1st & 2nd,Y,2022
,1830 sqft,,Apartment,Y,,Y,Y,,6th,1,,Y,,Un-Furnished,,"Bashundhara,",3,4,3,Y,," ৳15,000,000 ",https://iqibd.com/properties/45,Y,Y,No,For Sale,,,Single,Y,2022
Y,1350 sqft,,Apartment,Y,,Y,,,7th,1,,Y,,Un-Furnished,5 katha,"Mirpur,",3,3,3,Y,," ৳9,500,000 ",https://iqibd.com/properties/56,,Y,No,For Sale,,Y,7B,Y,2022
,1830 sqft,,Apartment,Y,,Y,Y,,7th,1,,Y,,Un-Furnished,,"Bashundhara,",3,4,3,Y,," ৳15,000,000 ",https://iqibd.com/properties/46,Y,Y,No,For Sale,,,Single,Y,2022
,1830 sqft,,Apartment,Y,,Y,Y,,8th,1,,Y,,Un-Furnished,,"Bashundhara,",3,4,3,Y,," ৳15,000,000 ",https://iqibd.com/properties/47,Y,Y,No,For Sale,,,Single,Y,2022
,1200 sqft,,Apartment,Y,,Y,,,1st,1,,Y,,Un-Furnished,6 katha,"Aftabnagar,",,3,3,Y,," ৳7,500,000 ",https://iqibd.com/properties/48,,Y,,For Sale,,,1B,Y,2022
,1100 sqft,,Apartment,Y,,Y,,,3rd,1,,Y,,Un-Furnished,,"Mirpur,",2,3,3,Y,," ৳8,000,000 ",https://iqibd.com/properties/49,,Y,,For Sale,,,3C,Y,2022
,1530 sqft,,Apartment,Y,,Y,,,2nd,1,,Y,,Un-Furnished,3 katha,"Bashundhara,",3,4,3,Y,," ৳13,500,000 ",https://iqibd.com/properties/50,,Y,,For Sale,,,2A,Y,2023
Y,1300 sqft,,Apartment,Y,,Y,,,7th,1,,Y,,Un-Furnished,5 katha,"Mirpur,",3,3,3,Y,," ৳9,500,000 ",https://iqibd.com/properties/52,,Y,No,For Sale,,,7A & 7B,Y,2022
Y,1300 sqft,,Apartment,Y,,Y,,,5th,1,,Y,,Un-Furnished,5 katha,"Mirpur,",3,3,3,Y,," ৳9,500,000 ",https://iqibd.com/properties/51,Y,Y,No,For Sale,,,5A & 5B,Y,2022
Y,1300 sqft,,Apartment,Y,,Y,,,3rd,1,,Y,,Un-Furnished,5 katha,"Mirpur,",3,3,3,Y,," ৳9,500,000 ",https://iqibd.com/properties/53,,Y,No,For Sale,,,3B,Y,2022
Y,1350 sqft,,Apartment,Y,,Y,,,5th,1,,Y,,Un-Furnished,5 katha,"Mirpur,",3,3,3,Y,," ৳9,500,000 ",https://iqibd.com/properties/54,,Y,No,For Sale,,,A5,Y,2022
Y,1350 sqft,,Apartment,Y,,Y,,,5th,1,,Y,,Un-Furnished,5 katha,"Mirpur,",3,3,3,Y,," ৳9,500,000 ",https://iqibd.com/properties/55,,Y,No,For Sale,,Y,B5,Y,2022
,1830 sqft,,Apartment,Y,,Y,Y,,3rd,1,,Y,,Un-Furnished,,"Bashundhara,",3,4,3,Y,," ৳15,000,000 ",https://iqibd.com/properties/42,Y,Y,No,For Sale,,,Single,Y,2022
,1830 sqft,,Apartment,Y,,Y,Y,,5th,1,,Y,,Un-Furnished,,"Bashundhara,",3,4,3,Y,," ৳15,000,000 ",https://iqibd.com/properties/44,Y,Y,No,For Sale,,,Single,Y,2022
,1830 sqft,,Apartment,Y,,Y,Y,,4th,1,,Y,,Un-Furnished,,"Bashundhara,",3,4,3,Y,," ৳15,000,000 ",https://iqibd.com/properties/43,Y,Y,No,For Sale,,,Single,Y,2022
,2500 sqft,,Apartment,Y,,Y,Y,Y,4th,1,,Y,,Un-Furnished,15480 sqft,"Baridhara,",3,3,3,Y,," ৳29,500,000 ",https://iqibd.com/properties/36,Y,Y,Yes,For Sale,Y,,D4,,2012
,2339 sqft,,Apartment,Y,,Y,Y,Y,5th,1,,Y,,Un-Furnished,15480 sqft,"Baridhara,",3,3,3,Y,," ৳27,729,000 ",https://iqibd.com/properties/37,Y,Y,Yes,For Sale,Y,,A5,,2012
,2339 sqft,,Apartment,Y,,Y,Y,Y,6th,1,,Y,,Un-Furnished,15480 sqft,"Baridhara,",3,3,3,Y,," ৳27,729,000 ",https://iqibd.com/properties/38,Y,Y,Yes,For Sale,Y,,A6,,2012
,2513 sqft,,Apartment,Y,,Y,Y,Y,4th,1,,,,Un-Furnished,15480 sqft,"Baridhara,",3,3,3,Y,," ৳29,643,000 ",https://iqibd.com/properties/35,,Y,Yes,For Sale,Y,,C4,,2012
,2513 sqft,Y,Apartment,Y,,Y,Y,Y,5th,1,,Y,,Un-Furnished,15480 sqft,"Baridhara,",3,3,3,Y,," ৳29,643,000 ",https://iqibd.com/properties/39,Y,Y,Yes,For Sale,Y,,C5,,2012
,3685 sqft,,Apartment,Y,,Y,Y,Y,3rd,,,Y,,Un-Furnished,,"Baridhara,",5,5,4,Y,," ৳90,000,000 ",https://iqibd.com/properties/40,Y,Y,Yes,For Sale,Y,,Single,Y,2022
,1750 sqft,,Apartment,Y,,Y,,,4th,1,,Y,,Un-Furnished,,"Bashundhara,",3,4,4,Y,," ৳15,000,000 ",https://iqibd.com/properties/41,Y,Y,No,For Sale,,,Single,Y,2022
