area_sft,attach_bathrooms,balcony,bedrooms,common_bathrooms,dining,floor,floor_type,living,location,parking_space,price_per_month,property_type
1200,2,2,3,1,Space,1st,,Space,"Uttara West, Dhaka, Bangladesh",1,"45,000.00৳",Furnished Apartment
1950,3,,3,,Space,5th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"2,00,000.00৳",Furnished Apartment
2200,1,2,1,1,Space,13th,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
2400,2,,3,1,Space,2nd,,Space,"Baridhara, Dhaka, Bangladesh",1,"70,000.00৳",Furnished Apartment
2700,2,,4,1,Space,3rd,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"90,000.00৳",Furnished Apartment
2200,4,2,4,,Space,4th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,80,00,000.00৳",Furnished Apartment
1750,2,3,3,1,Space,2nd,,Space,"Bashundhara RA, Dhaka, Bangladesh",1,"37,000.00৳",Furnished Apartment
1000,1,2,3,1,Space,6th,,Space,"Motijheel, Dhaka, Bangladesh",1,"20,000.00৳",Furnished Apartment
1350,2,3,3,1,Room,1st,,Room,"Rampura, Dhaka, Bangladesh",1,"35,000.00৳",Furnished Apartment
1600,2,3,3,1,Space,4th,,Space,"Uttara East, Dhaka, Bangladesh",1,"60,000.00৳",Furnished Apartment
2200,2,3,3,1,Space,3rd,,Space,"Banani, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
3400,2,,4,1,Space,5th,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,50,000.00৳",Furnished Apartment
4500,5,4,7,1,Space,2nd,,Space,"DOHS Mohakhali, Dhaka, Bangladesh",2,"80,000.00৳",Furnished Apartment
1500,2,2,3,1,Space,1st,,Space,"Uttara West, Dhaka, Bangladesh",1,"50,000.00৳",Furnished Apartment
4500,4,4,4,,Space,2nd,,Room,"DOHS Banani, Dhaka, Bangladesh",2,"2,20,000.00৳",Furnished Apartment
1250,2,1,3,1,Space,2nd,,Space,"DOHS Baridhara, Dhaka, Bangladesh",1,"60,000.00৳",Furnished Apartment
1985,2,2,3,1,Space,3rd,,Space,"Uttara West, Dhaka, Bangladesh",1,"80,000.00৳",Furnished Apartment
1200,1,2,2,1,Space,8th,,Space,"Uttara West, Dhaka, Bangladesh",1,"40,000.00৳",Furnished Apartment
1800,2,2,3,1,Space,4th,,Space,"Uttara West, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
1200,2,2,3,1,Space,Ground,,Space,"Uttara West, Dhaka, Bangladesh",1,"45,000.00৳",Furnished Apartment
1620,3,3,3,,Room,3rd,,Room,"Aftabnagar, Dhaka, Bangladesh",1,"30,000.00৳",Furnished Apartment
1557,2,2,3,1,Space,4th,,Space,"Adabor, Dhaka, Bangladesh",,"25,000.00৳",Furnished Apartment
2800,3,2,3,1,Space,1st,,Room,"Gulshan 1, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
4500,5,,5,1,Room,2,,Room,"Baridhara, Dhaka, Bangladesh",2,"4,00,000.00৳",Furnished Apartment
3000,3,4,3,1,Room,2nd,,Room,"Gulshan 2, Dhaka, Bangladesh",1,"70,000.00৳",Furnished Apartment
1650,2,2,3,1,Space,5th,,Space,"Banani, Dhaka, Bangladesh",1,"65,000.00৳",Furnished Apartment
3962,4,3,4,1,Space,5th,,Space,"Baridhara, Dhaka, Bangladesh",1,"3,00,000.00৳",Furnished Apartment
4500,5,2,5,1,Room,1st,,Room,"Baridhara, Dhaka, Bangladesh",2,"4,00,000.00৳",Furnished Apartment
4100,3,2,3,1,Room,2nd,,Room,"Gulshan 2, Dhaka, Bangladesh",1,"2,60,000.00৳",Furnished Apartment
2700,3,,3,,Space,5th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,20,000.00৳",Furnished Apartment
2550,4,1,4,,Space,2nd,,Space,"DOHS Mohakhali, Dhaka, Bangladesh",,"1,00,000.00৳",Furnished Apartment
2000,3,2,3,1,Room,2nd,,Room,"Gulshan 2, Dhaka, Bangladesh",1,"1,10,000.00৳",Furnished Apartment
2500,3,3,3,1,Room,3rd,,Room,"Gulshan 2, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
2300,3,2,3,1,Room,4th,,Room,"Gulshan 2, Dhaka, Bangladesh",1,"90,000.00৳",Furnished Apartment
2200,1,2,2,1,Space,1st,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"80,000.00৳",Furnished Apartment
2750,4,2,4,1,Space,3rd,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
2400,3,3,3,1,Space,7th,,Space,"Baridhara, Dhaka, Bangladesh",1,"3,70,000.00৳",Furnished Apartment
4000,3,2,4,1,Room,6th,,Space,"Gulshan 2, Dhaka, Bangladesh",2,"4,25,000.00৳",Furnished Apartment
2200,3,1,3,,Space,1st,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
3800,4,7,4,1,Room,3rd,,Room,"Gulshan 2, Dhaka, Bangladesh",1,"3,50,000.00৳",Furnished Apartment
3200,4,3,4,1,Space,4th,,Space,"Baridhara, Dhaka, Bangladesh",1,"2,30,000.00৳",Furnished Apartment
1400,2,3,3,,Space,1st,,Space,"DOHS Baridhara, Dhaka, Bangladesh",,"90,000.00৳",Furnished Apartment
2400,3,3,3,1,Room,3rd,,Room,"Dhanmondi, Dhaka, Bangladesh",,"90,000.00৳",Furnished Apartment
1450,3,2,3,,Space,4th,,Space,"Niketan, Dhaka, Bangladesh",1,"60,000.00৳",Furnished Apartment
1450,3,2,3,,Space,2nd,,Space,"Niketan, Dhaka, Bangladesh",1,"60,000.00৳",Furnished Apartment
2250,3,4,3,1,Space,2nd,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,20,000.00৳",Furnished Apartment
1550,3,3,3,,Space,3rd,,Space,"Niketan, Dhaka, Bangladesh",1,"80,000.00৳",Furnished Apartment
2200,3,2,3,,Space,3rd,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
2400,3,2,3,1,Space,9th,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"80,000.00৳",Furnished Apartment
2600,3,1,3,,Space,4th,,Space,"Baridhara, Dhaka, Bangladesh",,"1,50,000.00৳",Furnished Apartment
4200,5,,5,,Space,2nd,,Space,"Baridhara, Dhaka, Bangladesh",1,"2,50,000.00৳",Furnished Apartment
3200,3,5,4,1,Space,10th,,Space,"Gulshan 2, Dhaka, Bangladesh",2,"2,50,000.00৳",Furnished Apartment
2800,1,1,3,2,Space,5th,,Space,"DOHS Baridhara, Dhaka, Bangladesh",,"1,30,000.00৳",Furnished Apartment
1800,2,1,3,1,Space,4th,,Space,"Adabor, Dhaka, Bangladesh",,"30,000.00৳",Furnished Apartment
2200,4,3,4,1,Space,7th,,Room,"Gulshan 2, Dhaka, Bangladesh",1,"2,75,000.00৳",Furnished Apartment
2250,2,2,3,1,Space,1st,,Space,"Bashundhara RA, Dhaka, Bangladesh",1,"1,50,000.00৳",Furnished Apartment
3400,4,2,4,,Space,2nd,,Space,"Baridhara, Dhaka, Bangladesh",2,"2,00,000.00৳",Furnished Apartment
1370,1,1,3,1,Room,4th,,Room,"Farmgate, Dhaka, Bangladesh",1,"35,000.00৳",Furnished Apartment
1000,1,1,1,,Space,3rd,,Space,"Baridhara, Dhaka, Bangladesh",1,"70,000.00৳",Furnished Apartment
2000,3,2,3,,Space,5th,,Space,"Baridhara, Dhaka, Bangladesh",1,"60,000.00৳",Furnished Apartment
2400,3,4,3,,Space,2nd,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"65,000.00৳",Furnished Apartment
3000,4,3,4,,Space,5th,,Space,"Niketan, Dhaka, Bangladesh",,"75,000.00৳",Furnished Apartment
3000,2,2,4,1,Space,5th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,20,000.00৳",Furnished Apartment
3800,3,5,3,1,Space,4th,,Space,"Gulshan 1, Dhaka, Bangladesh",2,"1,50,000.00৳",Furnished Apartment
6000,5,4,5,,Space,5th,,Space,"Gulshan 1, Dhaka, Bangladesh",4,"4,00,000.00৳",Furnished Apartment
2200,4,2,3,1,Space,4th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"80,000.00৳",Furnished Apartment
2800,3,2,3,1,Space,1st,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"1,20,000.00৳",Furnished Apartment
2750,4,4,4,1,Space,5th,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"90,000.00৳",Furnished Apartment
2250,3,3,3,1,Space,5th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"80,000.00৳",Furnished Apartment
2135,2,2,3,1,Space,1st,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"80,000.00৳",Furnished Apartment
2625,3,1,3,,Space,4th,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"1,20,000.00৳",Furnished Apartment
1500,2,2,3,1,Space,5th,,Space,"Bashundhara RA, Dhaka, Bangladesh",1,"65,000.00৳",Furnished Apartment
3200,3,2,3,,Space,4th,,Space,"Gulshan 2, Dhaka, Bangladesh",2,"2,60,000.00৳",Furnished Apartment
1500,3,2,3,1,Space,2nd,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"70,000.00৳",Furnished Apartment
1800,2,1,3,1,Space,6th,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"80,000.00৳",Furnished Apartment
4100,3,2,3,1,Space,7th,,Space,"Gulshan 2, Dhaka, Bangladesh",2,"3,20,000.00৳",Furnished Apartment
2400,2,2,3,1,Space,6th,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"90,000.00৳",Furnished Apartment
3150,4,3,4,,Space,9th,,Space,"Bashundhara RA, Dhaka, Bangladesh",2,"1,50,000.00৳",Furnished Apartment
3500,3,5,3,1,Space,10th,,Space,"Gulshan 2, Dhaka, Bangladesh",2,"2,40,000.00৳",Furnished Apartment
2800,3,3,4,1,Space,1st,,Space,"Gulshan 2, Dhaka, Bangladesh",2,"1,40,000.00৳",Furnished Apartment
3000,3,2,3,1,Space,2nd,,Space,"Baridhara, Dhaka, Bangladesh",2,"1,50,000.00৳",Furnished Apartment
2200,2,2,2,,Space,2nd,,Space,"Gulshan 2, Dhaka, Bangladesh",,"70,000.00৳",Furnished Apartment
3200,4,3,4,,Space,2nd,,Space,"Gulshan 2, Dhaka, Bangladesh",2,"2,00,000.00৳",Furnished Apartment
2200,3,2,3,,Space,4th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"85,000.00৳",Furnished Apartment
4000,4,4,4,1,Space,5th,,Space,"Gulshan 2, Dhaka, Bangladesh",2,"3,00,000.00৳",Furnished Apartment
3300,4,1,4,,Space,3rd,,Space,"Gulshan 2, Dhaka, Bangladesh",2,"2,00,000.00৳",Furnished Apartment
1500,2,2,2,,Space,3rd,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"70,000.00৳",Furnished Apartment
2200,3,3,3,1,Space,6th,,Space,"Dhanmondi, Dhaka, Bangladesh",1,"80,000.00৳",Furnished Apartment
1400,2,4,3,1,Room,8th,,Room,"Rampura, Dhaka, Bangladesh",,"25,000.00৳",Furnished Apartment
2200,3,3,3,1,Space,5th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"90,000.00৳",Furnished Apartment
2750,3,4,3,,Space,4th,,Space,"Dhanmondi, Dhaka, Bangladesh",1,"72,000.00৳",Furnished Apartment
3200,4,2,4,,Space,1st,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"1,50,000.00৳",Furnished Apartment
1250,2,2,3,1,Space,4th,,Space,"Badda, Dhaka, Bangladesh",1,"22,000.00৳",Furnished Apartment
3000,3,,3,,Space,Ground,,Space,"Baridhara, Dhaka, Bangladesh",,"1,00,000.00৳",Furnished Apartment
1000,1,1,2,1,Space,4th,,Space,"Uttara West, Dhaka, Bangladesh",,"45,000.00৳",Furnished Apartment
2800,3,3,3,,Space,7th,,Space,"Banani, Dhaka, Bangladesh",1,"95,000.00৳",Furnished Apartment
2200,3,4,3,,Space,4th,,Space,"Banani, Dhaka, Bangladesh",1,"90,000.00৳",Furnished Apartment
2200,3,3,3,,Space,3rd,,Space,"Banani, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
3600,3,3,3,1,Space,7th,,Space,"Banani, Dhaka, Bangladesh",2,"1,10,000.00৳",Furnished Apartment
2350,3,3,3,1,Space,2nd,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,10,000.00৳",Furnished Apartment
1450,3,2,3,,Space,2nd,,Space,"Niketan, Dhaka, Bangladesh",1,"54,000.00৳",Furnished Apartment
2540,4,4,4,,Space,1st,,Space,"Baridhara, Dhaka, Bangladesh",2,"1,60,000.00৳",Furnished Apartment
3000,3,2,3,1,Space,4th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,60,000.00৳",Furnished Apartment
1850,2,2,3,1,Space,4th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
3300,3,,3,,Space,1st,,Space,"Gulshan 2, Dhaka, Bangladesh",2,"2,50,000.00৳",Furnished Apartment
4200,4,3,4,,Space,5th,,Space,"Gulshan 2, Dhaka, Bangladesh",2,"2,73,000.00৳",Furnished Apartment
4000,4,3,4,,Space,5th,,Space,"Gulshan 2, Dhaka, Bangladesh",2,"2,50,000.00৳",Furnished Apartment
2250,2,3,3,,Space,2nd,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,10,000.00৳",Furnished Apartment
2650,3,3,3,,Space,4th,,Space,"Baridhara, Dhaka, Bangladesh",2,"1,50,000.00৳",Furnished Apartment
2600,4,2,4,,Space,4th,,Space,"Gulshan 2, Dhaka, Bangladesh",2,"1,20,000.00৳",Furnished Apartment
2250,3,3,3,,Space,3rd,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
2540,4,4,4,,Space,1st,,Space,"Baridhara, Dhaka, Bangladesh",2,"1,60,000.00৳",Furnished Apartment
2500,3,3,3,1,Space,3rd,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,50,000.00৳",Furnished Apartment
2000,2,2,3,1,Space,2nd,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
3400,3,2,4,,Space,5th,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,60,000.00৳",Furnished Apartment
24000,3,,3,,Space,3rd,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"85,000.00৳",Furnished Apartment
2300,3,3,3,,Space,8th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,20,000.00৳",Furnished Apartment
2300,3,3,3,1,Space,5th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"90,000.00৳",Furnished Apartment
2400,3,2,3,,Space,2nd,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"90,000.00৳",Furnished Apartment
2150,3,3,3,,Space,5th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,20,000.00৳",Furnished Apartment
2700,3,4,3,1,Space,1st,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,50,000.00৳",Furnished Apartment
2600,3,2,3,,Space,5th,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
4800,4,3,4,,Space,1st,,Space,"Baridhara, Dhaka, Bangladesh",2,"4,00,000.00৳",Furnished Apartment
1800,3,3,3,,Space,5th,,Space,"Bashundhara RA, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
3700,4,3,4,,Space,8th,,Space,"Banani, Dhaka, Bangladesh",2,"2,20,000.00৳",Furnished Apartment
4382,4,5,4,,Space,2nd,,Space,"Baridhara, Dhaka, Bangladesh",2,"3,00,000.00৳",Furnished Apartment
2800,3,2,3,1,Space,5th,,Space,"Baridhara, Dhaka, Bangladesh",1,"2,00,000.00৳",Furnished Apartment
2900,3,3,3,1,Space,4th,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,60,000.00৳",Furnished Apartment
2300,3,2,3,,Space,6th,,Space,"Banani, Dhaka, Bangladesh",2,"1,10,000.00৳",Furnished Apartment
1500,2,,3,1,Space,4th,,Space,"Banani, Dhaka, Bangladesh",1,"50,000.00৳",Furnished Apartment
1600,3,1,3,,Space,3rd,,Space,"Banani, Dhaka, Bangladesh",1,"60,000.00৳",Furnished Apartment
3750,4,2,4,,Space,9th,,Space,"Gulshan 1, Dhaka, Bangladesh",2,"2,20,000.00৳",Furnished Apartment
3500,4,4,4,,Space,3rd,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"1,50,000.00৳",Furnished Apartment
2300,3,,3,,Space,2nd,,Space,"Banani, Dhaka, Bangladesh",1,"80,000.00৳",Furnished Apartment
3000,4,2,2,,Space,3rd,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"1,50,000.00৳",Furnished Apartment
3000,3,2,3,1,Space,9th,,Space,"Gulshan 2, Dhaka, Bangladesh",2,"1,80,000.00৳",Furnished Apartment
2950,3,3,4,,Space,4th,,Space,"Baridhara, Dhaka, Bangladesh",2,"1,70,000.00৳",Furnished Apartment
1650,2,2,3,1,Space,4th,,Space,"Uttara West, Dhaka, Bangladesh",1,"60,000.00৳",Furnished Apartment
1880,3,2,3,,Space,3rd,,Space,"Banani, Dhaka, Bangladesh",1,"65,000.00৳",Furnished Apartment
1950,3,3,3,1,Space,5th,,Space,"Banashree, Dhaka, Bangladesh",1,"60,000.00৳",Furnished Apartment
2500,3,,3,,Space,4th,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,40,000.00৳",Furnished Apartment
3000,4,3,4,1,Space,1st,,Space,"Gulshan 1, Dhaka, Bangladesh",2,"1,00,000.00৳",Furnished Apartment
2100,3,3,3,,Space,2nd,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"77,500.00৳",Furnished Apartment
1900,3,2,3,,Space,3rd,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"65,000.00৳",Furnished Apartment
2370,4,3,3,1,Space,5th,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"70,000.00৳",Furnished Apartment
2600,4,2,4,1,Space,4th,,Space,"Gulshan 1, Dhaka, Bangladesh",2,"2,00,000.00৳",Furnished Apartment
3554,4,4,4,1,Space,5th,,Space,"Gulshan 2, Dhaka, Bangladesh",3,"2,41,500.00৳",Furnished Apartment
4200,4,3,4,,Space,5th,,Space,"Gulshan 2, Dhaka, Bangladesh",2,"2,20,000.00৳",Furnished Apartment
1800,3,3,3,,Space,1st,,Space,"Bashundhara RA, Dhaka, Bangladesh",1,"60,000.00৳",Furnished Apartment
750,1,1,1,,Space,6th,,Space,"Gulshan 2, Dhaka, Bangladesh",,"45,000.00৳",Furnished Apartment
3600,4,3,4,1,Space,3rd,,Space,"Gulshan 2, Dhaka, Bangladesh",2,"2,20,000.00৳",Furnished Apartment
2800,3,2,4,1,Space,10th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,50,000.00৳",Furnished Apartment
2440,3,2,4,,Space,8th,,Space,"Gulshan 1, Dhaka, Bangladesh",2,"1,40,000.00৳",Furnished Apartment
3800,4,2,4,,Space,5th,,Space,"Gulshan 2, Dhaka, Bangladesh",2,"2,00,000.00৳",Furnished Apartment
2700,3,5,4,1,Space,3rd,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"70,000.00৳",Furnished Apartment
2700,2,4,4,1,Space,1st,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"80,000.00৳",Furnished Apartment
3400,3,4,4,1,Space,2nd,,Space,"Baridhara, Dhaka, Bangladesh",,"1,50,000.00৳",Furnished Apartment
2445,3,2,3,,Space,6th,,Space,"Bashundhara RA, Dhaka, Bangladesh",1,"55,000.00৳",Furnished Apartment
5500,4,2,4,1,Space,4th,,Space,"Gulshan 2, Dhaka, Bangladesh",2,"4,00,000.00৳",Furnished Apartment
2000,2,2,3,1,Space,2nd,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"90,000.00৳",Furnished Apartment
2540,3,4,4,1,Space,1st,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,40,000.00৳",Furnished Apartment
500,1,1,2,,Space,3rd,,Space,"Banani, Dhaka, Bangladesh",,"40,000.00৳",Furnished Apartment
1100,1,1,1,,Space,6th,,Space,"DOHS Banani, Dhaka, Bangladesh",,"25,000.00৳",Furnished Apartment
1100,2,2,3,,Space,4th,,Space,"Niketan, Dhaka, Bangladesh",1,"36,000.00৳",Furnished Apartment
2500,3,1,3,,Space,2nd,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,30,000.00৳",Furnished Apartment
2800,3,3,4,1,Space,2nd,,Space,"Gulshan 2, Dhaka, Bangladesh",2,"1,20,000.00৳",Furnished Apartment
2700,4,4,4,,Space,3rd,,Space,"Baridhara, Dhaka, Bangladesh",2,"75,000.00৳",Furnished Apartment
2200,4,4,4,,Space,2nd,,Space,"Pallabi , Dhaka, Bangladesh",,"40,000.00৳",Furnished Apartment
2150,3,2,3,,Space,5th,,Space,"DOHS Mirpur, Dhaka, Bangladesh",1,"50,000.00৳",Furnished Apartment
2000,2,2,3,1,Space,2nd,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"80,000.00৳",Furnished Apartment
635,2,1,2,,Space,6th,,Space,"Badda, Dhaka, Bangladesh",,"25,000.00৳",Furnished Apartment
2550,3,3,3,,Space,3rd,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,10,000.00৳",Furnished Apartment
4700,4,,4,1,Space,1st,,Space,"Baridhara, Dhaka, Bangladesh",1,"3,00,000.00৳",Furnished Apartment
3375,4,2,4,,Space,4th,,Space,"Gulshan 1, Dhaka, Bangladesh",2,"1,10,000.00৳",Furnished Apartment
3000,4,4,4,,Space,4th,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
2445,3,2,3,,Space,4th,,Space,"Bashundhara RA, Dhaka, Bangladesh",2,"75,000.00৳",Furnished Apartment
1441,2,3,3,1,Space,2nd,,Space,"Niketan, Dhaka, Bangladesh",1,"60,000.00৳",Furnished Apartment
2360,2,3,4,1,Space,4th,,Space,"Bashundhara RA, Dhaka, Bangladesh",1,"55,000.00৳",Furnished Apartment
992,1,1,2,1,Space,7th,,Space,"Bashundhara RA, Dhaka, Bangladesh",1,"35,000.00৳",Furnished Apartment
2360,3,2,3,,Space,5th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,50,000.00৳",Furnished Apartment
1600,3,1,3,,Space,1st,,Space,"Niketan, Dhaka, Bangladesh",1,"90,000.00৳",Furnished Apartment
1250,3,2,3,,Space,Ground,,Space,"DOHS Banani, Dhaka, Bangladesh",1,"55,000.00৳",Furnished Apartment
3200,3,2,4,,Space,2nd,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"1,50,000.00৳",Furnished Apartment
3200,3,2,3,1,Space,2nd,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"1,25,000.00৳",Furnished Apartment
2179,3,3,3,1,Space,6th,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"80,000.00৳",Furnished Apartment
2800,3,4,3,,Space,3rd,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,30,000.00৳",Furnished Apartment
2800,3,2,3,1,Space,6th,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"80,000.00৳",Furnished Apartment
2250,3,3,3,1,Space,1st,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"80,000.00৳",Furnished Apartment
2500,3,1,3,,Space,5th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,50,000.00৳",Furnished Apartment
2000,2,2,2,,Space,1st,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"60,000.00৳",Furnished Apartment
1600,2,3,3,1,Space,8th,,Space,"Banani, Dhaka, Bangladesh",1,"70,000.00৳",Furnished Apartment
2500,2,5,3,1,Space,4th,,Space,"Banani, Dhaka, Bangladesh",1,"1,10,000.00৳",Furnished Apartment
1850,2,2,3,1,Space,3rd,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"65,000.00৳",Furnished Apartment
1800,2,2,3,1,Room,7th,,Room,"Shyamoli, Dhaka, Bangladesh",,"30,000.00৳",Furnished Apartment
2300,2,3,2,1,Space,3rd,,Space,"Banani, Dhaka, Bangladesh",1,"80,000.00৳",Furnished Apartment
2200,2,1,3,1,Space,1st,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"70,000.00৳",Furnished Apartment
2300,3,1,3,,Space,5th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"80,000.00৳",Furnished Apartment
1950,3,2,3,,Space,5th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"65,000.00৳",Furnished Apartment
2100,2,,3,1,Space,2nd,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"75,000.00৳",Furnished Apartment
2300,2,3,3,1,Space,4th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"80,000.00৳",Furnished Apartment
2800,4,4,4,1,Space,2nd,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,60,000.00৳",Furnished Apartment
2600,4,3,4,,Space,4th,,Space,"DOHS Baridhara, Dhaka, Bangladesh",1,"90,000.00৳",Furnished Apartment
1850,2,3,3,1,Space,1st,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"90,000.00৳",Furnished Apartment
2200,3,3,3,,Space,2nd,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,20,000.00৳",Furnished Apartment
1250,2,2,3,1,Space,1st,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
