area_sft,attach_bathrooms,balcony,bedrooms,common_bathrooms,dining,floor,floor_type,living,location,parking_space,price_per_month,property_type
2800,3,2,3,,Space,1st,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,10,000.00৳",Furnished Apartment
1500,3,2,3,,Space,5th,,Space,"Uttara East, Dhaka, Bangladesh",1,"60,000.00৳",Furnished Apartment
1700,3,3,3,1,Space,3rd,,Space,"Uttara East, Dhaka, Bangladesh",1,"60,000.00৳",Furnished Apartment
3000,3,4,4,1,Space,1st,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,20,000.00৳",Furnished Apartment
1637,3,2,3,,Space,3rd,,Space,"Banani, Dhaka, Bangladesh",1,"70,000.00৳",Furnished Apartment
2600,2,2,3,1,Space,5th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,50,000.00৳",Furnished Apartment
1300,3,2,3,1,Space,2nd,,Space,"DOHS Baridhara, Dhaka, Bangladesh",1,"45,000.00৳",Furnished Apartment
2500,3,3,3,,Space,4th,,Space,"Banani, Dhaka, Bangladesh",1,"75,000.00৳",Furnished Apartment
3000,4,2,3,1,Space,2nd,,Space,"Baridhara, Dhaka, Bangladesh",2,"1,60,000.00৳",Furnished Apartment
2200,2,1,3,1,Space,5th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,50,000.00৳",Furnished Apartment
2500,3,3,3,,Space,4th,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,90,000.00৳",Furnished Apartment
2600,5,3,4,,Space,2nd,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,50,000.00৳",Furnished Apartment
3500,5,2,5,1,Space,3rd,,Space,"DOHS Baridhara, Dhaka, Bangladesh",2,"2,25,000.00৳",Furnished Apartment
2750,2,2,3,1,Space,5th,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,30,000.00৳",Furnished Apartment
2500,3,2,3,1,Space,5th,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,25,000.00৳",Furnished Apartment
3000,4,3,4,,Space,3rd,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,50,000.00৳",Furnished Apartment
5500,4,3,4,1,Space,5th,,Space,"Gulshan 2, Dhaka, Bangladesh",2,"2,50,000.00৳",Furnished Apartment
1045,2,1,2,,Space,7th,,Space,"Niketan, Dhaka, Bangladesh",,"32,000.00৳",Furnished Apartment
1850,2,4,3,1,Space,2nd,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"70,000.00৳",Furnished Apartment
2300,2,3,3,1,Space,1st,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,20,000.00৳",Furnished Apartment
2500,3,1,3,1,Space,3rd,,Space,"Baridhara, Dhaka, Bangladesh",1,"90,000.00৳",Furnished Apartment
2770,2,,3,,Space,1st,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,20,000.00৳",Furnished Apartment
1400,2,1,3,,Space,1st,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"48,000.00৳",Furnished Apartment
3200,4,3,4,,Space,1st,,Space,"Gulshan 1, Dhaka, Bangladesh",,"1,00,000.00৳",Furnished Apartment
2000,2,2,3,1,Space,5th,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"70,000.00৳",Furnished Apartment
2475,3,3,3,,Space,4th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,10,000.00৳",Furnished Apartment
3715,4,4,4,,Space,6th,,Space,"Gulshan 2, Dhaka, Bangladesh",2,"2,50,000.00৳",Furnished Apartment
2700,3,2,3,1,Space,5th,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"81,000.00৳",Furnished Apartment
2700,4,3,4,,Space,2nd,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
3200,2,3,3,1,Space,2nd,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"1,30,000.00৳",Furnished Apartment
2200,3,3,3,,Space,3rd,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"1,10,000.00৳",Furnished Apartment
2200,3,3,3,,Space,9th,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"80,000.00৳",Furnished Apartment
2300,2,3,3,1,Space,6th,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"80,000.00৳",Furnished Apartment
2150,2,3,3,1,Space,1st,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"70,000.00৳",Furnished Apartment
3200,3,4,3,1,Space,9th,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"1,20,000.00৳",Furnished Apartment
3000,2,3,3,1,Space,3rd,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,30,000.00৳",Furnished Apartment
2044,3,3,3,1,Space,6th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,60,000.00৳",Furnished Apartment
2400,2,2,3,1,Space,8th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"90,000.00৳",Furnished Apartment
2500,2,2,3,1,Space,5th,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,70,000.00৳",Furnished Apartment
2400,2,2,3,1,Space,7th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"90,000.00৳",Furnished Apartment
2300,2,3,3,1,Room,5th,,Room,"Gulshan 1, Dhaka, Bangladesh",1,"70,000.00৳",Furnished Apartment
2000,3,2,3,,Space,5th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"95,000.00৳",Furnished Apartment
2500,3,3,3,,Space,4th,,Space,"Gulshan 1, Dhaka, Bangladesh",2,"65,000.00৳",Furnished Apartment
2400,2,2,3,1,Space,5th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"90,000.00৳",Furnished Apartment
1610,2,2,3,1,Space,5th,,Space,"Uttara West, Dhaka, Bangladesh",1,"44,000.00৳",Furnished Apartment
1600,2,3,3,1,Space,1st,,Space,"Uttara West, Dhaka, Bangladesh",,"45,000.00৳",Furnished Apartment
400,1,1,2,,Space,5th,,Space,"Bashundhara RA, Dhaka, Bangladesh",,"30,000.00৳",Furnished Apartment
2,1,2,2,1,Space,1st,,Space,"Uttara West, Dhaka, Bangladesh",,"43,000.00৳",Furnished Apartment
2200,3,1,3,,Space,3rd,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"60,000.00৳",Furnished Apartment
2200,3,,3,,Space,3rd,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"90,000.00৳",Furnished Apartment
2550,2,2,3,1,Space,3rd,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,20,000.00৳",Furnished Apartment
1800,3,2,3,,Space,6th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,05,000.00৳",Furnished Apartment
2300,4,3,4,,Space,6th,,Space,"Gulshan 1, Dhaka, Bangladesh",2,"1,00,000.00৳",Furnished Apartment
2300,3,2,3,1,Space,3rd,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"90,000.00৳",Furnished Apartment
2000,2,4,3,1,Space,3rd,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"65,000.00৳",Furnished Apartment
2065,3,4,3,,Space,6th,,Space,"Banani, Dhaka, Bangladesh",1,"80,000.00৳",Furnished Apartment
1350,3,4,4,1,Space,6th,,Space,"Uttara East, Dhaka, Bangladesh",1,"50,000.00৳",Furnished Apartment
1722,3,1,3,1,Space,3rd,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
1850,3,3,3,1,Space,4th,,Space,"Niketan, Dhaka, Bangladesh",1,"80,000.00৳",Furnished Apartment
2450,4,3,4,,Space,5th,,Space,"Banani, Dhaka, Bangladesh",1,"1,30,000.00৳",Furnished Apartment
2700,2,3,3,1,Space,1st,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,10,000.00৳",Furnished Apartment
1650,3,2,3,1,Space,2nd,,Space,"Uttara East, Dhaka, Bangladesh",,"50,000.00৳",Furnished Apartment
2700,3,1,3,1,Space,5th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,50,000.00৳",Furnished Apartment
2050,2,2,3,1,Space,5th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,30,000.00৳",Furnished Apartment
2150,2,3,3,1,Space,4th,,Space,"Banani, Dhaka, Bangladesh",,"80,000.00৳",Furnished Apartment
2600,3,3,3,1,Space,5th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
2000,3,4,3,1,Space,Ground,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"60,000.00৳",Furnished Apartment
2500,3,2,3,1,Space,3rd,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"1,20,000.00৳",Furnished Apartment
3200,3,3,3,1,Space,6th,,Space,"Banani, Dhaka, Bangladesh",1,"1,25,000.00৳",Furnished Apartment
800,1,1,1,1,Space,6th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"40,000.00৳",Furnished Apartment
3030,3,,3,1,Space,7th,,Space,"Banani, Dhaka, Bangladesh",1,"1,20,000.00৳",Furnished Apartment
2000,2,2,3,1,Space,5th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"90,000.00৳",Furnished Apartment
2380,3,4,3,,Space,5th,,Space,"Banani, Dhaka, Bangladesh",1,"1,20,000.00৳",Furnished Apartment
1,2,3,3,1,Space,2nd,,Room,"Bashundhara RA, Dhaka, Bangladesh",,"50,555.00৳",Furnished Apartment
1850,3,4,3,,Space,1st,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"90,000.00৳",Furnished Apartment
3200,4,2,4,,Space,1st,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,30,000.00৳",Furnished Apartment
2600,3,2,3,,Space,1st,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,20,000.00৳",Furnished Apartment
3300,5,1,5,,Space,3rd,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
1900,3,2,3,,Space,4th,,Space,"Banani, Dhaka, Bangladesh",1,"55,000.00৳",Furnished Apartment
2200,3,3,3,,Space,3rd,,Space,"Banani, Dhaka, Bangladesh",1,"85,000.00৳",Furnished Apartment
1660,3,2,3,,Space,5th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"65,000.00৳",Furnished Apartment
2600,4,4,4,1,Space,1st,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"70,000.00৳",Furnished Apartment
2300,2,2,3,1,Room,3rd,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,10,000.00৳",Furnished Apartment
2300,3,2,3,,Space,2nd,,Space,"Banani, Dhaka, Bangladesh",1,"80,000.00৳",Furnished Apartment
1250,2,2,2,,Space,5th,,Space,"DOHS Baridhara, Dhaka, Bangladesh",1,"50,000.00৳",Furnished Apartment
2700,2,4,3,1,Space,4th,,Space,"Banani, Dhaka, Bangladesh",1,"90,000.00৳",Furnished Apartment
3700,4,3,4,,Space,3rd,,Space,"Gulshan 2, Dhaka, Bangladesh",2,"1,50,000.00৳",Furnished Apartment
3200,3,,3,,Space,3rd,,Space,"Uttara East, Dhaka, Bangladesh",,"40,000.00৳",Furnished Apartment
2600,2,3,3,1,Space,9th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,70,000.00৳",Furnished Apartment
2150,2,2,3,1,Space,7th,,Space,"Banani, Dhaka, Bangladesh",1,"90,000.00৳",Furnished Apartment
2300,3,3,3,1,Space,6th,,Space,"Bashundhara RA, Dhaka, Bangladesh",1,"70,000.00৳",Furnished Apartment
2350,3,,3,,Space,5th,,Space,"Gulshan 2, Dhaka, Bangladesh",,"1,00,000.00৳",Furnished Apartment
700,1,,1,,Space,5th,,Space,"Baridhara, Dhaka, Bangladesh",1,"35,000.00৳",Furnished Apartment
2200,3,3,3,,Space,1st,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,38,000.00৳",Furnished Apartment
2500,3,3,3,,Space,4th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,20,000.00৳",Furnished Apartment
1600,2,4,3,1,Space,3rd,,Space,"Badda, Dhaka, Bangladesh",,"25,000.00৳",Furnished Apartment
1500,3,,3,1,Space,3rd,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,75,000.00৳",Furnished Apartment
2300,2,,3,1,Space,1st,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"90,000.00৳",Furnished Apartment
1900,2,2,3,1,Space,5th,,Space,"Banani, Dhaka, Bangladesh",1,"55,000.00৳",Furnished Apartment
2000,4,3,4,,Space,4th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,20,000.00৳",Furnished Apartment
2200,4,2,3,1,Space,10th,,Space,"Banani, Dhaka, Bangladesh",1,"1,30,000.00৳",Furnished Apartment
2200,4,2,4,1,Space,3rd,,Space,"Bashundhara RA, Dhaka, Bangladesh",1,"50,000.00৳",Furnished Apartment
2300,4,3,4,,Space,5th,,Space,"Banani, Dhaka, Bangladesh",1,"1,20,000.00৳",Furnished Apartment
2200,2,2,3,1,Space,4th,,Space,"Banani, Dhaka, Bangladesh",1,"70,000.00৳",Furnished Apartment
2520,2,4,3,1,Space,2nd,,Space,"Banani, Dhaka, Bangladesh",1,"90,000.00৳",Furnished Apartment
1600,3,,3,1,Space,6th,,Space,"Bashundhara RA, Dhaka, Bangladesh",1,"55,000.00৳",Furnished Apartment
2000,3,2,3,,Space,8th,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"80,000.00৳",Furnished Apartment
2520,2,4,3,1,Space,2nd,,Space,"Banani, Dhaka, Bangladesh",1,"90,000.00৳",Furnished Apartment
3000,4,2,4,1,Space,2nd,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,30,000.00৳",Furnished Apartment
3400,3,2,4,1,Space,3rd,,Space,"Gulshan 2, Dhaka, Bangladesh",2,"1,00,000.00৳",Furnished Apartment
2000,3,3,3,,Space,5th,,Space,"Banani, Dhaka, Bangladesh",1,"1,20,000.00৳",Furnished Apartment
1500,3,1,3,1,Space,4th,,Space,"Banani, Dhaka, Bangladesh",1,"55,000.00৳",Furnished Apartment
2200,2,3,3,1,Space,1st,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"90,000.00৳",Furnished Apartment
2995,3,4,4,1,Space,2nd,,Space,"Banani, Dhaka, Bangladesh",,"1,20,000.00৳",Furnished Apartment
1996,3,3,3,,Space,2nd,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
2200,3,2,3,,Space,3rd,,Space,"Banani, Dhaka, Bangladesh",1,"70,000.00৳",Furnished Apartment
3000,5,3,4,1,Space,3rd,,Space,"Gulshan 1, Dhaka, Bangladesh",2,"1,30,000.00৳",Furnished Apartment
2400,3,3,3,1,Space,1st,,Space,"Banani, Dhaka, Bangladesh",1,"80,000.00৳",Furnished Apartment
2300,3,2,3,1,Space,2nd,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
2600,2,3,3,1,Space,5th,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"62,000.00৳",Furnished Apartment
2550,4,3,4,1,Space,3rd,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"85,000.00৳",Furnished Apartment
2300,2,4,3,1,Space,4th,,Space,"Banani, Dhaka, Bangladesh",1,"1,20,000.00৳",Furnished Apartment
2300,3,3,3,1,Space,9th,,Space,"Banani, Dhaka, Bangladesh",1,"1,30,000.00৳",Furnished Apartment
2100,3,1,3,,Space,3rd,,Space,"Banani, Dhaka, Bangladesh",1,"55,000.00৳",Furnished Apartment
700,1,1,2,,Space,8th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"2,16,000.00৳",Furnished Apartment
2200,3,2,3,1,Space,4th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"95,000.00৳",Furnished Apartment
4300,4,4,5,1,Space,6th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"3,00,000.00৳",Furnished Apartment
1300,2,2,3,1,Space,3rd,,Space,"Uttara West, Dhaka, Bangladesh",1,"50,000.00৳",Furnished Apartment
2300,2,2,3,1,Space,3rd,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,20,000.00৳",Furnished Apartment
2200,2,4,3,1,Space,2nd,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
2200,3,2,3,1,Space,10th,,Space,"Banani, Dhaka, Bangladesh",1,"1,50,000.00৳",Furnished Apartment
1540,2,2,3,1,Space,2nd,,Space,"Banani, Dhaka, Bangladesh",1,"60,000.00৳",Furnished Apartment
2300,3,4,3,1,Space,5th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,05,000.00৳",Furnished Apartment
2100,2,2,3,1,Space,4th,,Space,"Banani, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
2200,3,3,3,,Space,8th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,30,000.00৳",Furnished Apartment
2500,3,,4,1,Space,1st,,Space,"DOHS Mohakhali, Dhaka, Bangladesh",1,"65,000.00৳",Furnished Apartment
3000,3,3,3,1,Space,4th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"2,20,000.00৳",Furnished Apartment
3000,2,5,3,1,Space,5th,,Space,"Banani, Dhaka, Bangladesh",2,"1,30,000.00৳",Furnished Apartment
2545,3,3,3,,Space,9th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,50,000.00৳",Furnished Apartment
2750,3,4,4,1,Space,4th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
1800,3,2,3,,Space,6th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,20,000.00৳",Furnished Apartment
3250,2,3,4,2,Space,2nd,,Space,"Gulshan 1, Dhaka, Bangladesh",2,"1,00,000.00৳",Furnished Apartment
2317,2,3,3,1,Space,9th,,Space,"Gulshan 2, Dhaka, Bangladesh",,"1,50,000.00৳",Furnished Apartment
2225,3,3,3,,Space,5th,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
2500,2,3,3,1,Space,3rd,,Space,"Banani, Dhaka, Bangladesh",1,"80,000.00৳",Furnished Apartment
2000,3,2,3,,Space,4th,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"1,50,000.00৳",Furnished Apartment
2450,3,4,4,1,Space,5th,,Space,"Banani, Dhaka, Bangladesh",1,"1,30,000.00৳",Furnished Apartment
2600,3,3,4,1,Space,3rd,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
3000,3,2,3,1,Space,3rd,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"1,10,000.00৳",Furnished Apartment
2200,3,1,3,1,Space,1st,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"1,20,000.00৳",Furnished Apartment
2300,3,3,3,1,Space,5th,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
1800,2,3,3,1,Space,5th,,Space,"Banani, Dhaka, Bangladesh",1,"90,000.00৳",Furnished Apartment
1800,2,4,3,1,Space,5th,,Space,"Banani, Dhaka, Bangladesh",1,"90,000.00৳",Furnished Apartment
3300,3,3,3,,Space,4th,,Space,"Banani, Dhaka, Bangladesh",2,"1,40,000.00৳",Furnished Apartment
2000,2,1,3,1,Space,6th,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"90,000.00৳",Furnished Apartment
2800,3,2,4,1,Space,2nd,,Space,"Baridhara, Dhaka, Bangladesh",2,"1,60,000.00৳",Furnished Apartment
4000,4,5,3,1,Space,9th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,50,000.00৳",Furnished Apartment
2500,4,4,4,,Space,3rd,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
2400,2,4,3,1,Space,3rd,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,30,000.00৳",Furnished Apartment
2800,2,2,3,1,Space,4th,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,60,000.00৳",Furnished Apartment
3300,4,3,4,1,Space,6th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,50,000.00৳",Furnished Apartment
2200,3,2,3,1,Space,9th,,Space,"Banani, Dhaka, Bangladesh",1,"1,70,000.00৳",Furnished Apartment
1125,2,3,3,1,Space,4th,,Room,"Cantonment, Dhaka, Bangladesh",,Negotiable,Furnished Apartment
2750,2,3,3,1,Space,4th,,Space,"Gulshan 1, Dhaka, Bangladesh",2,"80,000.00৳",Furnished Apartment
1400,1,2,3,1,Space,1st,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,30,000.00৳",Furnished Apartment
4200,3,3,4,1,Space,2nd,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"2,70,000.00৳",Furnished Apartment
2000,2,2,3,1,Space,3rd,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"65,000.00৳",Furnished Apartment
4500,4,3,4,,Space,3rd,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"3,00,000.00৳",Furnished Apartment
3800,3,3,4,1,Space,2nd,,Space,"Gulshan 1, Dhaka, Bangladesh",2,"1,50,000.00৳",Furnished Apartment
3900,4,2,4,,Space,2nd,,Space,"Gulshan 1, Dhaka, Bangladesh",2,"2,00,000.00৳",Furnished Apartment
4600,3,2,4,1,Space,8th,,Space,"Gulshan 1, Dhaka, Bangladesh",2,"2,00,000.00৳",Furnished Apartment
1800,2,2,3,1,Space,2nd,,Space,"Gulshan 1, Dhaka, Bangladesh",,"70,000.00৳",Furnished Apartment
2600,3,3,4,1,Space,5th,,Space,"Gulshan 2, Dhaka, Bangladesh",,"1,00,000.00৳",Furnished Apartment
2800,2,1,3,1,Space,3rd,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,20,000.00৳",Furnished Apartment
2500,3,4,3,,Space,3rd,,Space,"Banani, Dhaka, Bangladesh",,"80,000.00৳",Furnished Apartment
3000,3,4,3,1,Space,3rd,,Space,"Gulshan 2, Dhaka, Bangladesh",2,"1,50,000.00৳",Furnished Apartment
1650,3,2,3,,Space,2nd,,Space,"Uttara West, Dhaka, Bangladesh",1,"40,000.00৳",Furnished Apartment
1800,3,3,3,1,Space,7th,,Space,"Bashundhara RA, Dhaka, Bangladesh",1,"50,000.00৳",Furnished Apartment
1650,2,2,3,1,Space,2nd,,Space,"Uttara West, Dhaka, Bangladesh",1,"55,000.00৳",Furnished Apartment
1300,4,2,4,1,Space,5th,,Space,"Uttara West, Dhaka, Bangladesh",1,"80,000.00৳",Furnished Apartment
2350,3,3,3,,Space,6th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
1250,3,2,3,1,Space,4th,,Space,"Niketan, Dhaka, Bangladesh",1,"60,000.00৳",Furnished Apartment
3000,2,3,3,1,Space,3rd,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,20,000.00৳",Furnished Apartment
1450,3,3,3,,Space,4th,,Space,"Bashundhara RA, Dhaka, Bangladesh",,"26,000.00৳",Furnished Apartment
2200,2,3,3,1,Space,5th,,Room,"Gulshan 2, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
3100,3,3,3,,Space,2nd,,Space,"DOHS Baridhara, Dhaka, Bangladesh",1,"45,000.00৳",Furnished Apartment
1524,2,,3,,Space,4th,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,20,000.00৳",Furnished Apartment
2200,3,2,3,1,Space,9th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"90,000.00৳",Furnished Apartment
2500,3,2,3,,Space,4th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,20,000.00৳",Furnished Apartment
2400,3,4,3,,Space,7th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,50,000.00৳",Furnished Apartment
3013,4,4,4,1,Space,1st,,Space,"Gulshan 2, Dhaka, Bangladesh",2,"1,50,000.00৳",Furnished Apartment
1600,2,2,3,1,Space,3rd,,Space,"Uttara West, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
2800,4,2,4,,Space,Ground,,Space,"Baridhara, Dhaka, Bangladesh",2,"1,00,000.00৳",Furnished Apartment
2200,3,2,3,,Space,5th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"63,000.00৳",Furnished Apartment
2350,3,2,3,1,Space,2nd,,Space,"Baridhara, Dhaka, Bangladesh",1,"1,20,000.00৳",Furnished Apartment
1722,2,1,3,1,Space,3rd,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"1,00,000.00৳",Furnished Apartment
2700,3,2,3,1,Space,2nd,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"80,000.00৳",Furnished Apartment
2700,3,2,3,1,Space,1st,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"80,000.00৳",Furnished Apartment
1800,3,4,3,1,Space,Ground,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"60,000.00৳",Furnished Apartment
2050,3,4,3,,Space,5th,,Space,"Gulshan 1, Dhaka, Bangladesh",,"1,20,000.00৳",Furnished Apartment
2400,3,3,3,1,Space,6th,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"90,000.00৳",Furnished Apartment
2250,2,4,3,1,Space,4th,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"75,000.00৳",Furnished Apartment
1300,2,2,2,,Space,2nd,,Space,"Bashundhara RA, Dhaka, Bangladesh",1,"50,000.00৳",Furnished Apartment
2450,2,1,2,1,Space,3rd,,Space,"Gulshan 1, Dhaka, Bangladesh",1,"1,50,000.00৳",Furnished Apartment
1450,2,2,3,1,Space,5th,,Space,"Bashundhara RA, Dhaka, Bangladesh",1,"35,000.00৳",Furnished Apartment
2300,2,3,3,1,Space,4th,,Space,"Banani, Dhaka, Bangladesh",1,"80,000.00৳",Furnished Apartment
4700,4,4,4,1,Space,6th,,Space,"Gulshan 2, Dhaka, Bangladesh",1,"5,00,000.00৳",Furnished Apartment
