floor_type,garage_number,location,price_per_month,property_type
Ground Floor,1,"Uttara West, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,1,"Mirpur, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,1,"Uttara West, Dhaka, Bangladesh","3,000.00৳",Garage
Basement,1,"Uttara West, Dhaka, Bangladesh","1,500.00৳",Garage
Basement,1,"Uttara West, Dhaka, Bangladesh","1,500.00৳",Garage
Ground Floor,1,"Uttara West, Dhaka, Bangladesh","3,000.00৳",Garage
Basement,1,"Uttara West, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,1,"Uttara West, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,1,"Uttara West, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,1,"Mirpur, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,1,"Mirpur, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,1,"Mirpur, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,1,"Uttara West, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,1,"Uttara West, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,1,"Uttara West, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,1,"Mirpur, Dhaka, Bangladesh","3,000.00৳",Garage
Basement,1,"Mirpur, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,1,"Mirpur, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,1,"Uttara West, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,1,"Uttara West, Dhaka, Bangladesh","3,000.00৳",Garage
Basement,1,"Mirpur, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,1,"Mirpur, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,1,"Mirpur, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,1,"Uttara West, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,1,"Banglamotor, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,1,"Banglamotor, Dhaka, Bangladesh","1,000.00৳",Garage
Ground Floor,1,"Banglamotor, Dhaka, Bangladesh","3,000.00৳",Garage
Basement,1,"Dhanmondi, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,1,"Banglamotor, Dhaka, Bangladesh","2,500.00৳",Garage
Basement,1,"Uttara West, Dhaka, Bangladesh","3,000.00৳",Garage
Ground Floor,3,"Banglamotor, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,1,"DOHS Baridhara, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,1,"Dhanmondi, Dhaka, Bangladesh","1,000.00৳",Garage
Ground Floor,1,"Shahbag , Dhaka, Bangladesh","2,000.00৳",Garage
Basement,1,"Uttara West, Dhaka, Bangladesh","2,500.00৳",Garage
Basement,1,"Uttara West, Dhaka, Bangladesh","3,000.00৳",Garage
Open Space,1,"Shahbag , Dhaka, Bangladesh","3,000.00৳",Garage
Basement,1,"Sabujbag, Dhaka, Bangladesh","3,000.00৳",Garage
Basement,3,"Banglamotor, Dhaka, Bangladesh","3,000.00৳",Garage
Basement,1,"DOHS Mohakhali, Dhaka, Bangladesh","5,000.00৳",Garage
Ground Floor,1,"Sutrapur, Dhaka, Bangladesh",700.00৳,Garage
Ground Floor,1,"Dhanmondi, Dhaka, Bangladesh","2,500.00৳",Garage
Basement,1,"Sabujbag, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,1,"Wari, Dhaka, Bangladesh","3,500.00৳",Garage
Ground Floor,1,"Sabujbag, Dhaka, Bangladesh","3,000.00৳",Garage
Basement,1,"Wari, Dhaka, Bangladesh","2,500.00৳",Garage
Basement,1,"Sabujbag, Dhaka, Bangladesh","3,000.00৳",Garage
Basement,1,"Wari, Dhaka, Bangladesh","3,000.00৳",Garage
Ground Floor,1,"Gandaria , Dhaka, Bangladesh","3,000.00৳",Garage
Ground Floor,1,"Sabujbag, Dhaka, Bangladesh",600.00৳,Garage
Ground Floor,1,"Motijheel, Dhaka, Bangladesh","1,000.00৳",Garage
Ground Floor,1,"Lalbag, Dhaka, Bangladesh","3,000.00৳",Garage
Basement,1,"Gandaria , Dhaka, Bangladesh","3,000.00৳",Garage
Ground Floor,1,"Sutrapur, Dhaka, Bangladesh","3,000.00৳",Garage
Ground Floor,2,"Sutrapur, Dhaka, Bangladesh","3,000.00৳",Garage
Basement,1,"Uttara West, Dhaka, Bangladesh","3,000.00৳",Garage
Ground Floor,1,"Lalbag, Dhaka, Bangladesh","3,000.00৳",Garage
Basement,1,"Motijheel, Dhaka, Bangladesh","2,200.00৳",Garage
Ground Floor,1,"Motijheel, Dhaka, Bangladesh","2,500.00৳",Garage
Basement,1,"Motijheel, Dhaka, Bangladesh","2,000.00৳",Garage
Open Space,1,"Hazaribag , Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,1,"Rampura, Dhaka, Bangladesh","3,000.00৳",Garage
Basement,1,"Banashree, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,1,"Rampura, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,1,"Uttara East, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,1,"Banashree, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,1,"Banashree, Dhaka, Bangladesh","2,500.00৳",Garage
Basement,1,"Banashree, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,1,"Rampura, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,1,"Rampura, Dhaka, Bangladesh",700.00৳,Garage
Ground Floor,1,"Hazaribag , Dhaka, Bangladesh",700.00৳,Garage
Basement,1,"Rampura, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Ramna, Dhaka, Bangladesh","3,000.00৳",Garage
Ground Floor,1,"Uttara West, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,1,"Mirpur, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,1,"Farmgate, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,2,"Shyamoli, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Lalbag, Dhaka, Bangladesh","4,000.00৳",Garage
Basement,1,"Mohammadpur , Dhaka, Bangladesh","1,800.00৳",Garage
Ground Floor,1,"Mohammadpur , Dhaka, Bangladesh","3,000.00৳",Garage
Ground Floor,1,"DOHS Mohakhali, Dhaka, Bangladesh","4,500.00৳",Garage
Ground Floor,1,"Aftabnagar, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,1,"Aftabnagar, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,1,"Aftabnagar, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,1,"Mohammadpur , Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,1,"Shyamoli, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,,"Adabor, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,1,"Mohammadpur , Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,1,"Mohammadpur , Dhaka, Bangladesh","1,500.00৳",Garage
Ground Floor,1,"Mohammadpur , Dhaka, Bangladesh","2,000.00৳",Garage
Basement,1,"Mohammadpur , Dhaka, Bangladesh","1,800.00৳",Garage
Ground Floor,1,"Mohammadpur , Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,1,"Shyamoli, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,1,"Mohammadpur , Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,1,"Mohammadpur , Dhaka, Bangladesh","3,000.00৳",Garage
Ground Floor,1,"Mohammadpur , Dhaka, Bangladesh","2,000.00৳",Garage
Basement,1,"Pallabi , Dhaka, Bangladesh","2,000.00৳",Garage
Basement,1,"Pallabi , Dhaka, Bangladesh","1,500.00৳",Garage
Ground Floor,1,"Mirpur, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,1,"Pallabi , Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,,"Adabor, Dhaka, Bangladesh","1,500.00৳",Garage
Ground Floor,1,"DOHS Mirpur, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,,"Pallabi , Dhaka, Bangladesh","1,500.00৳",Garage
Ground Floor,,"Mirpur, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,1,"Mirpur, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,,"Adabor, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,,"Adabor, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,,"Adabor, Dhaka, Bangladesh","1,500.00৳",Garage
Ground Floor,,"Bashundhara RA, Dhaka, Bangladesh","3,000.00৳",Garage
Ground Floor,,"Shahjahanpur, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Bashundhara RA, Dhaka, Bangladesh","3,000.00৳",Garage
Ground Floor,,"Mirpur, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,,"Mirpur, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,1,"Banashree, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,1,"Banashree, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,1,"Banashree, Dhaka, Bangladesh","2,500.00৳",Garage
Basement,,"Banashree, Dhaka, Bangladesh","3,000.00৳",Garage
Basement,1,"Banashree, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,1,"Banashree, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,,"Mirpur, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,1,"Banashree, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,1,"Banashree, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Basabo, Dhaka, Bangladesh","2,500.00৳",Garage
Basement,,"Basabo, Dhaka, Bangladesh","2,500.00৳",Garage
Basement,,"Wari, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Banashree, Dhaka, Bangladesh","3,000.00৳",Garage
Basement,1,"Banashree, Dhaka, Bangladesh","2,500.00৳",Garage
Basement,,"Basabo, Dhaka, Bangladesh","3,500.00৳",Garage
Ground Floor,1,"Gulshan 2, Dhaka, Bangladesh","7,000.00৳",Garage
Basement,1,"Banashree, Dhaka, Bangladesh","3,000.00৳",Garage
Basement,A,"Mirpur, Dhaka, Bangladesh","1,200.00৳",Garage
Basement,1,"Banashree, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Mugda Para, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,,"Bashundhara RA, Dhaka, Bangladesh","2,200.00৳",Garage
Basement,,"Basabo, Dhaka, Bangladesh","3,000.00৳",Garage
Basement,,"Bashundhara RA, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Paltan, Dhaka, Bangladesh","3,500.00৳",Garage
Ground Floor,,"Vatara , Dhaka, Bangladesh","3,000.00৳",Garage
Ground Floor,,"Kafrul, Dhaka, Bangladesh","1,500.00৳",Garage
Ground Floor,,"Vatara , Dhaka, Bangladesh","3,000.00৳",Garage
Ground Floor,,"Bashundhara RA, Dhaka, Bangladesh","3,000.00৳",Garage
Ground Floor,1,"Nikunja, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Bashundhara RA, Dhaka, Bangladesh","3,000.00৳",Garage
Ground Floor,,"Bashundhara RA, Dhaka, Bangladesh","3,000.00৳",Garage
Ground Floor,,"Mirpur, Dhaka, Bangladesh","1,500.00৳",Garage
Ground Floor,,"Mirpur, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Nikunja, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Farmgate, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Farmgate, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Kafrul, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Aftabnagar, Dhaka, Bangladesh","1,500.00৳",Garage
Ground Floor,,"Mirpur, Dhaka, Bangladesh","2,500.00৳",Garage
Basement,,"Mirpur, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,1,"Mirpur, Dhaka, Bangladesh","1,500.00৳",Garage
Ground Floor,"7A,7B,3B","Uttara West, Dhaka, Bangladesh","2,500.00৳",Garage
Basement,,"Adabor, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Bashundhara RA, Dhaka, Bangladesh","2,500.00৳",Garage
Basement,,"DOHS Mohakhali, Dhaka, Bangladesh","2,500.00৳",Garage
Basement,,"Bashundhara RA, Dhaka, Bangladesh","2,500.00৳",Garage
Basement,,"Bashundhara RA, Dhaka, Bangladesh","1,500.00৳",Garage
Basement,,"Aftabnagar, Dhaka, Bangladesh","1,500.00৳",Garage
Basement,,"Uttara West, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Bashundhara RA, Dhaka, Bangladesh","2,500.00৳",Garage
Basement,,"Aftabnagar, Dhaka, Bangladesh","1,500.00৳",Garage
Basement,,"Aftabnagar, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Bashundhara RA, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Aftabnagar, Dhaka, Bangladesh","1,500.00৳",Garage
Basement,,"Bashundhara RA, Dhaka, Bangladesh","2,200.00৳",Garage
Basement,,"Adabor, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Uttara West, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,,"Khilgaon, Dhaka, Bangladesh","2,500.00৳",Garage
Basement,,"Bashundhara RA, Dhaka, Bangladesh","2,500.00৳",Garage
Basement,,"Uttara West, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,,"Uttara West, Dhaka, Bangladesh","3,000.00৳",Garage
Basement,,"Bashundhara RA, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Uttara West, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Bashundhara RA, Dhaka, Bangladesh","2,500.00৳",Garage
Basement,,"Bashundhara RA, Dhaka, Bangladesh","2,500.00৳",Garage
Basement,,"Bashundhara RA, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Bashundhara RA, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,,"Dhanmondi, Dhaka, Bangladesh","3,000.00৳",Garage
Ground Floor,,"Badda, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,,"Badda, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,,"Shahjahanpur, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,,"Dhanmondi, Dhaka, Bangladesh","3,000.00৳",Garage
Basement,,"Mohammadpur , Dhaka, Bangladesh","3,000.00৳",Garage
Ground Floor,,"Mohammadpur , Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Dhanmondi, Dhaka, Bangladesh","3,000.00৳",Garage
Ground Floor,,"Khilgaon, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,A-3,"Mirpur, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Mohammadpur , Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Mohammadpur , Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,,"Lalmatia, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,,"Moghbazar, Dhaka, Bangladesh","3,000.00৳",Garage
Ground Floor,,"Dhanmondi, Dhaka, Bangladesh","3,000.00৳",Garage
Ground Floor,,"Dhanmondi, Dhaka, Bangladesh","3,000.00৳",Garage
Ground Floor,,"Dhanmondi, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,,"Dhanmondi, Dhaka, Bangladesh","3,000.00৳",Garage
Ground Floor,,"Rampura, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,,"Dhanmondi, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,,"Lalmatia, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,,"Rampura, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,01552421273,"Rampura, Dhaka, Bangladesh","2,500.00৳",Garage
Basement,,"Moghbazar, Dhaka, Bangladesh",Negotiable,Garage
Basement,,"Niketan, Dhaka, Bangladesh","3,000.00৳",Garage
Ground Floor,,"Niketan, Dhaka, Bangladesh","3,000.00৳",Garage
Basement,,"Baridhara, Dhaka, Bangladesh",Negotiable,Garage
Basement,,"Moghbazar, Dhaka, Bangladesh",Negotiable,Garage
Ground Floor,,"Bashundhara RA, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Baridhara, Dhaka, Bangladesh","3,000.00৳",Garage
Ground Floor,01,"Uttara West, Dhaka, Bangladesh","2,500.00৳",Garage
Basement,,"Baridhara, Dhaka, Bangladesh","3,000.00৳",Garage
Ground Floor,,"Nikunja, Dhaka, Bangladesh","3,000.00৳",Garage
Basement,,"Shahjahanpur, Dhaka, Bangladesh",Negotiable,Garage
Basement,,"Rampura, Dhaka, Bangladesh",Negotiable,Garage
Basement,,"Rampura, Dhaka, Bangladesh",Negotiable,Garage
Ground Floor,,"Bashundhara RA, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Bashundhara RA, Dhaka, Bangladesh",Negotiable,Garage
Basement,,"Bashundhara RA, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Bashundhara RA, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Bashundhara RA, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,,"Bashundhara RA, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Bashundhara RA, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,,"Bashundhara RA, Dhaka, Bangladesh","2,000.00৳",Garage
