floor_type,garage_number,location,price_per_month,property_type
Basement,,"Bashundhara RA, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,1,"Banashree, Dhaka, Bangladesh","1,600.00৳",Garage
Basement,,"Bashundhara RA, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,,"Farmgate, Dhaka, Bangladesh","2,500.00৳",Garage
Basement,1,"Badda, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,1,"Purbachal, Dhaka, Bangladesh","30,000.00৳",Garage
Ground Floor,2,"Motijheel, Dhaka, Bangladesh","1,000.00৳",Garage
Basement,1,"Bashundhara RA, Dhaka, Bangladesh","1,000.00৳",Garage
Basement,,"Mirpur, Dhaka, Bangladesh",500.00৳,Garage
Ground Floor,B3,"Mirpur, Dhaka, Bangladesh",1.00৳,Garage
Ground Floor,1,"Mohammadpur , Dhaka, Bangladesh","2,500.00৳",Garage
Basement,1,"Bashundhara RA, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,1,"Gulshan 2, Dhaka, Bangladesh","7,000.00৳",Garage
Open Space,1,"Gulshan 2, Dhaka, Bangladesh","7,000.00৳",Garage
Basement,,"Aftabnagar, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,08,"Lalmatia, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Mirpur, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,1,"Dhanmondi, Dhaka, Bangladesh","4,000.00৳",Garage
Basement,,"Mirpur, Dhaka, Bangladesh","8,000.00৳",Garage
Ground Floor,01,"Uttara West, Dhaka, Bangladesh","3,000.00৳",Garage
Ground Floor,,"Farmgate, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,,"Mirpur, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,a4,"Uttara West, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,,"Niketan, Dhaka, Bangladesh","3,000.00৳",Garage
Basement,,"Farmgate, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,,"Niketan, Dhaka, Bangladesh","3,000.00৳",Garage
Ground Floor,,"DOHS Baridhara, Dhaka, Bangladesh","3,000.00৳",Garage
Open Space,,"Mirpur, Dhaka, Bangladesh","2,000.00৳",Garage
Open Space,,"Adabor, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,,"Nikunja, Dhaka, Bangladesh","3,000.00৳",Garage
Ground Floor,,"Tejgaon, Dhaka, Bangladesh","3,000.00৳",Garage
Ground Floor,,"Niketan, Dhaka, Bangladesh","3,000.00৳",Garage
Ground Floor,,"DOHS Mohakhali, Dhaka, Bangladesh","3,000.00৳",Garage
Ground Floor,,"Bashundhara RA, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,,"Adabor, Dhaka, Bangladesh","1,500.00৳",Garage
Ground Floor,,"Bashundhara RA, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Khilgaon, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,,"Bashundhara RA, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,,"Adabor, Dhaka, Bangladesh","1,500.00৳",Garage
Basement,,"Paltan, Dhaka, Bangladesh","4,000.00৳",Garage
Ground Floor,,"Khilgaon, Dhaka, Bangladesh","2,500.00৳",Garage
Basement,,"Bashundhara RA, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,,"Bashundhara RA, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,,"Khilgaon, Dhaka, Bangladesh","2,500.00৳",Garage
Basement,,"Turag, Dhaka, Bangladesh",Negotiable,Garage
Ground Floor,"3b, 7a,7b","Uttara East, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,,"Khilgaon, Dhaka, Bangladesh","2,500.00৳",Garage
Basement,,"Ramna, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,4B Left (Right Place),"Adabor, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,Na,"Gazipur Sadar, Gazipur, Bangladesh","60,000.00৳",Garage
Ground Floor,,"Uttara West, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,,"Ramna, Dhaka, Bangladesh","2,000.00৳",Garage
Open Space,,"Uttara West, Dhaka, Bangladesh","50,000.00৳",Garage
Ground Floor,,"Bashundhara RA, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,01971328822,"Mirpur, Dhaka, Bangladesh",800.00৳,Garage
Basement,,"Banashree, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,1,"Mirpur, Dhaka, Bangladesh","2,500.00৳",Garage
Basement,72,"Khilgaon, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,640,"Mirpur, Dhaka, Bangladesh",1.00৳,Garage
Ground Floor,7,"Mohammadpur , Dhaka, Bangladesh","3,000.00৳",Garage
Basement,,"Banashree, Dhaka, Bangladesh","1,500.00৳",Garage
Ground Floor,52,"Khilkhet, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,B5,"Ramna, Dhaka, Bangladesh","1,500.00৳",Garage
Basement,,"Banashree, Dhaka, Bangladesh","1,800.00৳",Garage
Basement,,"Dhanmondi, Dhaka, Bangladesh","2,500.00৳",Garage
Basement,1,"Pallabi , Dhaka, Bangladesh","2,000.00৳",Garage
Open Space,1,"Pallabi , Dhaka, Bangladesh","18,000.00৳",Garage
Basement,3,"Uttara East, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,1,"Ramna, Dhaka, Bangladesh","3,000.00৳",Garage
Basement,,"Banashree, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,5/A,"Dhanmondi, Dhaka, Bangladesh","2,500.00৳",Garage
Basement,,"Dhanmondi, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,,"Banashree, Dhaka, Bangladesh","1,500.00৳",Garage
Ground Floor,B#8,"Motijheel, Dhaka, Bangladesh","3,000.00৳",Garage
Basement,,"Mirpur, Dhaka, Bangladesh","1,500.00৳",Garage
Ground Floor,,"Banashree, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Banashree, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Mirpur, Dhaka, Bangladesh","3,000.00৳",Garage
Basement,644,"Kafrul, Dhaka, Bangladesh","2,500.00৳",Garage
Basement,,"Mirpur, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,F4,"Sher E Bangla Nagar , Dhaka, Bangladesh","4,000.00৳",Garage
Ground Floor,,"Kafrul, Dhaka, Bangladesh","2,500.00৳",Garage
Basement,F4,"Sher E Bangla Nagar , Dhaka, Bangladesh","4,000.00৳",Garage
Basement,,"Mirpur, Dhaka, Bangladesh","1,800.00৳",Garage
Basement,,"Badda, Dhaka, Bangladesh","2,500.00৳",Garage
Basement,,"Mirpur, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,,"Mirpur, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Mirpur, Dhaka, Bangladesh","2,500.00৳",Garage
Open Space,,"Farmgate, Dhaka, Bangladesh","3,000.00৳",Garage
Basement,1,"DOHS Baridhara, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,,"Banashree, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,,"Farmgate, Dhaka, Bangladesh","3,000.00৳",Garage
Ground Floor,,"Basabo, Dhaka, Bangladesh","2,500.00৳",Garage
Basement,,"Khilgaon, Dhaka, Bangladesh","2,800.00৳",Garage
Ground Floor,,"Mohammadpur , Dhaka, Bangladesh","2,000.00৳",Garage
Open Space,,"Farmgate, Dhaka, Bangladesh","3,000.00৳",Garage
Ground Floor,1,"Banashree, Dhaka, Bangladesh","1,500.00৳",Garage
Basement,,"Banashree, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,,"Banashree, Dhaka, Bangladesh",500.00৳,Garage
Ground Floor,1,"Basabo, Dhaka, Bangladesh","2,500.00৳",Garage
Basement,,"Kalabagan, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,03,"Mohammadpur , Dhaka, Bangladesh","1,600.00৳",Garage
Ground Floor,,"Dhanmondi, Dhaka, Bangladesh",700.00৳,Garage
Basement,,"Kalabagan, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Kalabagan, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Lalbag, Dhaka, Bangladesh","3,500.00৳",Garage
Basement,,"Lalbag, Dhaka, Bangladesh","3,000.00৳",Garage
Basement,,"Kalabagan, Dhaka, Bangladesh",Negotiable,Garage
Ground Floor,,"Dhanmondi, Dhaka, Bangladesh",700.00৳,Garage
Basement,,"Moghbazar, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Mohammadpur , Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Banashree, Dhaka, Bangladesh","1,500.00৳",Garage
Ground Floor,,"Kalabagan, Dhaka, Bangladesh","3,000.00৳",Garage
Basement,,"Kalabagan, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,,"Kalabagan, Dhaka, Bangladesh","1,000.00৳",Garage
Ground Floor,,"Niketan, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,,"Farmgate, Dhaka, Bangladesh","3,000.00৳",Garage
Ground Floor,,"Kalabagan, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,,"Kalabagan, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,A7,"Kalabagan, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,,"Kalabagan, Dhaka, Bangladesh","2,500.00৳",Garage
Basement,,"Motijheel, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,,"Kalabagan, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Kalabagan, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,2,"Mirpur, Dhaka, Bangladesh",600.00৳,Garage
Basement,,"Mohammadpur , Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,,"Lalmatia, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Paltan, Dhaka, Bangladesh","3,000.00৳",Garage
Basement,,"Kalabagan, Dhaka, Bangladesh","2,500.00৳",Garage
Basement,1,"Mirpur, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,,"Rampura, Dhaka, Bangladesh","1,500.00৳",Garage
Ground Floor,,"Rampura, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,,"Kallaynpur, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,1,"Daskhinkhan, Dhaka, Bangladesh","4,800.00৳",Garage
Ground Floor,,"Kafrul, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,,"Kalabagan, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,,"Lalmatia, Dhaka, Bangladesh","2,500.00৳",Garage
Basement,,"Tejgaon, Dhaka, Bangladesh","3,000.00৳",Garage
Basement,,"Banashree, Dhaka, Bangladesh","1,500.00৳",Garage
Basement,,"Banashree, Dhaka, Bangladesh","1,500.00৳",Garage
Basement,,"Banashree, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Banashree, Dhaka, Bangladesh","1,500.00৳",Garage
Ground Floor,1,"Basabo, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,,"Banashree, Dhaka, Bangladesh","1,500.00৳",Garage
Ground Floor,,"Mirpur, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,,"Mirpur, Dhaka, Bangladesh","1,500.00৳",Garage
Ground Floor,,"Khilgaon, Dhaka, Bangladesh",600.00৳,Garage
Ground Floor,,"Lalmatia, Dhaka, Bangladesh","2,500.00৳",Garage
Basement,1,"Moghbazar, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,,"Banashree, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,1,"Banashree, Dhaka, Bangladesh","1,500.00৳",Garage
Basement,,"Banashree, Dhaka, Bangladesh","1,500.00৳",Garage
Ground Floor,,"Banashree, Dhaka, Bangladesh","1,500.00৳",Garage
Ground Floor,,"Banashree, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Banashree, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Khilgaon, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,,"Farmgate, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Banashree, Dhaka, Bangladesh","1,500.00৳",Garage
Ground Floor,,"Banashree, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,,"Banashree, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,,"Banashree, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,2,"Mirpur, Dhaka, Bangladesh","2,500.00৳",Garage
Basement,2,"Banashree, Dhaka, Bangladesh","1,500.00৳",Garage
Ground Floor,,"Banashree, Dhaka, Bangladesh","1,500.00৳",Garage
Ground Floor,,"Banashree, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Banashree, Dhaka, Bangladesh","1,800.00৳",Garage
Ground Floor,,"Banashree, Dhaka, Bangladesh","1,500.00৳",Garage
Basement,,"Banashree, Dhaka, Bangladesh","1,500.00৳",Garage
Basement,,"Banashree, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Banashree, Dhaka, Bangladesh","1,500.00৳",Garage
Basement,,"Banashree, Dhaka, Bangladesh","1,500.00৳",Garage
Basement,,"Banashree, Dhaka, Bangladesh","1,500.00৳",Garage
Basement,,"Mohammadpur , Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Barishal City, Barishal, Bangladesh","10,000.00৳",Garage
Basement,1,"DOHS Mirpur, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Barishal City, Barishal, Bangladesh","3,000.00৳",Garage
Basement,,"Banashree, Dhaka, Bangladesh","1,500.00৳",Garage
Basement,0,"Mirpur, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,1,"DOHS Mirpur, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"DOHS Mirpur, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Niketan, Dhaka, Bangladesh","3,000.00৳",Garage
Basement,,"Banashree, Dhaka, Bangladesh","1,500.00৳",Garage
Ground Floor,,"Farmgate, Dhaka, Bangladesh","3,000.00৳",Garage
Basement,1,"DOHS Mohakhali, Dhaka, Bangladesh","3,000.00৳",Garage
Ground Floor,,"Banashree, Dhaka, Bangladesh","3,000.00৳",Garage
Ground Floor,,"Kalabagan, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,,"Mohammadpur , Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Nikunja, Dhaka, Bangladesh","2,300.00৳",Garage
Ground Floor,,"Mirpur, Dhaka, Bangladesh",600.00৳,Garage
Ground Floor,,"Banashree, Dhaka, Bangladesh","1,500.00৳",Garage
Basement,02,"Mirpur, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,D,"Mirpur, Dhaka, Bangladesh","1,500.00৳",Garage
Basement,1,"Mirpur, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,2,"Mirpur, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Mirpur, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,,"Mirpur, Dhaka, Bangladesh","1,000.00৳",Garage
Ground Floor,,"Gazipur Sadar, Gazipur, Bangladesh","2,000.00৳",Garage
Basement,,"Mohakhali, Dhaka, Bangladesh","3,000.00৳",Garage
Basement,,"Farmgate, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Kalabagan, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Mohakhali, Dhaka, Bangladesh","3,000.00৳",Garage
Basement,,"Kalabagan, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Mohakhali, Dhaka, Bangladesh","3,000.00৳",Garage
Basement,,"Mohammadpur , Dhaka, Bangladesh","1,800.00৳",Garage
Basement,,"Farmgate, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Farmgate, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Paltan, Dhaka, Bangladesh","5,000.00৳",Garage
Basement,,"Khilgaon, Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,,"Narayanganj, Narayanganj, Bangladesh","3,000.00৳",Garage
Ground Floor,,"Mohakhali, Dhaka, Bangladesh","3,000.00৳",Garage
Basement,,"Mohammadpur , Dhaka, Bangladesh","2,500.00৳",Garage
Ground Floor,,"Mohammadpur , Dhaka, Bangladesh","1,500.00৳",Garage
Ground Floor,,"Mohammadpur , Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Barishal City, Barishal, Bangladesh","2,000.00৳",Garage
Ground Floor,,"Mohammadpur , Dhaka, Bangladesh","1,500.00৳",Garage
Ground Floor,,"Mohammadpur , Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,,"Barishal City, Barishal, Bangladesh","1,000.00৳",Garage
Basement,,"Narayanganj, Narayanganj, Bangladesh","3,000.00৳",Garage
Basement,,"Mohammadpur , Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,,"Malibagh, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Nikunja, Dhaka, Bangladesh","2,000.00৳",Garage
Ground Floor,,"Banashree, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Nikunja, Dhaka, Bangladesh","2,000.00৳",Garage
Basement,,"Purbachal, Dhaka, Bangladesh","50,000.00৳",Garage
Ground Floor,,"New Market, Dhaka, Bangladesh","3,000.00৳",Garage
Open Space,,"Barishal City, Barishal, Bangladesh","1,500.00৳",Garage
Open Space,,"Barishal City, Barishal, Bangladesh","30,000.00৳",Garage
Open Space,,"Barishal City, Barishal, Bangladesh","1,500.00৳",Garage
