area_sft,attach_bathrooms,bedrooms,common_bathrooms,floor,location,price,property_type,total_floor,,
1600,2,3,1,Tiled,"Savar, Dhaka, Bangladesh","4,500.00৳",Independent House,4,,
1750,2,2,,,"Bashundhara RA, Dhaka, Bangladesh","10,00,00,000.00৳",Independent House,6,,
23000,4,6,,,"Mirpur, Dhaka, Bangladesh","6,000.00৳",Independent House,7,,Note: Prices are in takka
6500,4,4,1,,"Gulshan 2, Dhaka, Bangladesh",Negotiable,Independent House,2,,
1800,3,4,1,,"Savar, Dhaka, Bangladesh","5,500.00৳",Independent House,3,,
4000,4,5,1,,"Baridhara, Dhaka, Bangladesh",Negotiable,Independent House,2,,
,,,,,"Dhanmondi, Dhaka, Bangladesh","3,50,00,000.00৳",Independent House,,,
,,,,,"Dhanmondi, Dhaka, Bangladesh","3,50,00,000.00৳",Independent House,3,,
3000,4,4,1,,"Baridhara, Dhaka, Bangladesh",Negotiable,Independent House,5,,
1,3,3,,,"Moulvibazar Sadar, Moulvibazar, Bangladesh","2,50,000.00৳",Independent House,1,,
720,1,2,,,"Vatara , Dhaka, Bangladesh","30,00,000.00৳",Independent House,2,,
4000,3,3,,Tiled,"Baridhara, Dhaka, Bangladesh",Negotiable,Independent House,2,,
1200,2,2,,,"Uttara West, Dhaka, Bangladesh",Negotiable,Independent House,6,,
2100,2,2,1,,"Bashundhara RA, Dhaka, Bangladesh","5,80,00,000.00৳",Independent House,3,,
26000,2,3,1,,"Uttara West, Dhaka, Bangladesh","7,300.00৳",Independent House,9,,
5400,2,2,1,,"Uttara East, Dhaka, Bangladesh","5,60,00,000.00৳",Independent House,6,,
2150,3,3,,Tiled,"DOHS Mohakhali, Dhaka, Bangladesh",Negotiable,Independent House,5,,
,,,,,"Mugda Para, Dhaka, Bangladesh","3,50,00,000.00৳",Independent House,4,,
12000,5,10,2,,"Uttara West, Dhaka, Bangladesh","9,00,00,000.00৳",Independent House,6,,
,,,, Other,"Keraniganj, Dhaka, Bangladesh",11.00৳,Independent House,1,,
,,,,,"Sreemangal, Moulvibazar, Bangladesh","1,00,00,000.00৳",Independent House,2,,
1627,4,7,4,Tiled,"Sylhet City, Sylhet, Bangladesh","95,00,000.00৳",Independent House,2,,
1400,2,3,,,"Demra, Dhaka, Bangladesh",Negotiable,Independent House,3,,
1,,,,,"Narayanganj, Narayanganj, Bangladesh","60,00,000.00৳",Independent House,1,,
1650,2,4,1,,"Rajshahi City, Rajshahi, Bangladesh","1,50,00,000.00৳",Independent House,1,,
600,2,4,1,Mosaic,"Keraniganj, Dhaka, Bangladesh","40,00,000.00৳",Independent House,2,,
1680,2,3,1,Tiled,"Rangpur City, Rangpur, Bangladesh","1,60,00,000.00৳",Independent House,4,,
,,,,,"Bogura Sadar, Bogura, Bangladesh",Negotiable,Independent House,1,,
2400,2,4,1,Tiled,"Savar, Dhaka, Bangladesh","20,00,000.00৳",Independent House,1,,
1659,5,9,,,"Sylhet City, Sylhet, Bangladesh",Negotiable,Independent House,2,,
15000,2,4,2,Mosaic,"Rampura, Dhaka, Bangladesh","8,00,00,000.00৳",Independent House,6,,
1650,2,4,1,Mosaic,"Rajshahi City, Rajshahi, Bangladesh","1,20,00,000.00৳",Independent House,1,,
2300,,,,,"Rangpur City, Rangpur, Bangladesh","45,00,000.00৳",Independent House,1,,
9000,4,4,,,"Banani, Dhaka, Bangladesh","25,00,00,000.00৳",Independent House,10,,
1800,2,3,1, Other,"Rajshahi City, Rajshahi, Bangladesh",Negotiable,Independent House,4,,
,,,,,"Baridhara, Dhaka, Bangladesh","2,10,00,000.00৳",Independent House,,,
1800,1,3,1, Other,"Savar, Dhaka, Bangladesh",Negotiable,Independent House,1,,
,,,,,"Sylhet City, Sylhet, Bangladesh",Negotiable,Independent House,,,
2400,4,4,,,"Khilkhet, Dhaka, Bangladesh","2,80,00,000.00৳",Independent House,2,,
,,,,,"Chattogram City, Chattogram, Bangladesh",Negotiable,Independent House,,,
,,,,,"Narayanganj, Narayanganj, Bangladesh","1,20,00,000.00৳",Independent House,,,
,,,,,"Barguna Sadar, Barguna, Bangladesh","8,50,00,000.00৳",Independent House,,,
2400,4,4,1,,"Khilkhet, Dhaka, Bangladesh","11,700.00৳",Independent House,2,,
25000,5,10,4,,"Dhanmondi, Dhaka, Bangladesh",Negotiable,Independent House,5,,
,,,,,"Rajshahi City, Rajshahi, Bangladesh",Negotiable,Independent House,4,,
,,,,,"Savar, Dhaka, Bangladesh",Negotiable,Independent House,,,
1100,4,5,,,"Rupnagar, Dhaka, Bangladesh","2,00,00,000.00৳",Independent House,2,,
,,,,,"Sylhet City, Sylhet, Bangladesh","1,80,00,000.00৳",Independent House,,,
,,,,,"Kushtia Sadar, Kushtia, Bangladesh","80,00,000.00৳",Independent House,1,,
,,,,,"Rajshahi City, Rajshahi, Bangladesh",Negotiable,Independent House,,,
9000,5,10,4,Tiled,"Adabor, Dhaka, Bangladesh","7,225.00৳",Independent House,4,,
,,,,,"Khulna City, Khulna, Bangladesh","2,40,000.00৳",Independent House,1,,
,,,,,"Baridhara, Dhaka, Bangladesh","35,00,00,000.00৳",Independent House,2,,
4200,5,10,1,Mosaic,"Khulna City, Khulna, Bangladesh","1,50,00,000.00৳",Independent House,2,,
,,,,Tiled,"Rajshahi City, Rajshahi, Bangladesh","9,00,000.00৳",Independent House,,,
,,,,,"Rajshahi City, Rajshahi, Bangladesh","25,00,000.00৳",Independent House,,,
3200,3,5,1,,"Rupganj, Narayanganj, Bangladesh","6,250.00৳",Independent House,1,,
1670,2,4,1,Tiled,"Pallabi , Dhaka, Bangladesh","5,200.00৳",Independent House,6,,
,,,,,"Rajshahi City, Rajshahi, Bangladesh",Negotiable,Independent House,,,
78,2,6,,,"Dakshinsurma, Sylhet, Bangladesh","40,00,000.00৳",Independent House,2,,
,,,,,"Rangpur City, Rangpur, Bangladesh","29,99,999.00৳",Independent House,,,
1400,1,2,1,,"Kadamtali, Dhaka, Bangladesh","82,00,000.00৳",Independent House,1,,
6000,5,5,,,"Chattogram City, Chattogram, Bangladesh",1.00৳,Independent House,2,,
1050,2,4,,,"Basabo, Dhaka, Bangladesh","12,858.00৳",Independent House,1,,
10000,13,24,,,"Khulna City, Khulna, Bangladesh","1,65,00,000.00৳",Independent House,4,,
,,,,,"Naogaon Sadar, Naogaon, Bangladesh",Negotiable,Independent House,,,
3200,5,5,1,,"Rupganj, Narayanganj, Bangladesh","6,000.00৳",Independent House,1,,
6000,5,10,4,Mosaic,"Pallabi , Dhaka, Bangladesh","2,35,00,000.00৳",Independent House,4,,
2,,,,,"Akkelpur, Joypurhat, Bangladesh","35,00,000.00৳",Independent House,2,,
1300,3,5,,,"Savar, Dhaka, Bangladesh","1,350.00৳",Independent House,2,,
885,12,12,,,"Tejgaon, Dhaka, Bangladesh","2,00,00,000.00৳",Independent House,5,,
2,2,3,2,,"Rajshahi City, Rajshahi, Bangladesh",Negotiable,Independent House,2,,
,,,,,"Savar, Dhaka, Bangladesh",Negotiable,Independent House,,,
,,,,,"Sherpur Sadar, Sherpur, Bangladesh","1,50,00,000.00৳",Independent House,,,
2400,8,8,,,"Tangail Sadar, Tangail, Bangladesh",Negotiable,Independent House,2,,
,,,,,"Khilkhet, Dhaka, Bangladesh","1,00,00,000.00৳",Independent House,,,
1658,4,9,,,"Sylhet City, Sylhet, Bangladesh","2,40,00,000.00৳",Independent House,2,,
3600,4,4,,Mosaic,"Adabor, Dhaka, Bangladesh",Negotiable,Independent House,2,,
2200,1,4,2, Other,"Narayanganj, Narayanganj, Bangladesh","4,000.00৳",Independent House,4,,
2400,4,8,4,Tiled,"Tangail Sadar, Tangail, Bangladesh",Negotiable,Independent House,2,,
4,3,3,1,,"Kushtia Sadar, Kushtia, Bangladesh","2,00,00,000.00৳",Independent House,4,,
1700,2,4,,Ground Floor,"Chattogram City, Chattogram, Bangladesh","12,941.00৳",Independent House,5,,
1933,12,18,4,,"Pallabi , Dhaka, Bangladesh","3,50,00,000.00৳",Independent House,4,,
,,,,,"Moghbazar, Dhaka, Bangladesh","4,50,00,000.00৳",Independent House,4,,
,,,,,"Moulvibazar Sadar, Moulvibazar, Bangladesh",Negotiable,Independent House,2,,
2,1,2,1,Tiled,"Tongi, Dhaka, Bangladesh","3,00,00,000.00৳",Independent House,2,,
900,1,2,,,"Barishal City, Barishal, Bangladesh","45,00,000.00৳",Independent House,4,,
5,,,,Ground Floor,"Ramna, Dhaka, Bangladesh",Negotiable,Independent House,6,,
15000,32,32,4,Mosaic,"Moghbazar, Dhaka, Bangladesh",Negotiable,Independent House,4,,
,,,,,"Khilkhet, Dhaka, Bangladesh",Negotiable,Independent House,6,,
2300,2,3,3,,"Savar, Dhaka, Bangladesh","4,130.00৳",Independent House,1,,
,,,,,"Demra, Dhaka, Bangladesh","35,00,000.00৳",Independent House,1,,
1400,8,8,4,Tiled,"Tangail Sadar, Tangail, Bangladesh","2,00,00,000.00৳",Independent House,2,,
1250,1,2,1,Tiled,"Barishal City, Barishal, Bangladesh","4,25,00,000.00৳",Independent House,3,,
,,,,,"Barishal City, Barishal, Bangladesh","1,00,00,000.00৳",Independent House,1,,
,,,,,"Feni Sadar, Feni, Bangladesh","70,00,000.00৳",Independent House,,,
,,,,,"Tejgaon, Dhaka, Bangladesh",Negotiable,Independent House,,,
,,,,,"Rangamati Sadar, Rangamati, Bangladesh",Negotiable,Independent House,,,
7200,3,3,1,Mosaic,"Sylhet City, Sylhet, Bangladesh","60,00,000.00৳",Independent House,1,,
,,,,,"Mohakhali, Dhaka, Bangladesh",Negotiable,Independent House,,,
,,,,,"Rajshahi City, Rajshahi, Bangladesh","2,10,00,000.00৳",Independent House,,,
,,,,,"Sylhet City, Sylhet, Bangladesh","60,00,000.00৳",Independent House,,,
,,,,,"Rangamati Sadar, Rangamati, Bangladesh",Negotiable,Independent House,,,
,,,,,"Tongi, Dhaka, Bangladesh","72,00,000.00৳",Independent House,1,,
,,,,,"Keraniganj, Dhaka, Bangladesh",Negotiable,Independent House,,,
1000,2,3,1,Tiled,"Mohakhali, Dhaka, Bangladesh",Negotiable,Independent House,6,,
,,,,,"Satkhira Sadar, Satkhira, Bangladesh",Negotiable,Independent House,,,
,,,,,"Chattogram City, Chattogram, Bangladesh","1,40,00,000.00৳",Independent House,,,
,,,,,"Sylhet City, Sylhet, Bangladesh","2,15,00,000.00৳",Independent House,,,
