area_sft,floor,location,price,property_type,,
228,8th,"Uttara West, Dhaka, Bangladesh",Negotiable,Shop,,
123,Ground,"Banani, Dhaka, Bangladesh",Negotiable,Shop,,Note: Prices are in takka
110,Ground,"Mirpur, Dhaka, Bangladesh","16,000.00৳",Shop,,
287,Ground,"Paltan, Dhaka, Bangladesh","35,000.00৳",Shop,,
306,Ground,"Paltan, Dhaka, Bangladesh","35,000.00৳",Shop,,
110,Ground,"Uttara West, Dhaka, Bangladesh","1,00,00,000.00৳",Shop,,
166,Ground,"Karwan Bazar, Dhaka, Bangladesh","78,314.00৳",Shop,,
1200,Ground,"Mirpur, Dhaka, Bangladesh","8,334.00৳",Shop,,
180,1st,"Jatrabari, Dhaka, Bangladesh","13,888.00৳",Shop,,
350,Ground,"Paltan, Dhaka, Bangladesh","35,000.00৳",Shop,,
200,Ground,"Motijheel, Dhaka, Bangladesh","57,00,000.00৳",Shop,,
250,2nd,"Farmgate, Dhaka, Bangladesh","8,800.00৳",Shop,,
7615,Ground,"Bashundhara RA, Dhaka, Bangladesh",Negotiable,Shop,,
15345,Ground,"Bashundhara RA, Dhaka, Bangladesh",Negotiable,Shop,,
286,Ground,"Paltan, Dhaka, Bangladesh","35,000.00৳",Shop,,
283,Ground,"Paltan, Dhaka, Bangladesh","35,000.00৳",Shop,,
233,Ground,"Paltan, Dhaka, Bangladesh","35,000.00৳",Shop,,
400,Ground,"Paltan, Dhaka, Bangladesh",Negotiable,Shop,,
343,Ground,"Paltan, Dhaka, Bangladesh","35,000.00৳",Shop,,
283,Ground,"Paltan, Dhaka, Bangladesh","35,000.00৳",Shop,,
300,7th,"Bashundhara RA, Dhaka, Bangladesh","70,000.00৳",Shop,,
336,Ground,"Paltan, Dhaka, Bangladesh","35,000.00৳",Shop,,
376,Ground,"Paltan, Dhaka, Bangladesh",Negotiable,Shop,,
437,Ground,"Paltan, Dhaka, Bangladesh","35,000.00৳",Shop,,
508,5th,"Bashundhara RA, Dhaka, Bangladesh",Negotiable,Shop,,
9230,Ground,"Bashundhara RA, Dhaka, Bangladesh",Negotiable,Shop,,
1926,3rd,"Bashundhara RA, Dhaka, Bangladesh",Negotiable,Shop,,
545,3rd,"Bashundhara RA, Dhaka, Bangladesh",Negotiable,Shop,,
488,5th,"Bashundhara RA, Dhaka, Bangladesh",Negotiable,Shop,,
1926,3rd,"Bashundhara RA, Dhaka, Bangladesh",Negotiable,Shop,,
2404,5th,"Bashundhara RA, Dhaka, Bangladesh",Negotiable,Shop,,
1894,4th,"Bashundhara RA, Dhaka, Bangladesh",Negotiable,Shop,,
1697,5th,"Bashundhara RA, Dhaka, Bangladesh",Negotiable,Shop,,
1678,3rd,"Bashundhara RA, Dhaka, Bangladesh",Negotiable,Shop,,
1243,5th,"Bashundhara RA, Dhaka, Bangladesh",Negotiable,Shop,,
810,5th,"Bashundhara RA, Dhaka, Bangladesh",Negotiable,Shop,,
2072,2nd,"Mirpur, Dhaka, Bangladesh",Negotiable,Shop,,
1060,2nd,"Mirpur, Dhaka, Bangladesh",Negotiable,Shop,,
3178,3rd,"Mirpur, Dhaka, Bangladesh",Negotiable,Shop,,
2170,2nd,"Mirpur, Dhaka, Bangladesh",Negotiable,Shop,,
80,1st,"Badda, Dhaka, Bangladesh",Negotiable,Shop,,
2288,3rd,"Mirpur, Dhaka, Bangladesh",Negotiable,Shop,,
2478,4th,"Mirpur, Dhaka, Bangladesh",Negotiable,Shop,,
1082,4th,"Mirpur, Dhaka, Bangladesh",Negotiable,Shop,,
2366,4th,"Mirpur, Dhaka, Bangladesh",Negotiable,Shop,,
108,1st,"Badda, Dhaka, Bangladesh",Negotiable,Shop,,
1320,4th,"Mirpur, Dhaka, Bangladesh",Negotiable,Shop,,
1144,4th,"Mirpur, Dhaka, Bangladesh",Negotiable,Shop,,
186,1st,"Kafrul, Dhaka, Bangladesh",Negotiable,Shop,,
101,1st,"Badda, Dhaka, Bangladesh",Negotiable,Shop,,
103,Ground,"Badda, Dhaka, Bangladesh",Negotiable,Shop,,
144,1st,"Kafrul, Dhaka, Bangladesh",Negotiable,Shop,,
120,Ground,"Badda, Dhaka, Bangladesh",Negotiable,Shop,,
145,Ground,"Badda, Dhaka, Bangladesh",Negotiable,Shop,,
100,Ground,"Badda, Dhaka, Bangladesh",Negotiable,Shop,,
350,Ground,"Shyamoli, Dhaka, Bangladesh",Negotiable,Shop,,
122,1st,"Badda, Dhaka, Bangladesh",Negotiable,Shop,,
112,1st,"Badda, Dhaka, Bangladesh",Negotiable,Shop,,
145,1st,"Badda, Dhaka, Bangladesh",Negotiable,Shop,,
130,Ground,"Badda, Dhaka, Bangladesh",Negotiable,Shop,,
83,2nd,"Mohakhali, Dhaka, Bangladesh",Negotiable,Shop,,
224,2nd,"Mohakhali, Dhaka, Bangladesh",Negotiable,Shop,,
188,1st,"Mohakhali, Dhaka, Bangladesh",Negotiable,Shop,,
104,1st,"Mohakhali, Dhaka, Bangladesh",Negotiable,Shop,,
117,1st,"Mohakhali, Dhaka, Bangladesh",Negotiable,Shop,,
99,1st,"Mohakhali, Dhaka, Bangladesh",Negotiable,Shop,,
96,2nd,"Mohakhali, Dhaka, Bangladesh",Negotiable,Shop,,
172,1st,"Kafrul, Dhaka, Bangladesh",Negotiable,Shop,,
117,2nd,"Mohakhali, Dhaka, Bangladesh",Negotiable,Shop,,
74,2nd,"Mohakhali, Dhaka, Bangladesh",Negotiable,Shop,,
99,2nd,"Mohakhali, Dhaka, Bangladesh",Negotiable,Shop,,
74,2nd,"Mohakhali, Dhaka, Bangladesh",Negotiable,Shop,,
80,1st,"Sylhet City, Sylhet, Bangladesh","3,50,000.00৳",Shop,,
98,Ground,"Mohakhali, Dhaka, Bangladesh",Negotiable,Shop,,
80,2nd,"New Market, Dhaka, Bangladesh",Negotiable,Shop,,
1580,2nd,"Khilkhet, Dhaka, Bangladesh","2,00,00,000.00৳",Shop,,
500,Ground,"Chattogram City, Chattogram, Bangladesh","70,000.00৳",Shop,,
114,Ground,"Rajshahi City, Rajshahi, Bangladesh",Negotiable,Shop,,
100,Ground,"Mirpur, Dhaka, Bangladesh","55,000.00৳",Shop,,
65,1st,"Kakrail, Dhaka, Bangladesh","18,461.00৳",Shop,,
1,Ground,"Keraniganj, Dhaka, Bangladesh","20,833.33৳",Shop,,
100,2nd,"Savar, Dhaka, Bangladesh","1,000.00৳",Shop,,
154,2nd,"Daskhinkhan, Dhaka, Bangladesh","20,00,000.00৳",Shop,,
400,1st,"Keraniganj, Dhaka, Bangladesh","22,000.00৳",Shop,,
2,Ground,"Sylhet City, Sylhet, Bangladesh",Negotiable,Shop,,
186,3rd,"Kakrail, Dhaka, Bangladesh","13,000.00৳",Shop,,
120,1st,"Malibagh, Dhaka, Bangladesh","45,00,000.00৳",Shop,,
187,2nd,"Chattogram City, Chattogram, Bangladesh","16,042.00৳",Shop,,
170,Ground,"Basabo, Dhaka, Bangladesh","8,235.00৳",Shop,,
112,1st,"Sylhet City, Sylhet, Bangladesh","62,500.00৳",Shop,,
106,2nd,"Dhanmondi, Dhaka, Bangladesh","24,528.00৳",Shop,,
100,Ground,"Chattogram City, Chattogram, Bangladesh","12,00,000.00৳",Shop,,
138,2nd,"New Market, Dhaka, Bangladesh","28,900.00৳",Shop,,
328,4th,"New Market, Dhaka, Bangladesh",Negotiable,Shop,,
100,Ground,"Shah Ali, Dhaka, Bangladesh",Negotiable,Shop,,
176,1st,"Chattogram City, Chattogram, Bangladesh","28,000.00৳",Shop,,
180,Ground,"Sylhet City, Sylhet, Bangladesh","7,778.00৳",Shop,,
350,1st,"Pallabi , Dhaka, Bangladesh","51,428.00৳",Shop,,
300,Ground,"Banashree, Dhaka, Bangladesh","10,000.00৳",Shop,,
720,Ground,"Mirpur, Dhaka, Bangladesh",900.00৳,Shop,,
1,Ground,"Mirpur, Dhaka, Bangladesh",Negotiable,Shop,,
5300,Ground,"Kakrail, Dhaka, Bangladesh","4,200.00৳",Shop,,
200,Ground,"Rangpur City, Rangpur, Bangladesh","12,500.00৳",Shop,,
114,2nd,"Farmgate, Dhaka, Bangladesh","11,803.00৳",Shop,,
148,3rd,"Mohammadpur , Dhaka, Bangladesh","50,000.00৳",Shop,,
64,1st,"Motijheel, Dhaka, Bangladesh","43,750.00৳",Shop,,
195,2nd,"Paltan, Dhaka, Bangladesh","85,000.00৳",Shop,,
22,Ground,"Mohammadpur , Dhaka, Bangladesh","55,00,000.00৳",Shop,,
256,Ground,"Chattogram City, Chattogram, Bangladesh","6,250.00৳",Shop,,
102,1st,"Tejgaon, Dhaka, Bangladesh",Negotiable,Shop,,
120,1st,"Paltan, Dhaka, Bangladesh",Negotiable,Shop,,
130,2nd,"Sylhet City, Sylhet, Bangladesh","7,700.00৳",Shop,,
120,Ground,"Chattogram City, Chattogram, Bangladesh","45,800.00৳",Shop,,
128,1st,"Motijheel, Dhaka, Bangladesh","20,000.00৳",Shop,,
